datetime,US_GON_PRL_Actual,US_GON_PRL_Srv_Med,US_GON_PRL_Revised,US_GON_PRL_Prior
2014-01-01 17:00:00,-15.0,,14.0,14.0
2013-12-01 17:00:00,14.0,,-10.0,-10.0
2013-11-01 17:00:00,-10.0,,-18.0,-18.0
2013-10-01 17:00:00,-18.0,,43.0,43.0
2013-09-01 17:00:00,43.0,,2.0,2.0
2013-08-01 17:00:00,2.0,,-45.0,-45.0
2013-07-01 17:00:00,-45.0,,-6.0,-6.0
2013-06-01 17:00:00,-6.0,,-7.0,-7.0
2013-05-01 17:00:00,-7.0,,-24.0,-24.0
2013-04-01 17:00:00,-24.0,,17.0,17.0
2013-03-01 17:00:00,17.0,,-15.0,-15.0
2013-02-01 17:00:00,-15.0,,18.0,18.0
2013-01-01 17:00:00,18.0,,-22.0,-22.0
2012-12-01 17:00:00,-22.0,,-27.0,-27.0
2012-11-01 17:00:00,-27.0,,-20.0,-20.0
2012-10-01 17:00:00,-20.0,,28.0,28.0
2012-09-01 17:00:00,28.0,,23.0,23.0
2012-08-01 17:00:00,23.0,,-21.0,-21.0
2012-07-01 17:00:00,-21.0,,-9.0,-9.0
2012-06-01 17:00:00,-9.0,,-23.0,-23.0
2012-05-01 17:00:00,-23.0,,-2.0,-2.0
2012-04-01 17:00:00,-2.0,,-2.0,-2.0
2012-03-01 17:00:00,-2.0,,-1.0,-1.0
2012-02-01 17:00:00,-1.0,,-20.0,-20.0
2012-01-01 17:00:00,-20.0,,-28.0,-28.0
2011-12-01 17:00:00,-28.0,,17.0,17.0
2011-11-01 17:00:00,17.0,,-64.0,-64.0
2011-10-01 17:00:00,-64.0,,-9.0,-9.0
2011-09-01 17:00:00,-9.0,,-73.0,-73.0
2011-08-01 17:00:00,-73.0,,-1.0,-1.0
2011-07-01 17:00:00,-1.0,,-57.0,-57.0
2011-06-01 17:00:00,-57.0,,-9.0,-9.0
2011-05-01 17:00:00,-9.0,,-19.0,-19.0
2011-04-01 17:00:00,-19.0,,-51.0,-51.0
2011-03-01 17:00:00,-51.0,,-2.0,-2.0
2011-02-01 17:00:00,-2.0,,-21.0,-21.0
2011-01-01 17:00:00,-21.0,,-10.0,-10.0
2010-12-01 17:00:00,-10.0,,50.0,50.0
2010-11-01 17:00:00,50.0,,-173.0,-173.0
2010-10-01 17:00:00,-173.0,,-149.0,-149.0
2010-09-01 17:00:00,-149.0,,-171.0,-171.0
2010-08-01 17:00:00,-171.0,,-256.0,-256.0
2010-07-01 17:00:00,-256.0,,427.0,427.0
2010-06-01 17:00:00,427.0,,51.0,51.0
2010-05-01 17:00:00,51.0,,42.0,42.0
2010-04-01 17:00:00,42.0,,-15.0,-15.0
2010-03-01 17:00:00,-15.0,,9.0,9.0
2010-02-01 17:00:00,9.0,,-51.0,-51.0
2010-01-01 17:00:00,-51.0,,9.0,9.0
2009-12-01 17:00:00,9.0,,73.0,73.0
2009-11-01 17:00:00,73.0,,-86.0,-86.0
2009-10-01 17:00:00,-86.0,,16.0,16.0
2009-09-01 17:00:00,16.0,,-55.0,-55.0
2009-08-01 17:00:00,-55.0,,-41.0,-41.0
2009-07-01 17:00:00,-41.0,,-60.0,-60.0
2009-06-01 17:00:00,-60.0,,117.0,117.0
2009-05-01 17:00:00,117.0,,-16.0,-16.0
2009-04-01 17:00:00,-16.0,,-3.0,-3.0
2009-03-01 17:00:00,-3.0,,23.0,23.0
2009-02-01 17:00:00,23.0,,-4.0,-4.0
2009-01-01 17:00:00,-4.0,,11.0,11.0
2008-12-01 17:00:00,11.0,,12.0,12.0
2008-11-01 17:00:00,12.0,,-30.0,-30.0
2008-10-01 17:00:00,-30.0,,-1.0,-1.0
2008-09-01 17:00:00,-1.0,,51.0,51.0
2008-08-01 17:00:00,51.0,,34.0,34.0
2008-07-01 17:00:00,34.0,,33.0,33.0
2008-06-01 17:00:00,33.0,,7.0,7.0
2008-05-01 17:00:00,7.0,,26.0,26.0
2008-04-01 17:00:00,26.0,,29.0,29.0
2008-03-01 17:00:00,29.0,,12.0,12.0
2008-02-01 17:00:00,12.0,,42.0,42.0
2008-01-01 17:00:00,42.0,,37.0,37.0
2007-12-01 17:00:00,37.0,,18.0,18.0
2007-11-01 17:00:00,18.0,,53.0,53.0
2007-10-01 17:00:00,53.0,,55.0,55.0
2007-09-01 17:00:00,55.0,,-36.0,-36.0
2007-08-01 17:00:00,-36.0,,14.0,14.0
2007-07-01 17:00:00,14.0,,18.0,18.0
2007-06-01 17:00:00,18.0,,26.0,26.0
2007-05-01 17:00:00,26.0,,18.0,18.0
2007-04-01 17:00:00,18.0,,36.0,36.0
2007-03-01 17:00:00,36.0,,7.0,7.0
2007-02-01 17:00:00,7.0,,5.0,5.0
2007-01-01 17:00:00,5.0,,15.0,15.0
2006-12-01 17:00:00,15.0,,-14.0,-14.0
2006-11-01 17:00:00,-14.0,,71.0,71.0
2006-10-01 17:00:00,71.0,,38.0,38.0
2006-09-01 17:00:00,38.0,,51.0,51.0
2006-08-01 17:00:00,51.0,,-4.0,-4.0
2006-07-01 17:00:00,-4.0,,7.0,7.0
2006-06-01 17:00:00,7.0,,16.0,16.0
2006-05-01 17:00:00,16.0,,25.0,25.0
2006-04-01 17:00:00,25.0,,31.0,31.0
2006-03-01 17:00:00,31.0,,-32.0,-32.0
2006-02-01 17:00:00,-32.0,,20.0,20.0
2006-01-01 17:00:00,20.0,,30.0,30.0
2005-12-01 17:00:00,30.0,,-16.0,-16.0
2005-11-01 17:00:00,-16.0,,-18.0,-18.0
2005-10-01 17:00:00,-18.0,,6.0,6.0
