datetime,US_Retail_Sales_Control_Group_Actual,US_Retail_Sales_Control_Group_Srv_Med,US_Retail_Sales_Control_Group_Revised,US_Retail_Sales_Control_Group_Prior,unit
2023-08-15 20:30:00,1.0,0.5,0.5,0.6,%
2023-07-18 20:30:00,0.6,0.3,0.3,0.2,%
