发布日期 时间 今值 预测值 前值
2023年8月10日 (七月) 20:30 3.2% 3.3% 3.0%
2023年7月12日 (六月) 20:30 3.0% 3.1% 4.0%
2023年6月13日 (五月) 20:30 4.0% 4.1% 4.9%
2023年5月10日 (四月) 20:30 4.9% 5.0% 5.0%
2023年4月12日 (三月) 20:30 5.0% 5.2% 6.0%
2023年3月14日 (二月) 20:30 6.0% 6.0% 6.4%
2023年2月14日 (一月) 21:30 6.4% 6.2% 6.5%
2023年1月12日 (十二月) 21:30 6.5% 6.5% 7.1%
2022年12月13日 (十一月) 21:30 7.1% 7.3% 7.8%
2022年11月10日 (十月) 21:30 7.7% 8.0% 8.2%
2022年10月13日 (九月) 20:30 8.2% 8.1% 8.2%
2022年9月13日 (八月) 20:30 8.3% 8.1% 8.5%
