datetime,US_DED_MoM_Actual,US_DED_MoM_Srv_Med,US_DED_MoM_Revised,US_DED_MoM_Prior
2018-03-23 20:30:00,2.5,,-2.5,-2.7
2018-02-27 21:30:00,-2.7,0.3,2.2,2.2
2018-01-26 21:30:00,2.2,0.3,1.5,1.0
2017-12-22 21:30:00,1.0,0.9,-0.8,-0.8
2017-11-22 21:30:00,-0.8,0.9,2.4,2.0
2017-10-25 20:30:00,2.0,,2.6,2.2
2017-09-27 20:30:00,2.2,,-7.9,-7.8
2017-08-25 20:30:00,-7.8,,6.4,6.7
2017-07-27 20:30:00,6.7,,0.4,-0.6
2017-06-26 20:30:00,-0.6,,-0.9,-0.8
2017-05-26 20:30:00,-0.8,,1.1,0.1
2017-04-27 20:30:00,0.1,,2.7,2.1
2017-03-24 20:30:00,2.1,,2.1,1.5
2017-02-27 21:30:00,1.5,,1.2,1.7
2017-01-27 21:30:00,1.7,,-6.8,-6.6
2016-12-22 21:30:00,-6.6,-0.1,5.1,5.2
2016-11-23 21:30:00,5.2,,1.4,0.7
2016-10-27 20:30:00,0.7,,-0.7,-1.0
2016-09-28 20:30:00,-1.0,-1.1,3.0,3.8
2016-08-25 20:30:00,3.8,,-4.0,-3.9
2016-07-27 20:30:00,-3.9,,-1.6,-0.9
2016-06-24 20:30:00,-0.9,,3.7,3.7
2016-05-26 20:30:00,3.7,,-0.6,-1.0
2016-04-26 20:30:00,-1.0,0.4,-2.3,-1.9
2016-03-24 20:30:00,-1.9,,3.7,4.5
2016-02-25 21:30:00,4.5,,-2.5,-2.9
2016-01-28 21:30:00,-2.9,,-2.0,-1.5
2015-12-23 21:30:00,-1.5,-0.2,3.0,3.2
2015-11-25 21:30:00,3.2,,-1.6,-2.0
2015-10-27 20:30:00,-2.0,,-2.1,-1.0
2015-09-24 20:30:00,-1.0,-1.2,0.9,1.0
2015-08-26 20:30:00,1.0,,4.2,3.8
2015-07-27 20:30:00,3.8,,-2.4,-2.1
2015-06-23 20:30:00,-2.1,,-0.8,0.2
2015-05-26 20:30:00,0.2,0.4,3.4,2.6
2015-04-24 20:30:00,2.6,,-1.0,-1.0
2015-03-25 20:30:00,-1.0,,2.3,3.0
2015-02-26 21:30:00,3.0,,-3.3,-3.2
2015-01-27 21:30:00,-3.2,-0.2,-1.4,-0.1
2014-12-23 21:30:00,-0.1,1.6,-0.6,-0.6
2014-11-26 21:30:00,-0.6,,-1.2,-1.5
2014-10-28 20:30:00,-1.5,0.3,-19.1,-19.00
2014-09-25 20:30:00,-19.00,-19.20,24.9,24.90
2014-08-01 17:00:00,24.90,,2.6,0.70
2014-07-01 17:00:00,0.70,,0.7,0.60
2014-06-01 17:00:00,0.60,,-1.7,-0.80
2014-05-01 17:00:00,-0.80,,1.5,1.80
2014-04-01 17:00:00,1.80,,2.7,1.80
2014-03-01 17:00:00,1.80,,-1.6,-1.80
2014-02-01 17:00:00,-1.80,,-3.3,-3.70
2014-01-01 17:00:00,-3.70,,5.9,3.50
2013-12-01 17:00:00,3.50,,-1.1,-1.30
2013-11-01 17:00:00,-1.30,,3.7,3.20
2013-10-01 17:00:00,3.20,,1.0,0.50
2013-09-01 17:00:00,0.50,,-8.9,-6.70
2013-08-01 17:00:00,-6.70,,3.5,3.00
2013-07-01 17:00:00,3.00,,3.6,3.50
2013-06-01 17:00:00,3.50,,3.4,2.10
2013-05-01 17:00:00,2.10,,-6.7,-4.70
2013-04-01 17:00:00,-4.70,,5.2,4.50
2013-03-01 17:00:00,4.50,,0.8,-0.40
2013-02-01 17:00:00,-0.40,,0.2,1.20
2013-01-01 17:00:00,1.20,,-1.0,0.80
2012-12-01 17:00:00,0.80,,2.1,0.10
2012-11-01 17:00:00,0.10,,5.8,9.10
2012-10-01 17:00:00,9.10,,-9.3,-12.40
2012-09-01 17:00:00,-12.40,,3.5,5.70
2012-08-01 17:00:00,5.70,,-0.5,-0.70
2012-07-01 17:00:00,-0.70,,-1.8,0.70
2012-06-01 17:00:00,0.70,,0.6,1.20
2012-05-01 17:00:00,1.20,,-1.6,-4.60
2012-04-01 17:00:00,-4.60,,-0.6,1.70
2012-03-01 17:00:00,1.70,,-1.0,-4.50
2012-02-01 17:00:00,-4.50,,5.7,3.50
2012-01-01 17:00:00,3.50,,4.1,3.70
2011-12-01 17:00:00,3.70,,1.1,0.20
2011-11-01 17:00:00,0.20,,-3.3,-1.10
2011-10-01 17:00:00,-1.10,,2.6,-0.10
2011-09-01 17:00:00,-0.10,,5.2,4.80
2011-08-01 17:00:00,4.80,,-2.2,-1.80
2011-07-01 17:00:00,-1.80,,2.9,1.90
2011-06-01 17:00:00,1.90,,-5.5,-3.60
2011-05-01 17:00:00,-3.60,,8.1,2.30
2011-04-01 17:00:00,2.30,,-2.8,0.40
2011-03-01 17:00:00,0.40,,3.8,1.90
2011-02-01 17:00:00,1.90,,-1.2,-2.50
2011-01-01 17:00:00,-2.50,,-0.5,-2.30
2010-12-01 17:00:00,-2.30,,-1.6,-2.10
2010-11-01 17:00:00,-2.10,,3.8,2.90
2010-10-01 17:00:00,2.90,,1.4,-1.20
2010-09-01 17:00:00,-1.20,,1.3,0.30
2010-08-01 17:00:00,0.30,,1.1,-0.70
2010-07-01 17:00:00,-0.70,,-0.7,-1.10
2010-06-01 17:00:00,-1.10,,4.8,3.40
2010-05-01 17:00:00,3.40,,1.7,-1.20
2010-04-01 17:00:00,-1.20,,-1.2,1.60
2010-03-01 17:00:00,1.60,,11.3,1.60
2010-02-01 17:00:00,1.60,,-2.5,0.30
2010-01-01 17:00:00,0.30,,0.0,0.00
2009-12-01 17:00:00,0.00,,3.4,0.40
2009-11-01 17:00:00,0.40,,0.1,0.50
2009-10-01 17:00:00,0.50,,1.3,-2.40
2009-09-01 17:00:00,-2.40,,6.3,4.30
2009-08-01 17:00:00,4.30,,-0.6,-0.70
2009-07-01 17:00:00,-0.70,,4.1,1.40
2009-06-01 17:00:00,1.40,,-2.4,1.00
2009-05-01 17:00:00,1.00,,-0.7,-2.10
2009-04-01 17:00:00,-2.10,,-6.6,-0.70
2009-03-01 17:00:00,-0.70,,-6.3,-4.60
2009-02-01 17:00:00,-4.60,,-9.9,-4.90
2009-01-01 17:00:00,-4.90,,-4.3,-0.90
2008-12-01 17:00:00,-0.90,,-7.7,-4.60
2008-11-01 17:00:00,-4.60,,-4.8,-0.60
2008-10-01 17:00:00,-0.60,,-3.5,-3.50
2008-09-01 17:00:00,-3.50,,-1.5,-1.50
2008-08-01 17:00:00,-1.50,,-0.8,-0.80
2008-07-01 17:00:00,-0.80,,-0.5,-0.50
2008-06-01 17:00:00,-0.50,,0.2,0.20
2008-05-01 17:00:00,0.20,,-1.3,-1.30
2008-04-01 17:00:00,-1.30,,-2.1,-2.10
2008-03-01 17:00:00,-2.10,,-1.0,-1.00
2008-02-01 17:00:00,-1.00,,1.5,1.50
2008-01-01 17:00:00,1.50,,2.9,2.90
2007-12-01 17:00:00,2.90,,0.7,0.70
2007-11-01 17:00:00,0.70,,-0.9,-0.90
2007-10-01 17:00:00,-0.90,,-4.2,-4.20
2007-09-01 17:00:00,-4.20,,2.7,2.70
2007-08-01 17:00:00,2.70,,2.1,2.10
2007-07-01 17:00:00,2.10,,-3.1,-3.10
2007-06-01 17:00:00,-3.10,,1.0,1.00
2007-05-01 17:00:00,1.00,,5.2,5.20
2007-04-01 17:00:00,5.20,,1.0,1.00
2007-03-01 17:00:00,1.00,,-3.8,-3.80
2007-02-01 17:00:00,-3.80,,2.5,2.50
2007-01-01 17:00:00,2.50,,1.7,1.70
2006-12-01 17:00:00,1.70,,-5.7,-5.70
