发布日期 时间 今值 预测值 前值
2023年8月30日 22:30 0.290M -0.073M 0.130M
2023年8月23日 22:30 0.130M 0.015M -0.336M
2023年8月16日 22:30 -0.336M 0.081M 0.092M
2023年8月9日 22:30 0.092M -0.056M 0.341M
2023年8月2日 22:30 0.341M -0.049M -0.035M
2023年7月26日 22:30 -0.035M 0.045M -0.584M
2023年7月19日 22:30 -0.584M 0.034M -0.158M
2023年7月12日 22:30 -0.158M -0.047M 0.148M
2023年7月6日 23:00 0.148M -0.004M 0.298M
2023年6月28日 22:30 0.298M 0.024M -0.352M
2023年6月22日 23:00 -0.352M 0.031M 0.106M
2023年6月14日 22:30 0.106M -0.043M 0.094M
