发布日期 时间 今值 预测值 前值
2023年8月30日 22:30 -10.584M -3.267M -6.135M
2023年8月23日 22:30 -6.135M -2.850M -5.960M
2023年8月16日 22:30 -5.960M -2.320M 5.851M
2023年8月9日 22:30 5.851M 0.567M -17.049M
2023年8月2日 22:30 -17.049M -1.367M -0.600M
2023年7月26日 22:30 -0.600M -2.348M -0.708M
2023年7月19日 22:30 -0.708M -2.440M 5.946M
2023年7月12日 22:30 5.946M 0.483M -1.508M
2023年7月6日 23:00 -1.508M -0.983M -9.603M
2023年6月28日 22:30 -9.603M -1.757M -3.831M
2023年6月22日 23:00 -3.831M 0.329M 7.919M
2023年6月14日 22:30 7.919M 1.482M -0.451M
