发布日期 时间 今值 预测值 前值
2023年8月30日 22:30 -0.214M -0.933M 1.467M
2023年8月23日 22:30 1.467M -0.888M -0.261M
2023年8月16日 22:30 -0.261M -1.260M -2.661M
2023年8月9日 22:30 -2.661M -0.008M 1.480M
2023年8月2日 22:30 1.480M -1.300M -0.786M
2023年7月26日 22:30 -0.786M -1.678M -1.066M
2023年7月19日 22:30 -1.066M -1.577M -0.003M
2023年7月12日 22:30 -0.003M -0.727M -2.550M
2023年7月6日 23:00 -2.550M -1.417M 0.603M
2023年6月28日 22:30 0.603M -0.126M 0.479M
2023年6月22日 23:00 0.479M 1.091M 2.108M
2023年6月14日 22:30 2.108M 0.637M 2.746M
