发布日期 时间 今值 预测值 前值
2023年8月30日 22:30 -1.504M -2.440M -3.133M
2023年8月23日 22:30 -3.133M -0.906M -0.837M
2023年8月16日 22:30 -0.837M 0.131M 0.159M
2023年8月9日 22:30 0.159M -1.783M -1.259M
2023年8月2日 22:30 -1.259M -2.494M -2.609M
2023年7月26日 22:30 -2.609M -1.442M -2.891M
2023年7月19日 22:30 -2.891M -0.835M -1.605M
2023年7月12日 22:30 -1.605M -0.805M -0.400M
2023年7月6日 23:00 -0.400M -0.307M 1.209M
2023年6月28日 22:30 1.209M 0.089M -0.098M
2023年6月22日 23:00 -0.098M 0.618M 1.554M
2023年6月14日 22:30 1.554M 0.922M 1.721M
