发布日期 时间 今值 预测值 前值
2023年8月30日 22:30 -0.043M 0.006M 0.337M
2023年8月23日 22:30 0.337M 0.011M -0.182M
2023年8月16日 22:30 -0.182M 0.041M 0.050M
2023年8月9日 22:30 0.050M 0.000M 0.080M
2023年8月2日 22:30 0.080M -0.005M -0.251M
2023年7月26日 22:30 -0.251M 0.002M -0.054M
2023年7月19日 22:30 -0.054M -0.002M 0.236M
2023年7月12日 22:30 0.236M -0.011M 0.141M
2023年7月6日 23:00 0.141M -0.006M -0.368M
2023年6月28日 22:30 -0.368M 0.014M 0.089M
2023年6月22日 23:00 0.089M 0.020M -0.255M
2023年6月14日 22:30 -0.255M 0.002M 0.203M
