发布日期 时间 今值 预测值 前值
2023年8月30日 22:30 -0.586M -1.555M 0.116M
2023年8月23日 22:30 0.116M -2.270M -1.763M
2023年8月16日 22:30 -1.763M 0.374M 2.937M
2023年8月9日 22:30 2.937M 2.173M -0.391M
2023年8月2日 22:30 -0.391M 0.908M -1.584M
2023年7月26日 22:30 -1.584M -1.937M -0.376M
2023年7月19日 22:30 -0.376M -1.845M 0.599M
2023年7月12日 22:30 0.599M -0.527M 1.895M
2023年7月6日 23:00 1.895M 2.054M -0.376M
2023年6月28日 22:30 -0.376M 0.923M -1.493M
2023年6月22日 23:00 -1.493M -0.048M -0.814M
2023年6月14日 22:30 -0.814M -0.782M 1.623M
