datetime,CAD_EC_MoM_Actual,CAD_EC_MoM_Srv_Med,CAD_EC_MoM_Revised,CAD_EC_MoM_Prior
11/8/2013 21:30,13.2,14,11.9,11.9
10/11/2013 20:30,11.9,10,59.2,59.2
9/6/2013 20:30,59.2,20,-39.4,-39.4
8/9/2013 20:30,-39.4,10,-0.4,-0.4
7/5/2013 20:30,-0.4,-3,95,95
6/7/2013 20:30,95,15,12.5,12.5
5/10/2013 20:30,12.5,15,-54.5,-54.5
4/5/2013 20:30,-54.5,9,50.7,50.7
3/8/2013 21:30,50.7,8,-21.9,-21.9
2/8/2013 21:30,-21.9,5,39.8,39.8
1/4/2013 21:30,39.8,5,59.3,59.3
12/7/2012 21:30,59.3,10,1.8,1.8
11/2/2012 20:30,1.8,5,52.1,52.1
10/5/2012 20:30,52.1,10,34.3,34.3
9/7/2012 20:30,34.3,10,-30.4,-30.4
8/10/2012 20:30,-30.4,9,7.3,7.3
7/6/2012 20:30,7.3,5,7.7,7.7
6/8/2012 20:30,7.7,10,58.2,58.2
5/11/2012 20:30,58.2,7,82.3,82.3
4/5/2012 20:30,82.3,10,-2.8,-2.8
3/9/2012 20:00,-2.8,13.8,2.3,2.3
2/3/2012 20:00,2.3,24,17.5,17.5
1/6/2012 20:00,17.5,14.8,-18.6,-18.6
12/2/2011 20:00,-18.6,20,-54,-54
11/4/2011 19:00,-54,20,60.9,60.9
10/7/2011 19:00,60.9,15,-5.5,-5.5
9/9/2011 19:00,-5.5,22.5,7.1,7.1
8/5/2011 19:00,7.1,20,28.4,28.4
7/8/2011 19:00,28.4,10,22.3,22.3
6/10/2011 19:00,22.3,20,58.3,58.3
5/6/2011 19:00,58.3,20,-1.5,-1.5
4/8/2011 19:00,-1.5,29.6,15.1,15.1
3/11/2011 20:00,15.1,23.5,69.2,69.2
2/4/2011 20:00,69.2,21.2,22,22
1/7/2011 20:00,22,20.3,15.2,15.2
12/3/2010 20:00,15.2,20,3,3
11/5/2010 19:00,3,10,-6.6,-6.6
10/8/2010 19:00,-6.6,11.3,35.8,35.8
9/10/2010 19:00,35.8,23.9,-9.3,-9.3
8/6/2010 19:00,-9.3,10.3,93.2,93.2
7/9/2010 19:00,93.2,20.3,24.7,24.7
6/4/2010 19:00,24.7,20.7,108.7,108.7
5/7/2010 19:00,108.7,20.3,17.9,17.9
4/9/2010 19:00,17.9,25,20.9,20.9
3/12/2010 20:00,20.9,18,43,43
2/5/2010 20:00,43,15,-2.6,-2.6
1/8/2010 20:00,-2.6,20,79.1,79.1
12/4/2009 20:00,79.1,15,-43.2,-43.2
11/6/2009 20:00,-43.2,11,30.6,30.6
10/9/2009 19:00,30.6,-7,27.1,27.1
9/4/2009 19:00,27.1,-20,-44.5,-44.5
8/7/2009 19:00,-44.5,-20,-7.4,-7.4
7/10/2009 19:00,-7.4,-40.3,-41.8,-41.8
6/5/2009 19:00,-41.8,-37,35.9,35.9
5/8/2009 19:00,35.9,-49.7,-61.3,-61.3
4/9/2009 19:00,-61.3,-54.3,-82.6,-82.6
3/13/2009 19:00,-82.6,-50,-129,-129
2/6/2009 20:00,-129,-40,-20.4,-34.4
1/9/2009 20:00,-34.4,-21,-70.6,-70.6
12/5/2008 20:00,-70.6,-21,9.5,9.5
11/7/2008 20:00,9.5,-10,106.9,106.9
10/10/2008 19:00,106.9,11,15.2,15.2
9/5/2008 19:00,15.2,9,-55.2,-55.2
8/8/2008 19:00,-55.2,5,-5,-5
7/11/2008 19:00,-5,10,8.4,8.4
6/6/2008 20:00,8.4,10.2,19.2,19.2
5/9/2008 19:00,19.2,10,14.6,14.6
4/4/2008 19:00,14.6,15,43.3,43.3
