datetime,US_PPI_49_Actual,US_PPI_49_Srv_Med,US_PPI_49_Revised,US_PPI_49_Prior
2023-08-11 20:30:00,0.2,0.1,0.1,0.1
2023-07-13 20:30:00,0.1,None,0.0,0.0
2023-06-14 20:30:00,0.0,None,0.1,0.2
2023-05-11 20:30:00,0.2,None,0.1,0.1
2023-04-13 20:30:00,0.1,0.1,0.2,0.2
2023-03-15 20:30:00,0.2,None,0.5,0.6
2023-02-16 21:30:00,0.6,,0.2,0.1
2023-01-18 21:30:00,0.1,,0.3,0.3
2022-12-09 21:30:00,0.3,,0.2,0.2
2022-11-15 21:30:00,0.2,,0.3,0.4
2022-10-12 20:30:00,0.4,,0.2,0.2
2022-09-14 20:30:00,0.2,,0.1,0.2
2022-08-11 20:30:00,0.2,,0.3,
