datetime,NZ_PMI_QoQ_Actual,NZ_PMI_QoQ_Srv_Med,NZ_PMI_QoQ_Revised,NZ_PMI_QoQ_Prior
2015-07-16 06:35:00,55.2,None,51.5,51.5
2015-06-12 06:30:00,51.5,None,51.8,51.8
2015-05-14 06:30:00,51.8,None,54.5,54.5
2015-04-16 06:30:00,54.5,None,56.1,55.9
2015-03-13 05:30:00,55.9,None,50.7,50.9
2015-02-12 05:30:00,50.9,None,57.1,57.7
2015-01-22 05:45:00,57.7,None,55.6,55.2
2014-12-12 05:45:00,55.2,None,59.3,59.3
2014-11-13 05:30:00,59.3,None,58.5,58.1
2014-10-16 05:45:00,58.1,None,56.5,56.5
2014-09-12 06:45:00,56.5,None,53.5,53.0
2014-08-14 06:45:00,53.0,None,53.4,53.3
2014-07-10 06:30:00,53.3,None,52.6,52.7
2014-06-13 06:30:00,52.7,None,54.4,55.2
2014-05-15 06:30:00,55.2,None,58.0,58.4
2014-04-10 06:30:00,58.4,None,56.5,56.2
2014-03-14 05:30:00,56.2,None,56.3,56.2
2014-02-13 05:30:00,56.2,None,56.4,56.4
2014-01-23 05:30:00,56.4,None,57.0,56.7
2013-12-13 01:10:00,56.7,None,55.9,55.7
2013-11-14 05:30:00,55.7,None,54.2,54.3
2013-10-10 05:30:00,54.3,None,57.1,57.5
2013-09-13 06:30:00,57.5,None,59.5,59.5
2013-08-15 06:30:00,59.5,None,54.7,54.7
2013-07-11 06:30:00,54.7,None,59.0,59.2
2013-06-14 06:30:00,59.2,None,55.2,54.5
2013-05-16 06:30:00,54.5,None,53.4,53.4
2013-04-11 06:35:00,53.4,None,56.0,56.3
2013-03-15 05:30:00,56.3,None,55.2,55.2
2013-02-14 05:25:00,55.2,None,50.4,50.1
2013-01-24 05:30:00,50.1,None,48.8,48.8
2012-12-13 05:30:00,48.8,None,50.3,50.5
2012-11-15 05:30:00,50.5,None,48.5,48.2
2012-10-11 05:30:00,48.2,None,47.4,47.2
2012-09-13 06:30:00,47.2,None,49.4,49.4
2012-08-16 06:30:00,49.4,None,50.0,50.2
2012-07-12 06:30:00,50.2,None,55.8,55.7
2012-06-15 06:30:00,55.7,None,48.2,48.0
2012-05-10 06:30:00,48.0,None,53.8,54.5
2012-04-12 06:30:00,54.5,None,57.7,57.7
2012-03-15 05:30:00,57.7,None,50.8,50.5
2012-02-16 05:30:00,50.5,None,51.6,51.9
2012-01-25 10:00:00,51.9,None,46.0,45.7
2011-12-15 05:30:00,45.7,None,46.6,46.5
2011-11-10 05:30:00,46.5,None,50.6,50.8
2011-10-13 05:30:00,50.8,None,52.7,52.9
2011-09-15 06:30:00,52.9,None,53.2,53.2
2011-08-11 06:30:00,53.2,None,54.3,54.3
2011-07-14 06:30:00,54.3,None,54.7,54.7
2011-06-16 06:30:00,54.7,None,52.0,51.5
2011-05-12 06:30:00,51.5,None,50.2,50.1
2011-04-14 06:30:00,50.1,None,53.2,53.7
2011-02-17 05:30:00,53.7,None,53.2,53.1
2011-01-21 05:30:00,53.1,None,52.7,52.7
2010-12-16 05:30:00,52.7,None,50.0,49.7
2010-11-11 05:30:00,49.7,None,49.5,49.2
2010-10-14 05:30:00,49.2,None,49.3,49.3
2010-09-16 06:30:00,49.3,None,50.3,49.9
2010-08-12 06:30:00,49.9,None,55.9,56.2
2010-07-15 06:30:00,56.2,None,54.0,54.5
2010-06-10 06:30:00,54.5,None,58.6,58.9
2010-05-13 06:30:00,58.9,None,56.7,56.3
2010-04-15 06:30:00,56.3,None,53.6,53.3
2010-03-11 05:30:00,53.3,None,52.1,52.0
2010-02-11 05:30:00,52.0,None,53.0,52.9
2010-01-21 05:30:00,52.9,None,51.9,51.8
2009-12-10 05:30:00,51.8,None,50.5,50.6
2009-11-12 05:30:00,50.6,None,51.5,51.7
2009-10-15 05:30:00,51.7,None,48.8,48.7
2009-09-17 06:30:00,48.7,None,49.6,49.7
2009-08-13 06:30:00,49.7,None,46.5,46.2
2009-07-16 06:30:00,46.2,None,43.1,42.7
2009-06-11 06:30:00,42.7,None,43.7,43.7
2009-05-14 06:30:00,43.7,None,41.9,40.7
2009-04-16 06:30:00,40.7,None,38.6,38.6
2009-03-12 05:30:00,38.6,None,42.0,42.0
2009-02-12 05:30:00,42.0,None,42.5,42.5
2009-01-22 05:30:00,42.5,None,35.2,35.4
2008-12-11 05:30:00,35.4,None,43.5,43.5
2008-11-13 05:30:00,43.5,None,47.0,47.0
2008-10-16 07:00:00,47.0,47.0,45.7,45.7
2008-09-11 08:00:00,45.7,None,48.8,48.8
2008-08-14 08:00:00,48.8,None,45.7,45.7
2008-07-10 06:30:00,45.7,None,47.9,49.3
2008-06-12 09:00:00,49.3,None,51.4,51.4
2008-05-15 09:00:00,51.4,None,48.7,48.3
2008-04-10 08:00:00,48.3,None,51.8,53.3
2008-02-14 07:00:00,53.3,0.0,53.6,
