datetime,EUR_CPI_MoM_Actual,EUR_CPI_MoM_Srv_Med,EUR_CPI_MoM_Revised,EUR_CPI_MoM_Prior,Is_P
2019-07-17 17:00:00,0.2,0.1,0.1,0.1,0.0
2019-06-18 17:00:00,0.1,0.2,0.7,0.7,0.0
2019-05-17 17:00:00,0.7,0.7,1.0,1.0,0.0
2019-04-17 17:00:00,1.0,1.0,0.3,0.3,0.0
2019-03-15 18:00:00,0.3,0.3,-1.0,-1.0,0.0
2019-02-22 18:00:00,-1.0,-1.1,0.0,0.0,0.0
2019-01-17 18:00:00,0.0,-0.2,-0.2,-0.2,0.0
2018-12-17 18:00:00,-0.2,-0.2,0.2,0.2,0.0
2018-11-16 18:00:00,0.2,0.2,0.5,0.5,0.0
2018-10-17 17:00:00,0.5,0.5,0.2,0.2,0.0
2018-09-17 17:00:00,0.2,0.2,-0.3,-0.3,0.0
2018-08-17 17:00:00,-0.3,-0.3,0.1,0.1,0.0
2018-07-18 17:00:00,0.1,0.1,0.5,0.5,0.0
2018-06-15 17:00:00,0.5,0.5,0.3,0.3,0.0
2018-05-16 17:00:00,0.3,0.3,1.0,1.0,0.0
2018-04-18 17:00:00,1.0,1.0,0.2,0.2,0.0
2018-03-16 18:00:00,0.2,0.2,-0.9,-0.9,0.0
2018-02-23 18:00:00,-0.9,-0.9,0.4,0.4,0.0
2018-01-17 18:00:00,0.4,0.4,0.1,0.1,0.0
2017-12-18 18:00:00,0.1,0.1,0.1,0.1,0.0
2017-11-16 18:00:00,0.1,0.1,0.4,0.4,0.0
2017-10-17 17:00:00,0.4,0.4,0.3,0.3,0.0
2017-09-18 17:00:00,0.3,0.3,-0.5,-0.5,0.0
2017-08-17 17:00:00,-0.5,-0.5,0.0,0.0,0.0
2017-07-17 17:00:00,0.0,0.0,-0.1,-0.1,0.0
2017-06-16 17:00:00,-0.1,-0.1,0.4,0.4,0.0
2017-05-17 17:00:00,0.4,0.4,0.8,0.8,0.0
2017-04-19 17:00:00,0.8,0.8,0.4,0.4,0.0
2017-03-16 18:00:00,0.4,0.4,-0.8,-0.8,0.0
2017-02-22 18:00:00,-0.8,-0.8,0.5,0.5,0.0
2017-01-18 18:00:00,0.5,0.5,-0.1,-0.1,0.0
2016-12-16 18:00:00,-0.1,-0.1,0.2,0.2,0.0
2016-11-17 18:00:00,0.2,0.3,0.4,0.4,0.0
2016-10-17 17:00:00,0.4,0.4,0.1,0.1,0.0
2016-09-15 17:00:00,0.1,0.1,-0.6,-0.6,0.0
2016-08-18 17:00:00,-0.6,-0.5,0.2,0.2,0.0
2016-07-15 17:00:00,0.2,0.2,0.4,0.4,0.0
2016-06-16 17:00:00,0.4,0.3,0.0,0.0,0.0
2016-05-18 17:00:00,0.0,,1.2,1.2,0.0
2016-04-14 17:00:00,1.2,1.2,0.2,0.2,0.0
2016-03-17 18:00:00,0.2,0.1,-1.4,-1.4,0.0
2016-02-25 18:00:00,-1.4,-1.4,0.0,0.0,0.0
2016-01-19 18:00:00,0.0,-0.1,-0.1,-0.1,0.0
2015-12-16 18:00:00,-0.1,-0.2,0.1,0.1,0.0
2015-11-16 18:00:00,0.1,0.1,0.2,0.2,0.0
2015-10-16 17:00:00,0.2,0.2,0.0,0.0,0.0
2015-09-16 17:00:00,0.0,-0.6,-0.6,-0.6,0.0
2015-08-14 17:00:00,-0.6,-0.6,0.0,0.0,0.0
