datetime,US_NESMI_Actual,US_NESMI_Srv_Med,US_NESMI_Revised,US_NESMI_Prior
2014-12-15 21:30:00,-3.58,12.52,10.16,10.16
2014-11-17 21:30:00,10.16,11.1,6.17,6.17
2014-10-15 20:30:00,6.17,20.5,27.54,27.54
2014-09-15 20:30:00,27.54,16.0,14.69,14.69
2014-08-15 20:30:00,14.69,20.0,25.6,25.6
2014-07-15 20:30:00,25.6,17.0,19.28,19.28
2014-06-16 20:30:00,19.28,15.0,19.01,19.01
2014-05-15 20:30:00,19.01,5.0,1.29,1.29
2014-04-15 20:30:00,1.29,8.0,5.61,5.61
2014-03-17 20:30:00,5.61,6.0,4.48,4.48
2014-02-18 21:30:00,4.48,9.0,12.51,12.51
2014-01-15 21:30:00,12.51,3.75,2.22,0.98
2013-12-16 21:30:00,0.98,4.75,-2.21,-2.21
2013-11-15 21:30:00,-2.21,5.0,1.52,1.52
2013-10-15 20:30:00,1.52,7.0,6.29,6.29
2013-09-16 20:30:00,6.29,9.2,8.24,8.24
2013-08-15 20:30:00,8.24,10.0,9.46,9.46
2013-07-15 20:30:00,9.46,5.0,7.84,7.84
2013-06-17 20:30:00,7.84,-0.5,-1.43,-1.43
2013-05-15 20:30:00,-1.43,4.0,3.05,3.05
2013-04-15 20:30:00,3.05,7.0,9.24,9.24
2013-03-15 20:30:00,9.24,8.4,10.04,10.04
2013-02-15 21:30:00,10.04,-2.0,-7.78,-7.78
2013-01-15 21:30:00,-7.78,2.0,-7.3,-8.1
2012-12-17 21:30:00,-8.1,-1.0,-5.2,-5.2
2012-11-15 21:30:00,-5.2,-6.7,-6.2,-6.2
2012-10-15 20:30:00,-6.2,-4.6,-10.4,-10.4
2012-09-17 20:30:00,-10.4,-2.0,-5.9,-5.9
2012-08-15 20:30:00,-5.9,6.5,7.4,7.4
2012-07-16 20:30:00,7.4,4.0,2.3,2.3
2012-06-15 20:30:00,2.3,13.0,17.1,17.1
2012-05-15 20:30:00,17.1,8.5,6.6,6.6
2012-04-16 20:30:00,6.6,18.0,20.2,20.2
2012-03-15 20:30:00,20.2,17.4,19.5,19.5
2012-02-15 21:30:00,19.5,14.2,13.5,13.5
2012-01-17 21:30:00,13.5,10.5,9.5,9.5
2011-12-15 21:30:00,9.5,3.0,0.6,0.6
2011-11-15 21:30:00,0.6,-2.0,-8.5,-8.5
2011-10-17 20:30:00,-8.5,-4.0,-8.8,-8.8
2011-09-15 20:30:00,-8.8,-4.0,-7.7,-7.7
2011-08-15 20:30:00,-7.7,-0.4,-3.8,-3.8
2011-07-15 20:30:00,-3.8,4.2,-7.8,-7.8
2011-06-15 20:30:00,-7.8,13.0,11.9,11.9
2011-05-16 20:30:00,11.9,19.6,21.7,21.7
2011-04-15 20:30:00,21.7,15.5,17.5,17.5
2011-03-15 20:30:00,17.5,16.5,15.4,15.4
2011-02-15 21:30:00,15.4,15.0,11.9,11.9
2011-01-18 21:30:00,11.9,12.0,9.9,10.6
2010-12-15 21:30:00,10.6,3.0,-11.1,-11.1
2010-11-15 21:30:00,-11.1,11.7,15.7,15.7
2010-10-15 20:30:00,15.7,6.0,4.1,4.1
2010-09-15 20:30:00,4.1,5.0,7.1,7.1
2010-08-16 20:30:00,7.1,7.5,5.1,5.1
2010-07-15 20:30:00,5.1,18.0,19.6,19.6
2010-06-15 20:30:00,19.6,20.0,19.1,19.1
2010-05-17 20:30:00,19.1,30.0,31.9,31.9
2010-04-15 20:30:00,31.9,24.0,22.9,22.9
2010-03-15 20:30:00,22.9,22.0,24.9,24.9
2010-02-16 21:30:00,24.9,17.0,15.9,15.9
2010-01-15 21:30:00,15.9,11.3,4.5,2.6
2009-12-15 21:30:00,2.6,24.2,23.5,23.5
2009-11-16 21:30:00,23.5,30.0,34.6,34.6
2009-10-15 20:30:00,34.6,18.0,18.9,18.9
2009-09-15 20:30:00,18.9,15.2,12.1,12.1
2009-08-17 20:30:00,12.1,2.8,-0.6,-0.6
2009-07-15 20:30:00,-0.6,-5.3,-9.4,-9.4
2009-06-15 20:30:00,-9.4,-4.9,-4.6,-4.6
2009-05-15 20:30:00,-4.6,-14.5,-14.7,-14.7
2009-04-15 20:30:00,-14.7,-35.0,-38.2,-38.2
2009-03-16 20:30:00,-38.2,-31.5,-34.7,-34.7
2009-02-17 21:30:00,-34.7,-22.5,-22.2,-22.2
2009-01-15 21:30:00,-22.2,-24.0,-25.8,-25.8
2008-12-15 21:30:00,-25.8,-27.0,-25.4,-25.4
2008-11-17 21:30:00,-25.4,-27.0,-24.6,-24.6
2008-10-15 20:30:00,-24.6,-9.0,-7.4,-7.4
2008-09-15 20:30:00,-7.4,1.5,2.8,2.8
2008-08-15 20:30:00,2.8,-4.3,-4.9,-4.9
2008-07-15 20:30:00,-4.9,-7.7,-8.7,-8.6
2008-06-16 20:30:00,-8.6,-1.5,-3.2,-3.2
2008-05-15 21:30:00,-3.2,0.1,0.6,0.6
2008-04-15 20:30:00,0.6,-17.0,-22.2,-22.2
2008-03-17 20:30:00,-22.2,-7.5,-11.7,7.01
2008-02-01 17:00:00,7.01,,8.69,8.69
2008-01-01 17:00:00,8.69,,25.77,25.77
2007-12-01 17:00:00,25.77,,26.1,26.1
2007-11-01 17:00:00,26.1,,14.74,14.74
2007-10-01 17:00:00,14.74,,22.69,22.69
2007-09-01 17:00:00,22.69,,26.32,26.32
2007-08-01 17:00:00,26.32,,24.34,24.34
2007-07-01 17:00:00,24.34,,9.94,9.94
2007-06-01 17:00:00,9.94,,3.8,3.8
2007-05-01 17:00:00,3.8,,13.42,13.42
2007-04-01 17:00:00,13.42,,24.41,24.41
2007-03-01 17:00:00,24.41,,7.31,7.31
2007-02-01 17:00:00,7.31,,20.12,20.12
2007-01-01 17:00:00,20.12,,22.85,22.85
2006-12-01 17:00:00,22.85,,18.89,18.89
2006-11-01 17:00:00,18.89,,14.97,14.97
2006-10-01 17:00:00,14.97,,11.63,11.63
2006-09-01 17:00:00,11.63,,16.63,16.63
2006-08-01 17:00:00,16.63,,26.49,26.49
2006-07-01 17:00:00,26.49,,18.62,18.62
2006-06-01 17:00:00,18.62,,18.43,18.43
2006-05-01 17:00:00,18.43,,33.16,33.16
2006-04-01 17:00:00,33.16,,20.87,20.87
