datetime,JP_IO_MoM_Actual,JP_IO_MoM_Srv_Med,JP_IO_MoM_Revised,JP_IO_MoM_Prior,Is_P
2021-08-31 07:50:00,-1.5,-2.5,6.5,6.2,1.0
2021-08-16 12:30:00,6.5,6.2,-6.5,-6.5,0.0
2021-07-30 07:50:00,6.2,5.0,-6.5,-5.9,1.0
2021-07-14 12:30:00,-6.5,,2.9,2.9,0.0
2021-06-30 07:50:00,-5.9,-2.4,2.9,2.5,1.0
2021-06-14 12:30:00,2.9,2.5,1.7,1.7,0.0
2021-05-31 07:50:00,2.5,4.1,1.7,2.2,1.0
2021-05-19 12:30:00,1.7,,2.2,-2.1,0.0
2021-04-30 07:50:00,2.2,-2.0,-1.3,-1.3,1.0
2021-04-19 12:30:00,-1.3,,-2.1,4.2,1.0
2021-03-31 07:50:00,-2.1,-1.2,4.3,4.3,0.0
2021-03-16 12:30:00,4.3,,1.0,-1.0,0.0
2021-02-26 07:50:00,4.2,4.0,-1.0,-1.6,1.0
2021-02-15 12:30:00,-1.0,,-1.6,1.0,0.0
2021-01-29 07:50:00,-1.6,-1.5,-0.5,-0.5,1.0
2021-01-18 12:30:00,-0.5,,0.0,0.0,1.0
2020-12-28 07:50:00,0.0,1.2,4.0,4.0,1.0
2020-12-14 12:30:00,4.0,3.8,3.9,3.8,1.0
2020-11-30 07:50:00,3.8,,3.9,3.9,1.0
2020-11-16 12:30:00,3.9,4.0,4.0,4.0,1.0
2020-10-30 07:50:00,4.0,3.2,1.0,1.7,1.0
2020-10-14 12:30:00,1.0,1.7,8.7,8.7,0.0
2020-09-30 07:50:00,1.7,1.5,8.7,8.0,1.0
2020-09-14 12:30:00,8.7,8.0,1.9,1.9,0.0
2020-08-31 07:50:00,8.0,5.8,1.9,2.7,1.0
2020-08-17 12:30:00,1.9,2.7,-8.9,-8.9,0.0
2020-07-31 07:50:00,2.7,1.2,-8.9,-8.4,1.0
2020-07-14 12:30:00,-8.9,-8.4,-9.8,-9.8,0.0
2020-06-30 07:50:00,-8.4,-5.6,-9.8,-9.1,1.0
2020-06-12 12:30:00,-9.8,-9.1,-3.7,-3.7,0.0
2020-05-29 07:50:00,-9.1,-5.1,-3.7,-3.7,1.0
2020-05-19 12:30:00,-3.7,-3.7,-0.3,-0.3,0.0
2020-04-30 07:50:00,-3.7,-5.2,-0.3,0.4,1.0
2020-04-17 12:30:00,-0.3,0.4,1.0,1.0,0.0
2020-03-31 07:50:00,0.4,0.1,1.0,0.8,1.0
2020-03-17 12:30:00,1.0,0.8,1.2,1.2,0.0
2020-02-28 07:50:00,0.8,0.2,1.2,1.3,1.0
2020-02-17 12:30:00,1.2,,1.3,-1.0,0.0
2020-01-31 07:50:00,1.3,0.7,-1.0,-0.9,1.0
2020-01-20 12:30:00,-1.0,-0.9,-4.5,-4.5,0.0
2019-12-27 07:50:00,-0.9,-1.4,-4.5,-4.2,1.0
2019-12-13 12:30:00,-4.5,-4.2,-4.2,1.7,0.0
2019-11-29 07:50:00,-4.2,-2.1,1.7,1.4,1.0
2019-11-15 12:30:00,1.7,1.4,-1.2,-1.2,0.0
2019-10-31 07:50:00,1.4,0.4,-1.2,-1.2,1.0
2019-10-15 12:30:00,-1.2,-1.2,1.3,1.3,0.0
2019-09-30 07:50:00,-1.2,-0.5,1.3,1.3,1.0
2019-09-13 12:30:00,1.3,1.3,-3.3,-3.3,0.0
2019-08-30 07:50:00,1.3,0.3,-3.3,2.3,1.0
2019-08-15 12:30:00,-3.3,-3.6,-3.6,-3.6,0.0
2019-07-30 07:50:00,-3.6,-2.0,2.0,2.0,0.0
2019-07-12 12:30:00,2.0,2.3,2.3,0.6,0.0
2019-06-28 07:50:00,2.3,0.7,0.6,0.6,1.0
2019-06-14 12:30:00,0.6,0.6,0.6,-0.6,0.0
2019-05-31 07:50:00,0.6,0.2,-0.6,-0.9,1.0
2019-05-20 12:30:00,-0.6,-0.9,-0.9,0.7,0.0
2019-04-26 07:50:00,-0.9,0.1,0.7,1.4,1.0
2019-04-17 12:30:00,0.7,1.4,1.4,-3.4,0.0
2019-03-29 07:50:00,1.4,1.4,-3.4,-3.7,1.0
2019-03-18 12:30:00,-3.4,-3.7,-3.7,-0.1,0.0
2019-02-28 07:50:00,-3.7,-2.4,-0.1,-0.1,1.0
2019-02-15 12:30:00,-0.1,-0.1,-0.1,-1.0,0.0
2019-01-31 07:50:00,-0.1,-0.5,-1.0,-1.1,1.0
2019-01-18 12:30:00,-1.0,-1.1,-1.1,2.9,0.0
2018-12-28 07:50:00,-1.1,-1.7,2.9,2.9,1.0
2018-12-14 12:30:00,2.9,2.8,2.9,-0.4,0.0
2018-11-30 07:50:00,2.9,1.2,-0.4,-1.1,1.0
2018-11-14 12:30:00,-0.4,-1.1,-1.1,0.2,0.0
2018-10-31 07:50:00,-1.1,-0.2,0.2,0.7,1.0
2018-10-15 12:30:00,0.2,0.7,0.7,-0.2,0.0
2018-09-28 07:50:00,0.7,1.5,-0.2,-0.1,1.0
2018-09-14 12:30:00,-0.2,-0.1,-0.1,-1.8,0.0
2018-08-31 07:50:00,-0.1,0.2,-1.8,-2.1,1.0
2018-08-14 12:30:00,-1.8,-2.1,-2.1,-0.2,0.0
2018-07-31 07:50:00,-2.1,-0.3,-0.2,-0.2,1.0
2018-07-13 12:30:00,-0.2,-0.2,-0.2,0.5,0.0
2018-06-29 07:50:00,-0.2,-1.1,0.5,0.3,1.0
2018-06-14 12:30:00,0.5,0.3,0.3,1.4,0.0
2018-05-31 07:50:00,0.3,1.5,1.4,1.2,1.0
2018-05-16 12:30:00,1.4,1.2,1.2,0.0,0.0
2018-04-27 07:50:00,1.2,0.5,2.0,4.1,1.0
