datetime,UK_PPINSA_YoY_Actual,UK_PPINSA_YoY_Srv_Med,UK_PPINSA_YoY_Revised,UK_PPINSA_YoY_Prior
2023-08-16 14:00:00,-0.8,-1.3,0.3,0.1
2023-07-19 14:00:00,0.1,0.5,2.7,2.9
2023-06-21 14:00:00,2.9,3.6,5.2,5.4
2023-05-24 14:00:00,5.4,8.6,8.5,8.7
2023-04-19 14:00:00,8.7,8.6,11.9,12.1
2023-03-22 15:00:00,12.1,12.4,13.5,13.5
2023-02-15 15:00:00,13.5,13.3,14.6,14.7
2023-01-25 15:00:00,14.7,16.4,17.5,14.8
2022-11-16 15:00:00,14.8,14.6,16.3,15.9
2022-10-19 14:00:00,15.9,15.7,16.4,16.1
2022-09-14 14:00:00,16.1,17.4,17.1,17.1
2022-08-17 14:00:00,17.1,16.2,16.4,16.5
2022-07-20 14:00:00,16.5,16.0,15.8,15.7
2022-06-22 14:00:00,15.7,14.7,14.7,14.0
2022-05-18 14:00:00,14.0,12.5,11.9,11.9
2022-04-13 14:00:00,11.9,11.1,10.2,10.1
2022-03-23 15:00:00,10.1,10.1,9.9,9.9
2022-02-16 15:00:00,9.9,9.1,9.3,9.3
2022-01-19 15:00:00,9.3,9.4,9.4,9.1
2021-12-15 15:00:00,9.1,8.3,8.6,8.0
2021-11-17 15:00:00,8.0,7.3,7.0,6.7
2021-10-20 14:00:00,6.7,6.8,6.0,5.9
2021-09-15 14:00:00,5.9,5.4,5.1,4.9
2021-08-18 14:00:00,4.9,4.4,4.5,4.3
2021-07-14 14:00:00,4.3,4.8,4.4,4.6
2021-06-16 14:00:00,4.6,4.5,4.0,3.9
2021-05-19 14:00:00,3.9,3.5,2.3,1.9
2021-04-21 14:00:00,1.9,1.7,0.9,0.9
2021-03-24 15:00:00,0.9,0.3,0.1,-0.2
2021-02-17 15:00:00,-0.2,-0.4,-0.5,-0.4
2021-01-20 15:00:00,-0.4,-0.6,-0.6,-0.8
2020-12-16 15:00:00,-0.8,-0.9,-1.4,-1.4
2020-11-18 15:00:00,-1.4,-0.7,-1.6,-0.9
2020-10-21 14:00:00,-0.9,-0.9,-0.9,-0.9
2020-09-16 14:00:00,-0.9,-0.7,-0.9,-0.9
2020-08-19 14:00:00,-0.9,-0.9,-0.9,-0.8
2020-07-15 14:00:00,-0.8,-1.1,-1.2,-1.4
2020-06-17 14:00:00,-1.4,-0.9,-0.7,-0.7
2020-05-20 14:00:00,-0.7,-0.4,0.3,0.3
2020-04-22 14:00:00,0.3,-0.1,0.5,0.4
2020-03-25 15:00:00,0.4,0.9,1.0,1.1
2020-02-19 17:30:00,1.1,1.0,0.9,0.9
2020-01-15 17:30:00,0.9,0.9,0.5,0.5
2019-12-18 17:30:00,0.5,0.8,0.8,0.8
2019-11-13 17:30:00,0.8,0.9,1.2,1.2
2019-10-16 16:30:00,1.2,1.3,1.7,1.6
2019-09-18 16:30:00,1.6,1.7,1.9,1.8
2019-08-14 16:30:00,1.8,1.7,1.6,1.6
2019-07-17 16:30:00,1.6,1.7,1.9,1.8
2019-06-19 16:30:00,1.8,1.7,2.1,2.1
2019-05-22 16:30:00,2.1,2.3,2.2,2.4
2019-04-17 16:30:00,2.4,2.1,2.4,2.2
2019-03-20 17:30:00,2.2,2.2,2.1,2.1
2019-02-13 17:30:00,2.1,2.2,2.4,2.5
2019-01-16 17:30:00,2.5,2.9,3.0,3.1
2018-12-19 17:30:00,3.1,2.9,3.3,3.3
2018-11-14 17:30:00,3.3,3.1,3.1,3.1
2018-10-17 16:30:00,3.1,2.9,2.9,2.9
2018-09-19 16:30:00,2.9,2.9,3.1,3.1
2018-08-15 16:30:00,3.1,3.0,3.3,3.1
2018-07-18 16:30:00,3.1,3.2,3.0,2.9
2018-06-13 16:30:00,2.9,2.9,2.5,2.7
2018-05-23 16:30:00,2.7,2.3,2.7,2.4
2018-04-18 16:30:00,2.4,2.3,2.6,2.6
2018-03-20 17:30:00,2.6,2.7,2.8,2.8
2018-02-13 17:30:00,2.8,3.0,3.3,3.3
2018-01-16 17:30:00,3.3,2.9,3.1,3.0
2017-12-12 17:30:00,3.0,3.0,2.8,2.8
2017-11-14 17:30:00,2.8,2.9,3.3,3.3
2017-10-17 16:30:00,3.3,3.3,3.4,3.4
2017-09-12 16:30:00,3.4,3.1,3.2,3.2
