datetime,AUS_UER_MoM_Actual,AUS_UER_MoM_Srv_Med,AUS_UER_MoM_Revised,AUS_UER_MoM_Prior
2023-08-17 09:30:00,3.7,3.6,3.5,3.5
2023-07-20 09:30:00,3.5,3.6,3.5,3.6
2023-06-15 09:30:00,3.6,3.7,3.7,3.7
2023-05-18 09:30:00,3.7,3.5,3.5,3.5
2023-04-13 09:30:00,3.5,3.6,3.5,3.5
2023-03-16 08:30:00,3.5,3.6,3.7,3.7
2023-02-16 08:30:00,3.7,3.5,3.5,3.5
2023-01-19 08:30:00,3.5,3.4,3.5,3.4
2022-12-15 08:30:00,3.4,3.4,3.4,3.4
2022-11-17 08:30:00,3.4,3.6,3.5,3.5
2022-10-20 08:30:00,3.5,3.5,3.5,3.5
2022-09-15 09:30:00,3.5,3.4,3.4,3.4
2022-08-18 09:30:00,3.4,3.5,3.5,3.5
2022-07-14 09:30:00,3.5,3.8,3.9,3.9
2022-06-16 09:30:00,3.9,3.8,3.9,3.9
2022-05-19 09:30:00,3.9,3.9,3.9,4.0
2022-04-14 09:30:00,4.0,3.9,4.0,4.0
2022-03-17 08:30:00,4.0,4.1,4.2,4.2
2022-02-17 08:30:00,4.2,4.2,4.2,4.2
2022-01-20 08:30:00,4.2,4.5,4.6,4.6
2021-12-16 08:30:00,4.6,5.0,5.2,5.2
2021-11-11 08:30:00,5.2,4.8,4.6,4.6
2021-10-14 08:30:00,4.6,4.8,4.5,4.5
2021-09-16 09:30:00,4.5,4.9,4.6,4.6
2021-08-19 09:30:00,4.6,5.0,4.9,4.9
2021-07-15 09:30:00,4.9,5.0,5.1,5.1
2021-06-17 09:30:00,5.1,5.5,5.5,5.5
2021-05-20 09:30:00,5.5,5.6,5.7,5.6
2021-04-15 09:30:00,5.6,5.7,5.8,5.8
2021-03-18 08:30:00,5.8,6.3,6.4,6.4
2021-02-18 08:30:00,6.4,6.5,6.6,6.6
2021-01-21 08:30:00,6.6,6.7,6.8,6.8
2020-12-17 08:30:00,6.8,7.0,7.0,7.0
2020-11-19 08:30:00,7.0,7.2,6.9,6.9
2020-10-15 08:30:00,6.9,7.1,6.8,6.8
2020-09-17 09:30:00,6.8,7.7,7.5,7.5
2020-08-13 09:30:00,7.5,7.8,7.4,7.4
2020-07-16 09:30:00,7.4,7.4,7.1,7.1
2020-06-18 09:30:00,7.1,7.0,6.2,6.2
2020-05-14 09:30:00,6.2,8.3,5.2,5.2
2020-04-16 09:30:00,5.2,5.5,5.1,5.1
2020-03-19 08:30:00,5.1,5.3,5.3,5.3
2020-02-20 08:30:00,5.3,5.2,5.1,5.1
2020-01-23 08:30:00,5.1,5.2,5.2,5.2
2019-12-19 08:30:00,5.2,5.3,5.3,5.3
2019-11-14 08:30:00,5.3,5.3,5.2,5.2
2019-10-17 08:30:00,5.2,5.3,5.3,5.3
2019-09-19 09:30:00,5.3,5.3,5.2,5.2
2019-08-15 09:30:00,5.2,5.2,5.2,5.2
2019-07-18 09:30:00,5.2,5.2,5.2,5.2
2019-06-13 09:30:00,5.2,5.1,5.2,5.2
2019-05-16 09:30:00,5.2,5.0,5.1,5.0
2019-04-18 09:30:00,5.0,5.0,4.9,4.9
2019-03-21 08:30:00,4.9,5.0,5.0,5.0
2019-02-21 08:30:00,5.0,5.0,5.0,5.0
2019-01-24 08:30:00,5.0,5.1,5.1,5.1
2018-12-20 08:30:00,5.1,5.0,5.0,5.0
2018-11-15 08:30:00,5.0,5.1,5.0,5.0
2018-10-18 08:30:00,5.0,5.3,5.3,5.3
2018-09-13 09:30:00,5.3,5.3,5.3,5.3
2018-08-16 09:30:00,5.3,5.4,5.4,5.4
2018-07-19 09:30:00,5.4,5.4,5.4,5.4
2018-06-14 09:30:00,5.4,5.5,5.6,5.6
2018-05-17 09:30:00,5.6,5.5,5.5,5.5
2018-04-19 09:30:00,5.5,5.5,5.5,5.6
2018-03-22 08:30:00,5.6,5.5,5.5,5.5
2018-02-15 08:30:00,5.5,5.5,5.6,5.5
2018-01-18 08:30:00,5.5,5.4,5.4,5.4
2017-12-14 08:30:00,5.4,5.4,5.4,5.4
2017-11-16 08:30:00,5.4,5.5,5.5,5.5
2017-10-19 08:30:00,5.5,5.6,5.6,5.6
2017-09-14 09:30:00,5.6,5.6,5.6,5.6
2017-08-17 09:30:00,5.6,5.6,5.7,5.6
2017-07-20 09:30:00,5.6,5.6,5.6,5.5
2017-06-15 09:30:00,5.5,5.7,5.7,5.7
2017-05-18 09:30:00,5.7,5.9,5.9,5.9
2017-04-13 09:30:00,5.9,5.9,5.9,5.9
2017-03-16 08:30:00,5.9,5.7,5.7,5.7
2017-02-16 08:30:00,5.7,5.8,5.8,5.8
2017-01-19 08:30:00,5.8,5.7,5.7,5.7
2016-12-15 08:30:00,5.7,5.6,5.6,5.6
2016-11-17 08:30:00,5.6,5.6,5.6,5.6
2016-10-20 08:30:00,5.6,5.7,5.6,5.6
2016-09-15 09:30:00,5.6,5.7,5.7,5.7
2016-08-18 09:30:00,5.7,5.8,5.8,5.8
2016-07-14 09:30:00,5.8,5.8,5.7,5.7
2016-06-16 09:30:00,5.7,5.7,5.7,5.7
2016-05-19 09:30:00,5.7,5.8,5.7,5.7
2016-04-14 09:30:00,5.7,5.9,5.8,5.8
2016-03-17 08:30:00,5.8,6.0,6.0,6.0
2016-02-18 08:30:00,6.0,5.8,5.8,5.8
2016-01-14 08:30:00,5.8,5.9,5.8,5.8
2015-12-10 08:30:00,5.8,6.0,5.9,5.9
2015-11-12 08:30:00,5.9,6.2,6.2,6.2
2015-10-15 08:30:00,6.2,6.3,6.2,6.2
2015-09-10 09:30:00,6.2,6.2,6.3,6.3
2015-08-06 09:30:00,6.3,6.0,6.1,6.0
2015-07-09 09:30:00,6.0,6.1,5.9,6.0
2015-06-11 09:30:00,6.0,6.2,6.1,6.2
2015-05-07 09:30:00,6.2,6.2,6.1,6.1
2015-04-16 09:30:00,6.1,6.3,6.2,6.3
