datetime,GE_SPMI_MoM_Actual,GE_SPMI_MoM_Srv_Med,GE_SPMI_MoM_Revised,GE_SPMI_MoM_Prior,Is_P
2019-07-03 15:55:00,55.8,55.6,55.6,55.4,0
2019-06-21 15:30:00,55.6,55.3,55.4,55.0,1
2019-06-05 15:55:00,55.4,55.0,55.0,55.7,0
2019-05-23 15:30:00,55.0,55.5,55.7,55.6,1
2019-05-06 15:55:00,55.7,55.6,55.6,55.4,0
2019-04-18 15:30:00,55.6,55.1,55.4,54.9,1
2019-04-03 15:55:00,55.4,54.9,54.9,55.3,0
2019-03-22 16:30:00,54.9,54.8,55.3,55.1,1
2019-03-05 16:55:00,55.3,55.1,55.1,53.0,0
2019-02-21 16:30:00,55.1,52.8,53.0,53.1,1
2019-02-05 16:55:00,53.0,53.1,53.1,51.8,0
2019-01-24 16:30:00,53.1,52.2,51.8,52.5,1
2019-01-04 16:55:00,51.8,52.5,52.5,53.3,0
2008-03-05 16:55:00,52.2,49.8,49.2,55.9,0
2018-12-14 16:30:00,52.5,53.4,53.3,53.3,1
2018-12-05 16:55:00,53.3,53.3,53.3,54.7,0
2018-11-23 16:30:00,53.3,54.6,54.7,53.6,1
2018-11-06 16:55:00,54.7,53.6,53.6,55.9,0
2018-10-24 15:30:00,53.6,55.5,55.9,56.5,1
2018-10-03 15:55:00,55.9,56.5,56.5,55.0,0
2018-09-21 15:30:00,56.5,55.0,55.0,55.2,1
2018-09-05 15:55:00,55.0,55.2,55.2,54.1,0
2018-08-23 15:30:00,55.2,54.3,54.1,54.4,1
2018-08-03 15:55:00,54.1,54.4,54.4,54.5,0
2018-07-24 15:30:00,54.4,54.6,54.5,53.9,1
2018-07-04 15:55:00,54.5,53.9,53.9,52.1,0
2018-06-22 15:30:00,53.9,52.2,52.1,52.1,1
2013-09-04 15:53:00,52.8,52.4,52.4,51.3,0
2018-06-05 15:55:00,52.1,52.1,52.1,53.0,0
2018-05-23 15:30:00,52.1,53.1,53.0,54.1,1
2013-08-22 15:28:00,52.4,51.8,51.3,52.5,1
2013-08-05 15:53:00,51.3,52.5,52.5,50.4,0
2018-05-04 15:55:00,53.0,54.1,54.1,53.9,0
2018-04-23 15:30:00,54.1,53.9,53.9,54.2,1
2013-07-24 15:28:00,52.5,50.8,50.4,51.3,1
2013-07-03 15:53:00,50.4,51.3,51.3,49.7,0
2018-04-05 15:55:00,53.9,54.2,54.2,55.3,0
2013-06-20 15:28:00,51.3,50.0,49.7,49.8,1
2018-03-22 16:30:00,54.2,55.0,55.3,55.3,1
2013-06-05 15:53:00,49.7,49.8,49.8,49.6,0
2018-03-05 16:55:00,55.3,55.3,55.3,57.3,0
2018-02-21 16:30:00,55.3,56.9,57.3,57.0,1
2013-05-23 15:28:00,49.8,50.0,49.6,49.2,1
2013-05-06 15:53:00,49.6,49.2,49.2,50.9,0
2018-02-05 16:55:00,57.3,57.0,57.0,55.8,0
2013-04-23 15:28:00,49.2,51.0,50.9,51.6,1
2018-01-24 16:30:00,57.0,55.6,55.8,55.8,1
2013-04-04 15:53:00,50.9,51.6,51.6,54.7,0
2018-01-04 16:55:00,55.8,55.8,55.8,54.3,0
2017-12-14 16:30:00,55.8,54.7,54.3,54.9,1
2013-03-21 16:28:00,51.6,55.0,54.7,54.1,1
2017-12-05 16:55:00,54.3,54.9,54.9,54.7,0
2013-03-05 16:55:00,54.7,54.1,54.1,55.7,0
2013-02-21 16:28:00,54.1,55.5,55.7,55.3,1
2017-11-23 16:30:00,54.9,55.0,54.7,55.2,1
2013-02-05 16:55:00,55.7,55.3,55.3,52.0,0
2017-11-06 16:55:00,54.7,55.2,55.2,55.6,0
2017-10-24 15:30:00,55.2,55.6,55.6,55.6,1
2013-01-24 16:28:00,55.3,52.0,52.0,52.1,1
2013-01-04 16:55:00,52.0,52.1,52.1,49.7,0
2017-10-04 15:55:00,55.6,55.6,55.6,53.5,0
2017-09-22 15:30:00,55.6,53.8,53.5,53.4,1
2012-12-14 16:28:00,52.1,50.0,49.7,48.0,1
2017-09-05 15:55:00,53.5,53.4,53.4,53.1,0
2012-12-05 16:55:00,49.7,48.0,48.0,48.4,0
2012-11-22 16:30:00,48.0,48.5,48.4,49.3,1
