datetime,US_EROPC_WoW_Actual,US_EROPC_WoW_Srv_Med,US_EROPC_WoW_Revised,US_EROPC_WoW_Prior
2021-07-14 22:30:00,-0.041,,-0.062,-0.062
2021-07-08 23:00:00,-0.062,,-0.083,-0.083
2021-06-30 22:30:00,-0.083,,0.056,0.056
2021-06-23 22:30:00,0.056,,0.138,0.138
2021-06-16 22:30:00,0.138,,0.111,0.111
2021-06-09 22:30:00,0.111,,0.142,0.142
2021-06-03 23:00:00,0.142,,0.112,0.112
2021-05-26 22:30:00,0.112,,-0.102,-0.102
2021-05-19 22:30:00,-0.102,,0.157,0.157
2021-05-12 22:30:00,0.157,,-0.128,-0.128
2021-05-05 22:30:00,-0.128,,0.071,0.071
2021-04-28 22:30:00,0.071,,-0.088,-0.088
2021-04-21 22:30:00,-0.088,,0.004,0.004
2021-04-14 22:30:00,0.004,,-0.099,-0.099
2021-04-07 22:30:00,-0.099,,0.137,0.137
2021-03-31 22:30:00,0.137,,0.373,0.373
2021-03-24 22:30:00,0.373,,0.524,0.524
2021-03-17 22:30:00,0.524,,0.806,0.806
2021-03-10 23:30:00,0.806,,-0.723,-0.723
2021-03-03 23:30:00,-0.723,,-0.953,-0.953
2021-02-24 23:30:00,-0.953,,-0.086,-0.086
2021-02-19 00:00:00,-0.086,,0.038,0.038
2021-02-10 23:30:00,0.038,,0.104,0.104
2021-02-03 23:30:00,0.104,,-0.011,-0.011
2021-01-27 23:30:00,-0.011,,-0.132,-0.132
2021-01-23 00:00:00,-0.132,,-0.124,-0.124
2021-01-13 23:30:00,-0.124,,0.146,0.146
2021-01-06 23:30:00,0.146,,0.049,0.049
2020-12-30 23:30:00,0.049,,-0.014,-0.014
2020-12-23 23:30:00,-0.014,,-0.067,-0.067
2020-12-16 23:30:00,-0.067,,0.084,0.084
2020-12-09 23:30:00,0.084,,-0.021,-0.021
2020-12-02 23:30:00,-0.021,,0.333,0.333
2020-11-25 23:30:00,0.333,,0.038,0.038
2020-11-18 23:30:00,0.038,,-0.038,-0.038
2020-11-13 00:00:00,-0.038,,0.149,0.149
2020-11-04 23:30:00,0.149,,-0.005,-0.005
2020-10-28 22:30:00,-0.005,,-0.138,-0.138
2020-10-21 22:30:00,-0.138,,-0.263,-0.263
2020-10-15 23:00:00,-0.263,,0.174,0.174
2020-10-07 22:30:00,0.174,,-0.112,-0.112
2020-09-30 22:30:00,-0.112,,0.067,0.067
2020-09-23 22:30:00,0.067,,0.005,0.005
2020-09-16 22:30:00,0.005,,-0.381,-0.381
2020-09-10 23:00:00,-0.381,,-0.343,-0.343
2020-09-02 22:30:00,-0.343,,0.38,0.380
2020-08-26 22:30:00,0.380,,-0.047,-0.047
2020-08-19 22:30:00,-0.047,,-0.12,-0.120
2020-08-12 22:30:00,-0.120,,0.126,0.126
2020-08-05 22:30:00,0.126,,0.02,0.020
2020-07-29 22:30:00,0.020,,-0.097,-0.097
2020-07-22 22:30:00,-0.097,,0.104,0.104
2020-07-15 22:30:00,0.104,,0.132,0.132
2020-07-08 22:30:00,0.132,,0.063,0.063
2020-07-01 22:30:00,0.063,,0.063,0.063
2020-06-24 22:30:00,0.063,,-0.264,-0.264
2020-06-17 22:30:00,-0.264,,0.048,0.048
2020-06-10 22:30:00,0.048,,-0.066,-0.066
2020-06-03 22:30:00,-0.066,,-0.024,-0.024
2020-05-28 23:00:00,-0.024,,-0.088,-0.088
2020-05-20 22:30:00,-0.088,,-0.19,-0.190
2020-05-13 22:30:00,-0.190,,0.1,0.100
2020-05-06 22:30:00,0.100,,-0.025,-0.025
2020-04-29 22:30:00,-0.025,,0.08,0.080
2020-04-22 22:30:00,0.080,,-0.055,-0.055
2020-04-15 22:30:00,-0.055,,0.016,0.016
2020-04-08 22:30:00,0.016,,0.128,0.128
2020-04-01 22:30:00,0.128,,0.152,0.152
2020-03-25 22:30:00,0.152,,-0.019,-0.019
2020-03-18 22:30:00,-0.019,,0.057,0.057
2020-03-11 22:30:00,0.057,,-0.198,-0.198
2020-03-04 23:30:00,-0.198,,-0.006,-0.006
2020-02-26 23:30:00,-0.006,,0.015,0.015
2020-02-21 00:00:00,0.015,,-0.139,-0.139
2020-02-12 23:30:00,-0.139,,-0.003,-0.003
2020-02-05 23:30:00,-0.003,,0.025,0.025
2020-01-29 23:30:00,0.025,,-0.251,-0.251
2020-01-24 00:00:00,-0.251,,-0.105,-0.105
2020-01-15 23:30:00,-0.105,,-0.001,-0.001
2020-01-08 23:30:00,-0.001,,-0.083,-0.083
2020-01-04 00:00:00,-0.083,,0.322,0.322
2019-12-28 00:00:00,0.322,,-0.156,-0.156
2019-12-18 23:30:00,-0.156,,-0.035,-0.035
2019-12-11 23:30:00,-0.035,,0.188,0.188
2019-12-04 23:30:00,0.188,,-0.049,-0.049
2019-11-27 23:30:00,-0.049,,0.085,0.085
2019-11-20 23:30:00,0.085,,0.164,0.164
2019-11-15 00:00:00,0.164,,-0.095,-0.095
2019-11-06 23:30:00,-0.095,,0.205,0.205
2019-10-30 22:30:00,0.205,,0.077,0.077
2019-10-23 22:30:00,0.077,,-0.147,-0.147
2019-10-17 23:00:00,-0.147,,0.022,0.022
2019-10-09 22:30:00,0.022,,-0.187,-0.187
2019-10-02 22:30:00,-0.187,,-0.109,-0.109
2019-09-25 22:30:00,-0.109,,-0.232,-0.232
2019-09-18 22:30:00,-0.232,,0.187,0.187
2019-09-11 22:30:00,0.187,,-0.039,-0.039
2019-09-05 23:00:00,-0.039,,-0.147,-0.147
2019-08-28 22:30:00,-0.147,,0.263,0.263
