datetime,JP_TIAI_MoM_Actual,JP_TIAI_MoM_Srv_Med,JP_TIAI_MoM_Revised,JP_TIAI_MoM_Prior
2014-12-11 07:50:00,-0.2,-0.1,1.3,1.0
2014-11-12 07:50:00,1.0,0.9,-0.1,-0.1
2014-10-10 07:50:00,-0.1,0.2,-0.3,0.0
2014-09-09 07:50:00,0.0,0.3,0.0,-0.1
2014-08-11 07:50:00,-0.1,0.2,0.9,0.9
2014-07-10 07:50:00,0.9,1.9,-5.7,-5.4
2014-06-10 07:50:00,-5.4,-3.3,2.4,2.4
2014-05-15 07:50:00,2.4,2.5,-0.9,-1.0
2014-04-18 07:50:00,-1.0,0.2,1.6,0.9
2014-03-12 07:50:00,0.9,0.7,-0.5,-0.4
2014-02-12 07:50:00,-0.4,-0.2,0.8,0.6
2014-01-16 07:50:00,0.6,0.8,-0.9,-0.7
2013-12-10 07:50:00,-0.7,0.3,0.0,-0.2
2013-11-12 07:50:00,-0.2,0.2,0.6,0.7
2013-10-10 07:50:00,0.7,0.5,-0.4,-0.4
2013-09-10 07:50:00,-0.4,-0.4,-0.5,-0.3
2013-08-09 07:50:00,-0.3,-0.2,1.3,1.2
2013-07-10 07:50:00,1.2,0.9,-0.5,0.0
2013-06-17 07:50:00,0.0,0.2,-0.2,-1.3
2013-05-15 07:50:00,-1.3,-0.6,1.2,1.1
2013-04-12 07:50:00,1.1,,-1.5,-1.1
2013-03-12 07:50:00,-1.1,-0.1,1.1,1.4
2013-02-13 07:50:00,1.4,0.8,-0.4,-0.3
2013-01-17 07:50:00,-0.3,0.1,0.1,-0.1
2012-12-12 07:50:00,-0.1,-0.3,0.2,0.3
2012-11-12 07:50:00,0.3,0.0,0.3,0.4
2012-10-12 07:50:00,0.4,0.5,-1.9,-0.8
2012-09-12 07:50:00,-0.8,-0.4,0.2,0.1
2012-08-14 07:50:00,0.1,-0.3,0.9,0.7
2012-07-11 07:50:00,0.7,0.2,-0.2,-0.3
2012-06-12 07:50:00,-0.3,0.4,-0.6,-0.6
2012-05-16 07:50:00,-0.6,-0.3,0.0,0.0
2012-04-20 07:50:00,0.0,0.8,-0.6,-1.7
2012-03-13 07:50:00,-1.7,0.4,1.8,1.4
2012-02-13 07:50:00,1.4,0.8,-0.6,-0.8
2012-01-17 07:50:00,-0.8,-0.4,0.7,0.6
2011-12-13 07:50:00,0.6,0.4,-0.7,-0.7
2011-11-11 07:50:00,-0.7,-0.5,0.0,-0.2
2011-10-13 07:50:00,-0.2,-0.3,-0.3,-0.1
2011-09-12 07:50:00,-0.1,0.3,1.8,1.9
2011-08-10 07:50:00,1.9,1.1,0.8,0.9
2011-07-12 07:50:00,0.9,0.7,2.5,2.6
2011-06-10 07:50:00,2.6,2.7,-5.9,-6.0
2011-05-18 07:50:00,-6.0,-5.4,1.0,0.8
2011-04-20 07:50:00,0.8,0.2,2.1,2.1
2011-03-17 07:50:00,2.1,1.4,-0.9,-0.8
2011-02-16 07:50:00,-0.8,-0.5,0.5,0.6
2011-01-19 07:50:00,0.6,0.6,0.3,0.5
2010-12-15 07:50:00,0.5,0.3,-0.8,-0.9
2010-11-16 07:50:00,-0.9,-0.5,0.1,-0.2
2010-10-18 07:50:00,-0.2,-0.5,1.6,1.6
2010-09-16 07:50:00,1.6,0.7,0.2,-0.1
2010-08-16 07:50:00,-0.1,0.0,-0.9,-0.9
2010-07-16 07:50:00,-0.9,-0.7,2.4,2.1
2010-06-16 07:50:00,2.1,2.5,-2.7,-3.0
2010-05-18 07:50:00,-3.0,-1.3,-0.3,-0.2
2010-04-20 07:50:00,-0.2,-0.9,2.9,2.9
2010-03-17 07:50:00,2.9,1.3,-0.9,-0.9
2010-02-17 07:50:00,-0.9,-0.2,-0.1,-0.2
2010-01-20 07:50:00,-0.2,-0.1,0.4,0.5
2009-12-16 07:50:00,0.5,0.5,-0.6,-0.5
2009-11-17 07:50:00,-0.5,0.1,0.3,0.3
2009-10-19 07:50:00,0.3,0.1,0.6,0.6
2009-09-17 07:50:00,0.6,0.6,0.2,0.1
2009-08-14 07:50:00,0.1,-0.3,-0.3,-0.1
2009-07-16 07:50:00,-0.1,0.3,2.2,2.2
2009-06-22 07:50:00,2.2,2.3,-2.8,-4.0
2009-05-21 07:50:00,-4.0,-1.5,-1.3,-0.8
2009-04-17 07:50:00,-0.8,-0.7,0.4,0.4
2009-03-17 07:50:00,0.4,-0.5,-1.6,-1.6
2009-02-17 07:50:00,-1.6,-1.6,-0.9,-0.9
2009-01-20 07:50:00,-0.9,-0.8,0.5,0.4
2008-12-16 07:50:00,0.4,-0.2,-0.6,-0.6
2008-11-17 07:50:00,-0.6,-0.6,-1.4,-1.4
2008-10-17 07:50:00,-1.4,-0.8,1.2,1.2
2008-09-18 07:50:00,1.2,0.4,-0.8,-0.8
2008-08-14 07:50:00,-0.8,-0.3,-0.2,-0.2
2008-07-16 07:50:00,-0.2,0.0,1.9,1.8
2008-06-17 07:50:00,1.8,0.5,0.3,0.3
2008-05-20 08:50:00,0.3,0.5,-1.7,-1.7
2008-04-21 07:50:00,-1.7,0.0,0.7,0.7
2008-03-17 07:50:00,0.7,0.0,-0.6,-0.6
2008-02-18 07:50:00,-0.6,-0.2,0.1,
