datetime,US_CPPI_YoY_Actual,US_CPPI_YoY_Srv_Med,US_CPPI_YoY_Revised,US_CPPI_YoY_Prior
10/29/2013 20:30,1.2,1.2,1.1,1.1
9/13/2013 20:30,1.1,1.3,1.2,1.2
8/14/2013 20:30,1.2,1.4,1.7,1.7
7/12/2013 20:30,1.7,1.6,1.7,1.7
6/14/2013 20:30,1.7,1.7,1.7,1.7
5/15/2013 20:30,1.7,1.7,1.7,1.7
4/12/2013 20:30,1.7,1.7,1.7,1.7
3/14/2013 20:30,1.7,1.7,1.8,1.8
2/20/2013 21:30,1.8,1.6,2,2
1/15/2013 21:30,2,2.1,2.2,2.2
12/13/2012 21:30,2.2,2.2,2.1,2.1
11/14/2012 21:30,2.1,2.5,2.3,2.3
10/12/2012 20:30,2.3,2.5,2.5,2.5
9/13/2012 20:30,2.5,2.6,2.5,2.5
8/14/2012 20:30,2.5,2.3,2.6,2.6
7/13/2012 20:30,2.6,2.6,2.7,2.7
6/13/2012 20:30,2.7,2.8,2.7,2.7
5/11/2012 20:30,2.7,2.8,2.9,2.3
4/1/2012 17:00,2.3,None,2.6,2.6
3/1/2012 17:00,2.6,None,2.5,2.5
2/1/2012 17:00,2.5,None,2.6,2.6
1/1/2012 17:00,2.6,None,2.7,2.7
12/1/2011 17:00,2.7,None,2.7,2.7
11/1/2011 17:00,2.7,None,2.9,2.9
10/1/2011 17:00,2.9,None,3,3
9/1/2011 17:00,3,None,2.7,2.7
8/1/2011 17:00,2.7,None,2.6,2.6
7/1/2011 17:00,2.6,None,2.3,2.3
6/1/2011 17:00,2.3,None,2.5,
