datetime,US_RPI_MoM_Actual,US_RPI_MoM_Srv_Med,US_RPI_MoM_Revised,US_RPI_MoM_Prior
10/30/2013 20:30,-0.1,0.2,0.5,-0.3
10/1/2013 17:00,-0.3,None,0.3,0.3
9/1/2013 17:00,0.3,None,-0.5,-0.5
8/1/2013 17:00,-0.5,None,0.1,0.1
7/1/2013 17:00,0.1,None,0.2,0.2
6/1/2013 17:00,0.2,None,0.2,0.2
5/1/2013 17:00,0.2,None,0.4,0.4
4/1/2013 17:00,0.4,None,-0.2,-0.2
3/1/2013 17:00,-0.2,None,-0.3,-0.3
2/1/2013 17:00,-0.3,None,0.7,0.7
1/1/2013 17:00,0.7,None,0.5,0.5
12/1/2012 17:00,0.5,None,-0.3,-0.3
11/1/2012 17:00,-0.3,None,-0.1,-0.1
10/1/2012 17:00,-0.1,None,-0.7,-0.7
9/1/2012 17:00,-0.7,None,0.2,0.2
8/1/2012 17:00,0.2,None,0.3,0.3
7/1/2012 17:00,0.3,None,0,0
6/1/2012 17:00,0,None,0.3,0.3
5/1/2012 17:00,0.3,None,-0.2,-0.2
4/1/2012 17:00,-0.2,None,-0.1,-0.1
3/1/2012 17:00,-0.1,None,0.2,0.2
2/1/2012 17:00,0.2,None,0.1,0.1
1/1/2012 17:00,0.1,None,-0.2,-0.2
12/1/2011 17:00,-0.2,None,0.4,0.4
11/1/2011 17:00,0.4,None,0.2,0.2
10/1/2011 17:00,0.2,None,-0.8,-0.8
9/1/2011 17:00,-0.8,None,0.4,0.4
8/1/2011 17:00,0.4,None,0.1,0.1
7/1/2011 17:00,0.1,None,-0.4,-0.4
6/1/2011 17:00,-0.4,None,0.1,0.1
5/1/2011 17:00,0.1,None,-0.4,-0.4
4/1/2011 17:00,-0.4,None,0,0
3/1/2011 17:00,0,None,-0.2,-0.2
2/1/2011 17:00,-0.2,None,0,0
1/1/2011 17:00,0,None,-0.5,-0.5
12/1/2010 17:00,-0.5,None,0.2,0.2
11/1/2010 17:00,0.2,None,0,0
10/1/2010 17:00,0,None,0,0
9/1/2010 17:00,0,None,0.4,0.4
8/1/2010 17:00,0.4,None,0,0
7/1/2010 17:00,0,None,0.2,0.2
6/1/2010 17:00,0.2,None,0.4,0.4
5/1/2010 17:00,0.4,None,0.3,0.3
4/1/2010 17:00,0.3,None,-0.1,-0.1
3/1/2010 17:00,-0.1,None,0.5,0.5
2/1/2010 17:00,0.5,None,0,0
1/1/2010 17:00,0,None,0.2,0.2
12/1/2009 17:00,0.2,None,-0.1,-0.1
11/1/2009 17:00,-0.1,None,-0.1,-0.1
10/1/2009 17:00,-0.1,None,-0.1,-0.1
9/1/2009 17:00,-0.1,None,0.5,0.5
8/1/2009 17:00,0.5,None,-0.9,-0.9
7/1/2009 17:00,-0.9,None,-0.4,-0.4
6/1/2009 17:00,-0.4,None,0.3,0.3
5/1/2009 17:00,0.3,None,-1,-1
4/1/2009 17:00,-1,None,0.3,0.3
3/1/2009 17:00,0.3,None,-0.2,-0.2
2/1/2009 17:00,-0.2,None,0.5,0.5
1/1/2009 17:00,0.5,None,2,2
12/1/2008 17:00,2,None,1.1,1.1
11/1/2008 17:00,1.1,None,-0.2,-0.2
10/1/2008 17:00,-0.2,None,0.6,0.6
9/1/2008 17:00,0.6,None,-0.4,-0.4
8/1/2008 17:00,-0.4,None,-0.8,-0.8
7/1/2008 17:00,-0.8,None,-0.2,-0.2
6/1/2008 17:00,-0.2,None,-0.5,-0.5
5/1/2008 17:00,-0.5,None,0.4,0.4
4/1/2008 17:00,0.4,None,0.1,0.1
3/1/2008 17:00,0.1,None,-0.5,-0.5
2/1/2008 17:00,-0.5,None,0.3,0.3
1/1/2008 17:00,0.3,None,-0.6,-0.6
