datetime,US_RC_Actual,US_RC_Srv_Med,US_RC_Revised,US_RC_Prior
8/1/2013 17:00,0.5,,0.1,0.1
7/1/2013 17:00,0.1,,0.4,0.4
6/1/2013 17:00,0.4,,-0.3,-0.3
5/1/2013 17:00,-0.3,,-0.1,-0.1
4/1/2013 17:00,-0.1,,0.2,0.2
3/1/2013 17:00,0.2,,0.7,0.7
2/1/2013 17:00,0.7,,0.6,0.6
1/1/2013 17:00,0.6,,0.5,0.5
12/1/2012 17:00,0.5,,-0.1,-0.1
11/1/2012 17:00,-0.1,,0.4,0.4
10/1/2012 17:00,0.4,,0,0
9/1/2012 17:00,0,,0.7,0.7
8/1/2012 17:00,0.7,,-0.3,-0.3
7/1/2012 17:00,-0.3,,0.3,0.3
6/1/2012 17:00,0.3,,-0.3,-0.3
5/1/2012 17:00,-0.3,,0.3,0.3
4/1/2012 17:00,0.3,,0.7,0.7
3/1/2012 17:00,0.7,,1.2,1.2
2/1/2012 17:00,1.2,,-0.6,-0.6
1/1/2012 17:00,-0.6,,0.2,0.2
12/1/2011 17:00,0.2,,0.6,0.6
11/1/2011 17:00,0.6,,0.2,0.2
10/1/2011 17:00,0.2,,0.5,0.5
9/1/2011 17:00,0.5,,0,0
8/1/2011 17:00,0,,0.7,0.7
7/1/2011 17:00,0.7,,0,0
6/1/2011 17:00,0,,0.6,0.6
5/1/2011 17:00,0.6,,0.6,0.6
4/1/2011 17:00,0.6,,0.4,0.4
3/1/2011 17:00,0.4,,0.8,0.8
2/1/2011 17:00,0.8,,0.1,0.1
1/1/2011 17:00,0.1,,1,1
12/1/2010 17:00,1,,0.5,0.5
11/1/2010 17:00,0.5,,0.3,0.3
10/1/2010 17:00,0.3,,1,1
9/1/2010 17:00,1,,-0.4,-0.4
8/1/2010 17:00,-0.4,,0.4,0.4
7/1/2010 17:00,0.4,,-0.2,-0.2
6/1/2010 17:00,-0.2,,-0.1,-0.1
5/1/2010 17:00,-0.1,,0.5,0.5
4/1/2010 17:00,0.5,,0.8,0.8
3/1/2010 17:00,0.8,,0.2,0.2
2/1/2010 17:00,0.2,,0.8,0.8
1/1/2010 17:00,0.8,,0,0
12/1/2009 17:00,0,,0.4,0.4
11/1/2009 17:00,0.4,,0.2,0.2
10/1/2009 17:00,0.2,,0.4,0.4
9/1/2009 17:00,0.4,,0,0
8/1/2009 17:00,0,,0,0
7/1/2009 17:00,0,,0.3,0.3
6/1/2009 17:00,0.3,,0.2,0.2
5/1/2009 17:00,0.2,,-1.4,-1.4
4/1/2009 17:00,-1.4,,0,0
3/1/2009 17:00,0,,1,1
2/1/2009 17:00,1,,-1.2,-1.2
1/1/2009 17:00,-1.2,,-0.6,-0.6
12/1/2008 17:00,-0.6,,-0.9,-0.9
11/1/2008 17:00,-0.9,,-1.5,-1.5
10/1/2008 17:00,-1.5,,-0.9,-0.9
9/1/2008 17:00,-0.9,,0.1,0.1
8/1/2008 17:00,0.1,,0.4,0.4
7/1/2008 17:00,0.4,,0.7,0.7
6/1/2008 17:00,0.7,,1.2,1.2
5/1/2008 17:00,1.2,,0.3,0.3
4/1/2008 17:00,0.3,,-0.6,-0.6
3/1/2008 17:00,-0.6,,-0.2,-0.2
2/1/2008 17:00,-0.2,,-0.3,-0.3
1/1/2008 17:00,-0.3,,1.1,1.1
12/1/2007 17:00,1.1,,0.3,0.3
11/1/2007 17:00,0.3,,0.2,0.2
10/1/2007 17:00,0.2,,-0.1,-0.1
9/1/2007 17:00,-0.1,,0.8,0.8
8/1/2007 17:00,0.8,,0.1,0.1
7/1/2007 17:00,0.1,,0.6,0.6
6/1/2007 17:00,0.6,,-0.5,-0.5
5/1/2007 17:00,-0.5,,0.9,0.9
4/1/2007 17:00,0.9,,0,0
3/1/2007 17:00,0,,0.2,0.2
2/1/2007 17:00,0.2,,1.3,1.3
1/1/2007 17:00,1.3,,0,0
12/1/2006 17:00,0,,0.4,0.4
11/1/2006 17:00,0.4,,0.8,0.8
10/1/2006 17:00,0.8,,0.5,0.5
9/1/2006 17:00,0.5,,0,0
8/1/2006 17:00,0,,0.2,0.2
7/1/2006 17:00,0.2,,0.2,0.2
6/1/2006 17:00,0.2,,0.2,0.2
5/1/2006 17:00,0.2,,0.3,0.3
4/1/2006 17:00,0.3,,0.1,0.1
