datetime,CAD_CPI_MoM_Actual,CAD_CPI_MoM_Srv_Med,CAD_CPI_MoM_Revised,CAD_CPI_MoM_Prior
3/21/2014 20:30,0.8,0.6,0.3,0.3
2/21/2014 21:30,0.3,0.1,-0.2,-0.2
1/24/2014 21:30,-0.2,-0.2,0,0
12/20/2013 21:30,0,-0.2,-0.2,-0.2
11/22/2013 21:30,-0.2,0.2,0.2,0.2
10/18/2013 20:30,0.2,0.1,0,0
9/20/2013 20:30,0,0.1,0.1,0.1
8/23/2013 20:30,0.1,0.1,0,0
7/19/2013 20:30,0,0.2,0.2,0.2
6/21/2013 20:30,0.2,0.4,-0.2,-0.2
5/17/2013 20:30,-0.2,0.1,0.2,0.2
4/19/2013 20:30,0.2,0.2,1.2,1.2
3/27/2013 20:30,1.2,1,0.1,0.1
2/22/2013 21:30,0.1,0,-0.6,-0.6
1/25/2013 21:30,-0.6,-0.2,-0.2,-0.2
12/21/2012 21:30,-0.2,-0.1,0.2,0.2
11/23/2012 21:30,0.2,0.2,0.2,0.2
10/19/2012 20:30,0.2,0.3,0.2,0.2
9/21/2012 20:30,0.2,0.4,-0.1,-0.1
8/17/2012 20:30,-0.1,0.2,-0.4,-0.4
7/20/2012 20:30,-0.4,-0.1,-0.1,-0.1
6/22/2012 20:30,-0.1,0.3,0.4,0.4
5/18/2012 20:30,0.4,0.3,0.4,0.4
4/20/2012 20:30,0.4,1,0.4,0.4
3/23/2012 19:00,0.4,0.5,0.4,0.4
2/17/2012 20:00,0.4,0.3,-0.6,-0.6
1/20/2012 20:00,-0.6,-0.1,0.1,0.1
12/20/2011 20:00,0.1,0.3,0.2,0.2
11/18/2011 20:00,0.2,0.1,0.2,0.2
10/21/2011 19:00,0.2,0.1,0.3,0.3
9/21/2011 19:00,0.3,0.1,0.2,0.2
8/19/2011 19:00,0.2,0.2,-0.7,-0.7
7/22/2011 19:00,-0.7,-0.2,0.7,0.7
6/29/2011 19:00,0.7,0.3,0.3,0.3
5/20/2011 19:00,0.3,0.5,1.1,1.1
4/19/2011 19:00,1.1,0.7,0.3,0.3
3/18/2011 19:00,0.3,0.4,0.3,0.3
2/18/2011 20:00,0.3,0.3,0,0
