datetime,CAD_UER_MoM_Actual,CAD_UER_MoM_Srv_Med,CAD_UER_MoM_Revised,CAD_UER_MoM_Prior
1980-07-01 17:00:00,7.7,,7.8,7.8
1980-06-01 17:00:00,7.8,,7.7,7.7
1980-05-01 17:00:00,7.7,,7.6,7.6
1980-04-01 17:00:00,7.6,,7.6,7.6
1980-03-01 17:00:00,7.6,,7.5,7.5
1980-02-01 17:00:00,7.5,,7.2,7.2
1980-01-01 17:00:00,7.2,,7.2,7.2
1979-12-01 17:00:00,7.2,,7.2,7.2
1979-11-01 17:00:00,7.2,,7.0,7.0
1979-10-01 17:00:00,7.0,,7.1,7.1
1979-09-01 17:00:00,7.1,,7.2,7.2
1979-08-01 17:00:00,7.2,,7.4,7.4
1979-07-01 17:00:00,7.4,,7.6,7.6
1979-06-01 17:00:00,7.6,,8.0,8.0
1979-05-01 17:00:00,8.0,,7.9,7.9
1979-04-01 17:00:00,7.9,,8.0,8.0
1979-03-01 17:00:00,8.0,,8.2,8.2
1979-02-01 17:00:00,8.2,,8.3,8.3
1979-01-01 17:00:00,8.3,,8.3,8.3
1978-12-01 17:00:00,8.3,,8.2,8.2
1978-11-01 17:00:00,8.2,,8.4,8.4
1978-10-01 17:00:00,8.4,,8.4,8.4
1978-09-01 17:00:00,8.4,,8.3,8.3
1978-08-01 17:00:00,8.3,,8.4,8.4
1978-07-01 17:00:00,8.4,,8.6,8.6
1978-06-01 17:00:00,8.6,,8.4,8.4
1978-05-01 17:00:00,8.4,,8.5,8.5
1978-04-01 17:00:00,8.5,,8.3,8.3
1978-03-01 17:00:00,8.3,,8.3,8.3
1978-02-01 17:00:00,8.3,,8.5,8.5
1978-01-01 17:00:00,8.5,,8.5,8.5
1977-12-01 17:00:00,8.5,,8.4,8.4
1977-11-01 17:00:00,8.4,,8.3,8.3
1977-10-01 17:00:00,8.3,,8.2,8.2
1977-09-01 17:00:00,8.2,,8.1,8.1
1977-08-01 17:00:00,8.1,,7.8,7.8
1977-07-01 17:00:00,7.8,,7.8,7.8
1977-06-01 17:00:00,7.8,,7.9,7.9
1977-05-01 17:00:00,7.9,,7.8,7.8
1977-04-01 17:00:00,7.8,,7.9,7.9
1977-03-01 17:00:00,7.9,,7.6,7.6
1977-02-01 17:00:00,7.6,,7.5,7.5
1977-01-01 17:00:00,7.5,,7.4,7.4
1976-12-01 17:00:00,7.4,,7.4,7.4
1976-11-01 17:00:00,7.4,,7.0,7.0
1976-10-01 17:00:00,7.0,,7.1,7.1
1976-09-01 17:00:00,7.1,,7.4,7.4
1976-08-01 17:00:00,7.4,,6.9,6.9
1976-07-01 17:00:00,6.9,,6.9,6.9
1976-06-01 17:00:00,6.9,,6.8,6.8
1976-05-01 17:00:00,6.8,,6.7,6.7
1976-04-01 17:00:00,6.7,,7.0,7.0
1976-03-01 17:00:00,7.0,,7.1,7.1
1976-02-01 17:00:00,7.1,,7.0,7.0
1976-01-01 17:00:00,7.0,,7.2,7.2
1975-12-01 17:00:00,7.2,,7.2,7.2
1975-11-01 17:00:00,7.2,,6.9,6.9
1975-10-01 17:00:00,6.9,,7.1,7.1
1975-09-01 17:00:00,7.1,,6.9,6.9
1975-08-01 17:00:00,6.9,,7.0,7.0
1975-07-01 17:00:00,7.0,,7.0,7.0
1975-06-01 17:00:00,7.0,,6.5,6.5
1975-05-01 17:00:00,6.5,,6.6,6.6
1975-04-01 17:00:00,6.6,,6.6,6.6
1975-03-01 17:00:00,6.6,,6.9,6.9
1975-02-01 17:00:00,6.9,,6.0,6.0
1975-01-01 17:00:00,6.0,,5.6,5.6
1974-12-01 17:00:00,5.6,,5.4,5.4
1974-11-01 17:00:00,5.4,,5.4,5.4
1974-10-01 17:00:00,5.4,,5.3,5.3
1974-09-01 17:00:00,5.3,,5.1,5.1
1974-08-01 17:00:00,5.1,,5.0,5.0
1974-07-01 17:00:00,5.0,,5.4,5.4
1974-06-01 17:00:00,5.4,,5.2,5.2
1974-05-01 17:00:00,5.2,,5.2,5.2
1974-04-01 17:00:00,5.2,,5.2,5.2
1974-03-01 17:00:00,5.2,,5.3,5.3
1974-02-01 17:00:00,5.3,,5.4,5.4
1974-01-01 17:00:00,5.4,,5.5,5.5
1973-12-01 17:00:00,5.5,,5.7,5.7
1973-11-01 17:00:00,5.7,,5.6,5.6
1973-10-01 17:00:00,5.6,,5.3,5.3
1973-09-01 17:00:00,5.3,,5.3,5.3
1973-08-01 17:00:00,5.3,,5.4,5.4
1973-07-01 17:00:00,5.4,,5.3,5.3
1973-06-01 17:00:00,5.3,,5.5,5.5
1973-05-01 17:00:00,5.5,,5.6,5.6
1973-04-01 17:00:00,5.6,,5.9,11.6
