datetime,US_ERCOIC_WoW_Actual,US_ERCOIC_WoW_Srv_Med,US_ERCOIC_WoW_Revised,US_ERCOIC_WoW_Prior
2021-04-21 22:30:00,-0.286,None,0.007,0.007
2021-04-14 22:30:00,0.007,None,0.103,0.103
2021-04-07 22:30:00,0.103,None,0.552,0.552
2021-03-31 22:30:00,0.552,None,0.956,0.956
2021-03-24 22:30:00,0.956,None,1.123,1.123
2021-03-17 22:30:00,1.123,None,2.407,2.407
2021-03-10 23:30:00,2.407,None,-2.327,-2.327
2021-03-03 23:30:00,-2.327,None,-2.589,-2.589
2021-02-24 23:30:00,-2.589,None,0.026,0.026
2021-02-19 00:00:00,0.026,None,0.152,0.152
2021-02-10 23:30:00,0.152,None,-0.080,-0.080
2021-02-03 23:30:00,-0.080,None,-0.039,-0.039
2021-01-27 23:30:00,-0.039,None,0.110,0.110
2021-01-23 00:00:00,0.110,None,0.274,0.274
2021-01-13 23:30:00,0.274,None,0.089,0.089
2021-01-06 23:30:00,0.089,None,0.273,0.273
2020-12-30 23:30:00,0.273,None,-0.169,-0.169
2020-12-23 23:30:00,-0.169,None,-0.253,-0.253
2020-12-16 23:30:00,-0.253,None,0.424,0.424
2020-12-09 23:30:00,0.424,None,-0.251,-0.251
2020-12-02 23:30:00,-0.251,None,0.422,0.422
2020-11-25 23:30:00,0.422,None,0.394,0.394
2020-11-18 23:30:00,0.394,None,-0.105,-0.105
2020-11-13 00:00:00,-0.105,None,0.164,0.164
2020-11-04 23:30:00,0.164,None,0.362,0.362
2020-10-28 22:30:00,0.362,None,-0.551,-0.551
2020-10-21 22:30:00,-0.551,None,-0.276,-0.276
2020-10-15 23:00:00,-0.276,None,0.183,0.183
2020-10-07 22:30:00,0.183,None,0.300,0.300
2020-09-30 22:30:00,0.300,None,-0.118,-0.118
2020-09-23 22:30:00,-0.118,None,0.709,0.709
2020-09-16 22:30:00,0.709,None,-1.089,-1.089
2020-09-10 23:00:00,-1.089,None,-0.844,-0.844
2020-09-02 22:30:00,-0.844,None,0.225,0.225
2020-08-26 22:30:00,0.225,None,-0.171,-0.171
2020-08-19 22:30:00,-0.171,None,0.021,0.021
2020-08-12 22:30:00,0.021,None,0.042,0.042
2020-08-05 22:30:00,0.042,None,0.389,0.389
2020-07-29 22:30:00,0.389,None,-0.103,-0.103
2020-07-22 22:30:00,-0.103,None,-0.038,-0.038
2020-07-15 22:30:00,-0.038,None,0.314,0.314
2020-07-08 22:30:00,0.314,None,0.193,0.193
2020-07-01 22:30:00,0.193,None,0.240,0.240
2020-06-24 22:30:00,0.240,None,0.116,0.116
2020-06-17 22:30:00,0.116,None,0.177,0.177
2020-06-10 22:30:00,0.177,None,0.316,0.316
2020-06-03 22:30:00,0.316,None,0.088,0.088
2020-05-28 23:00:00,0.088,None,0.520,0.520
2020-05-20 22:30:00,0.520,None,-0.593,-0.593
2020-05-13 22:30:00,-0.593,None,0.215,0.215
2020-05-06 22:30:00,0.215,None,0.305,0.305
2020-04-29 22:30:00,0.305,None,-0.209,-0.209
2020-04-22 22:30:00,-0.209,None,-0.969,-0.969
2020-04-15 22:30:00,-0.969,None,-1.264,-1.264
2020-04-08 22:30:00,-1.264,None,-0.940,-0.940
2020-04-01 22:30:00,-0.940,None,0.018,0.018
2020-03-25 22:30:00,0.018,None,0.118,0.118
2020-03-18 22:30:00,0.118,None,0.006,0.006
2020-03-11 22:30:00,0.006,None,-0.312,-0.312
2020-03-04 23:30:00,-0.312,None,-0.202,-0.202
2020-02-26 23:30:00,-0.202,None,0.190,0.190
2020-02-21 00:00:00,0.190,None,0.048,0.048
2020-02-12 23:30:00,0.048,None,0.048,0.048
2020-02-05 23:30:00,0.048,None,-0.933,-0.933
2020-01-29 23:30:00,-0.933,None,-0.116,-0.116
