datetime,JP_ARC_YoY_Actual,JP_ARC_YoY_Srv_Med,JP_ARC_YoY_Revised,JP_ARC_YoY_Prior
2015-06-26 07:30:00,4.8,3.4,-1.3,-1.3
2015-05-29 07:30:00,-1.3,3.1,-10.6,-10.6
2015-05-01 07:30:00,-10.6,-12.1,-2.9,-2.9
2015-03-27 07:30:00,-2.9,-3.2,-5.1,-5.1
2015-02-27 07:30:00,-5.1,-4.1,-3.4,-3.4
2015-01-30 07:30:00,-3.4,-2.5,-2.5,-2.5
2014-12-26 07:30:00,-2.5,-3.8,-4.0,-4.0
2014-11-28 07:30:00,-4.0,-4.8,-5.6,-5.6
2014-10-31 07:30:00,-5.6,-4.3,-4.7,-4.7
2014-09-30 07:30:00,-4.7,-3.8,-5.9,-5.9
2014-08-29 07:30:00,-5.9,-3.0,-3.0,-3.0
2014-07-29 07:30:00,-3.0,-3.8,-8.0,-8.0
2014-06-27 07:30:00,-8.0,-2.0,-4.6,-4.6
2014-05-30 07:30:00,-4.6,-3.2,7.2,7.2
2014-05-02 07:30:00,7.2,1.0,-2.5,-2.5
2014-03-28 07:30:00,-2.5,0.1,1.1,1.1
2014-02-28 07:30:00,1.1,0.2,0.7,0.7
2014-01-31 07:30:00,0.7,1.2,0.2,0.2
2013-12-27 07:30:00,0.2,1.7,0.9,0.9
2013-11-29 07:30:00,0.9,0.9,3.7,3.7
2013-10-29 07:30:00,3.7,0.5,-1.6,-1.6
2013-10-01 07:30:00,-1.6,0.1,0.1,0.1
2013-08-30 07:30:00,0.1,0.3,-0.4,-0.4
2013-07-30 07:30:00,-0.4,1.0,-1.6,-1.6
2013-06-28 07:30:00,-1.6,1.4,1.5,1.5
2013-05-31 07:30:00,1.5,3.1,5.2,5.2
2013-04-30 07:30:00,5.2,1.8,0.8,0.8
2013-03-29 07:30:00,0.8,0.2,2.4,2.4
2013-03-01 07:30:00,2.4,0.3,-0.7,-0.7
2013-02-01 07:30:00,-0.7,-0.3,0.2,0.2
2012-12-28 07:30:00,0.2,1.0,-0.1,-0.1
2012-11-30 07:30:00,-0.1,-0.9,-0.9,-0.9
2012-10-30 07:30:00,-0.9,0.7,1.8,1.8
2012-09-28 07:30:00,1.8,1.0,1.7,1.7
2012-08-31 07:30:00,1.7,1.2,1.6,1.6
2012-07-31 07:30:00,1.6,2.9,4.0,4.0
2012-06-29 07:30:00,4.0,2.4,2.6,2.6
2012-05-29 07:30:00,2.6,2.4,3.4,3.4
2012-04-27 07:30:00,3.4,3.5,2.3,2.3
2012-03-30 07:30:00,2.3,-0.5,-2.3,-2.3
2012-03-02 07:30:00,-2.3,-0.7,0.5,0.5
2012-01-31 07:30:00,0.5,-0.1,-3.2,-3.2
2011-12-28 07:30:00,-3.2,-1.2,-0.4,-0.4
2011-11-29 07:30:00,-0.4,-1.4,-1.9,-1.9
2011-10-28 07:30:00,-1.9,-3.5,-4.1,-4.1
2011-09-30 07:30:00,-4.1,-2.6,-2.1,-2.1
2011-08-30 07:30:00,-2.1,-3.5,-4.2,-4.2
2011-07-29 07:30:00,-4.2,-2.3,-1.9,-1.9
2011-07-01 07:30:00,-1.9,-1.7,-3.0,-3.0
2011-05-31 07:30:00,-3.0,-2.8,-8.5,-8.5
2011-04-28 07:30:00,-8.5,-6.8,-0.2,-0.2
2011-03-29 07:30:00,-0.2,0.1,-1.0,-1.0
2011-03-01 07:30:00,-1.0,-1.3,-3.3,-3.3
2011-01-28 07:30:00,-3.3,-0.5,-0.4,-0.4
2010-12-28 07:30:00,-0.4,0.4,-0.4,-0.4
2010-11-30 07:30:00,-0.4,0.4,0.0,0.0
2010-10-29 07:30:00,0.0,0.8,1.7,1.7
2010-10-01 07:30:00,1.7,1.4,1.1,1.1
2010-08-27 07:30:00,1.1,1.5,0.5,0.5
2010-07-30 07:30:00,0.5,-0.7,-0.7,-0.7
2010-06-29 07:30:00,-0.7,0.4,-0.7,-0.7
2010-05-28 07:30:00,-0.7,2.5,4.4,4.4
2010-04-30 07:30:00,4.4,0.7,-0.5,-0.5
2010-03-30 07:30:00,-0.5,1.5,1.7,1.7
2010-03-02 07:30:00,1.7,2.6,2.1,2.1
2010-01-29 07:30:00,2.1,1.6,2.2,2.2
2009-12-25 07:30:00,2.2,0.5,1.6,1.6
2009-11-27 07:30:00,1.6,0.6,1.0,1.0
2009-10-30 07:30:00,1.0,1.2,2.6,2.6
2009-10-02 07:30:00,2.6,0.0,-2.0,-2.0
2009-08-28 07:30:00,-2.0,-0.5,0.2,0.2
2009-07-31 07:30:00,0.2,0.3,0.3,0.3
2009-06-30 07:30:00,0.3,-1.5,-1.3,-1.3
2009-05-29 07:30:00,-1.3,-0.7,-0.4,-0.4
2009-05-01 07:30:00,-0.4,-2.6,-3.5,-3.5
2009-03-31 07:30:00,-3.5,-4.6,-5.9,-5.9
2009-02-27 07:30:00,-5.9,-5.7,-4.6,-4.6
2009-01-30 07:30:00,-4.6,-3.6,-0.5,-0.5
2008-12-26 07:30:00,-0.5,-3.7,-3.8,-3.8
2008-11-28 07:30:00,-3.8,-3.4,-2.3,-2.3
2008-10-31 07:30:00,-2.3,-3.9,-4.0,-4.0
2008-09-30 07:30:00,-4.0,-1.3,-0.5,-0.5
2008-08-29 07:30:00,-0.5,-1.8,-1.8,-1.8
2008-07-29 07:30:00,-1.8,-2.8,-3.2,-3.2
2008-06-27 07:30:00,-3.2,-2.0,-2.7,-2.7
2008-05-30 08:30:00,-2.7,-0.7,-1.6,-1.6
2008-04-30 07:30:00,-1.6,0.4,0.0,0.0
2008-03-28 07:30:00,0.0,2.5,3.6,3.6
2008-02-29 07:30:00,3.6,0.4,2.2,2.20
2008-01-01 17:00:00,2.20,None,-0.60,-0.60
2007-12-01 17:00:00,-0.60,None,0.60,0.60
2007-11-01 17:00:00,0.60,None,3.20,3.20
2007-10-01 17:00:00,3.20,None,1.60,1.60
2007-09-01 17:00:00,1.60,None,-0.10,-0.10
2007-08-01 17:00:00,-0.10,None,0.10,0.10
2007-07-01 17:00:00,0.10,None,0.40,0.40
2007-06-01 17:00:00,0.40,None,1.10,1.10
2007-05-01 17:00:00,1.10,None,0.10,0.10
2007-04-01 17:00:00,0.10,None,1.30,1.30
2007-03-01 17:00:00,1.30,None,0.60,0.60
2007-02-01 17:00:00,0.60,None,-1.90,-1.90
2007-01-01 17:00:00,-1.90,None,-0.70,-0.70
2006-12-01 17:00:00,-0.70,None,-2.40,-2.40
2006-11-01 17:00:00,-2.40,None,-6.00,-6.00
2006-10-01 17:00:00,-6.00,None,-4.30,-4.30
2006-09-01 17:00:00,-4.30,None,-1.30,-1.30
2006-08-01 17:00:00,-1.30,None,-1.70,-1.70
2006-07-01 17:00:00,-1.70,None,-1.30,-1.30
2006-06-01 17:00:00,-1.30,None,-1.50,-1.50
2006-05-01 17:00:00,-1.50,None,-1.60,-1.60
2006-04-01 17:00:00,-1.60,None,-1.00,-1.00
2006-03-01 17:00:00,-1.00,None,-2.40,-2.40
2006-02-01 17:00:00,-2.40,None,0.50,0.50
2006-01-01 17:00:00,0.50,None,-0.50,-0.50
2005-12-01 17:00:00,-0.50,None,2.00,2.00
2005-11-01 17:00:00,2.00,None,1.60,1.60
2005-10-01 17:00:00,1.60,None,0.80,0.80
2005-09-01 17:00:00,0.80,None,-2.30,-2.30
2005-08-01 17:00:00,-2.30,None,1.00,1.00
2005-07-01 17:00:00,1.00,None,-1.60,-1.60
2005-06-01 17:00:00,-1.60,None,-2.50,-2.50
2005-05-01 17:00:00,-2.50,None,-0.80,-0.8
2005-04-01 17:00:00,-0.8,,-4.1,-4.1
2005-03-01 17:00:00,-4.1,,0.3,0.3
2005-02-01 17:00:00,0.3,,-3.0,-3.0
2005-01-01 17:00:00,-3.0,,-1.5,-1.5
2004-12-01 17:00:00,-1.5,,-1.6,-1.6
2004-11-01 17:00:00,-1.6,,-1.1,-1.1
2004-10-01 17:00:00,-1.1,,-0.2,-0.2
2004-09-01 17:00:00,-0.2,,0.3,0.3
2004-08-01 17:00:00,0.3,,-3.0,-3.0
2004-07-01 17:00:00,-3.0,,5.0,5.0
2004-06-01 17:00:00,5.0,,3.9,3.9
2004-05-01 17:00:00,3.9,,0.2,0.2
2004-04-01 17:00:00,0.2,,5.3,5.3
2004-03-01 17:00:00,5.3,,1.2,1.2
2004-02-01 17:00:00,1.2,,0.0,0.0
2004-01-01 17:00:00,0.0,,0.7,0.7
2003-12-01 17:00:00,0.7,,-1.6,-1.6
2003-11-01 17:00:00,-1.6,,-2.4,-0.3
