datetime,US_NF_EC_MoM_Actual,US_NF_EC_MoM_Srv_Med,US_NF_EC_MoM_Revised,US_NF_EC_MoM_Prior
2011-06-03 20:30:00,54,169,232,244
2011-05-06 20:30:00,244,185,221,216
2011-04-01 20:30:00,216,188,194,192
2011-03-04 21:30:00,192,180,63,36
2011-02-04 21:30:00,36,150,121,103
2011-01-07 21:30:00,103,150,71,39
2010-12-03 21:30:00,39,140,172,151
2010-11-05 20:30:00,151,60,-41,-95
2010-10-08 20:30:00,-95,3,-57,-54
2010-09-03 20:30:00,-54,-118,-54,-131
2010-08-06 20:30:00,-131,-65,-221,-125
2010-07-02 20:30:00,-125,-100,433,431
2010-06-04 20:30:00,431,500,290,290
2010-05-07 20:30:00,290,187,230,162
2010-04-02 20:30:00,162,190,-14,-36
2010-03-05 21:30:00,-36,-55,-26,-20
2010-02-05 21:30:00,-20,15,-150,-85
2010-01-08 21:30:00,-85,0,4,-11
2009-12-04 21:30:00,-11,-114,-111,-190
2009-11-06 21:30:00,-190,-166,-219,-263
2009-10-02 20:30:00,-263,-190,-201,-216
2009-09-04 20:30:00,-216,-220,-276,-247
2009-08-07 20:30:00,-247,-330,-443,-467
2009-07-02 20:30:00,-467,-375,-322,-345
2009-06-05 20:30:00,-345,-521,-504,-539
2009-05-08 20:30:00,-539,-580,-699,-663
2009-04-03 20:30:00,-663,-662,-651,-651
2009-03-06 21:30:00,-651,-636,-598,-598
2009-02-06 21:30:00,-598,-530,-524,-524
2009-01-09 21:30:00,-524,-475,-533,-533
2008-12-05 21:30:00,-533,-320,-240,-240
2008-11-07 21:30:00,-240,-200,-159,-159
2008-10-03 20:30:00,-159,-100,-84,-84
2008-09-05 20:30:00,-84,-73,-51,-51
2008-08-01 20:30:00,-51,-75,-62,-62
2008-07-03 20:30:00,-62,-60,-49,-49
2008-06-06 21:30:00,-49,-57,-20,-20
2008-05-02 20:30:00,-20,-80,-80,-80
2008-04-04 20:30:00,-80,-50,-63,-63
2008-03-07 21:30:00,-63,25,-17,15
2008-02-01 20:30:00,15,,97,97
2008-01-04 20:30:00,97,,117,117
2007-12-07 20:30:00,117,,83,83
2007-11-02 20:30:00,83,,86,86
2007-10-05 20:30:00,86,,-17,-17
2007-09-07 20:30:00,-17,,-34,-34
2007-08-03 20:30:00,-34,,71,71
2007-07-06 20:30:00,71,,145,145
2007-06-01 20:30:00,145,,78,78
2007-05-04 20:30:00,78,,188,188
2007-04-06 20:30:00,188,,88,88
2007-03-09 20:30:00,88,,237,237
2007-02-02 20:30:00,237,,172,172
2007-01-05 20:30:00,172,,209,209
2006-12-08 20:30:00,209,,3,3
2006-11-03 20:30:00,3,,156,156
2006-10-06 20:30:00,156,,185,185
2006-09-01 20:30:00,185,,206,206
2006-08-04 20:30:00,206,,77,77
2006-07-07 20:30:00,77,,24,24
2006-06-02 20:30:00,24,,182,182
2006-05-05 20:30:00,182,,281,281
2006-04-07 20:30:00,281,,315,315
2006-03-10 20:30:00,315,,277,277
2006-02-03 20:30:00,277,,158,158
2006-01-06 20:30:00,158,,337,337
