datetime,CAD_EC_MoM_Actual,CAD_EC_MoM_Srv_Med,CAD_EC_MoM_Revised,CAD_EC_MoM_Prior
2014-08-15 20:30:00,41.7,20,-9.4,0.2
2014-08-08 20:30:00,0.2,20,-9.4,-9.4
2014-07-11 20:30:00,-9.4,20.7,25.8,25.8
2014-06-06 20:30:00,25.8,25,-28.9,-28.9
2014-05-09 20:30:00,-28.9,12,42.9,42.9
2014-04-04 20:30:00,42.9,21.5,-7.0,-7
2014-03-07 21:30:00,-7,15,29.4,29.4
2014-02-07 21:30:00,29.4,20,-44.0,-45.9
2014-01-10 21:30:00,-45.9,15,21.6,21.6
2013-12-06 21:30:00,21.6,12,13.2,13.2
2013-11-08 21:30:00,13.2,14,11.9,11.9
2013-10-11 20:30:00,11.9,10,59.2,59.2
2013-09-06 20:30:00,59.2,20,-39.4,-39.4
2013-08-09 20:30:00,-39.4,10,-0.4,-0.4
2013-07-05 20:30:00,-0.4,-3,95.0,95
2013-06-07 20:30:00,95,15,12.5,12.5
2013-05-10 20:30:00,12.5,15,-54.5,-54.5
2013-04-05 20:30:00,-54.5,9,50.7,50.7
2013-03-08 21:30:00,50.7,8,-21.9,-21.9
2013-02-08 21:30:00,-21.9,5,39.8,39.8
2013-01-04 21:30:00,39.8,5,59.3,59.3
2012-12-07 21:30:00,59.3,10,1.8,1.8
2012-11-02 20:30:00,1.8,5,52.1,52.1
2012-10-05 20:30:00,52.1,10,34.3,34.3
2012-09-07 20:30:00,34.3,10,-30.4,-30.4
2012-08-10 20:30:00,-30.4,9,7.3,7.3
2012-07-06 20:30:00,7.3,5,7.7,7.7
2012-06-08 20:30:00,7.7,10,58.2,58.2
2012-05-11 20:30:00,58.2,7,82.3,82.3
2012-04-05 20:30:00,82.3,10,-2.8,-2.8
2012-03-09 20:00:00,-2.8,13.8,2.3,2.3
2012-02-03 20:00:00,2.3,24,17.5,17.5
2012-01-06 20:00:00,17.5,14.8,-18.6,-18.6
2011-12-02 20:00:00,-18.6,20,-54.0,-54
2011-11-04 19:00:00,-54,20,60.9,60.9
2011-10-07 19:00:00,60.9,15,-5.5,-5.5
2011-09-09 19:00:00,-5.5,22.5,7.1,7.1
2011-08-05 19:00:00,7.1,20,28.4,28.4
2011-07-08 19:00:00,28.4,10,22.3,22.3
2011-06-10 19:00:00,22.3,20,58.3,58.3
2011-05-06 19:00:00,58.3,20,-1.5,-1.5
2011-04-08 19:00:00,-1.5,29.6,15.1,15.1
2011-03-11 20:00:00,15.1,23.5,69.2,69.2
2011-02-04 20:00:00,69.2,21.2,22.0,22
2011-01-07 20:00:00,22,20.3,15.2,15.2
2010-12-03 20:00:00,15.2,20,3.0,3
2010-11-05 19:00:00,3,10,-6.6,-6.6
2010-10-08 19:00:00,-6.6,11.3,35.8,35.8
2010-09-10 19:00:00,35.8,23.9,-9.3,-9.3
2010-08-06 19:00:00,-9.3,10.3,93.2,93.2
2010-07-09 19:00:00,93.2,20.3,24.7,24.7
2010-06-04 19:00:00,24.7,20.7,108.7,108.7
2010-05-07 19:00:00,108.7,20.3,17.9,17.9
2010-04-09 19:00:00,17.9,25,20.9,20.9
2010-03-12 20:00:00,20.9,18,43.0,43
2010-02-05 20:00:00,43,15,-2.6,-2.6
2010-01-08 20:00:00,-2.6,20,79.1,79.1
2009-12-04 20:00:00,79.1,15,-43.2,-43.2
2009-11-06 20:00:00,-43.2,11,30.6,30.6
2009-10-09 19:00:00,30.6,-7,27.1,27.1
2009-09-04 19:00:00,27.1,-20,-44.5,-44.5
2009-08-07 19:00:00,-44.5,-20,-7.4,-7.4
2009-07-10 19:00:00,-7.4,-40.3,-41.8,-41.8
2009-06-05 19:00:00,-41.8,-37,35.9,35.9
2009-05-08 19:00:00,35.9,-49.7,-61.3,-61.3
2009-04-09 19:00:00,-61.3,-54.3,-82.6,-82.6
2009-03-13 19:00:00,-82.6,-50,-129.0,-129
2009-02-06 20:00:00,-129,-40,-20.4,-34.4
2009-01-09 20:00:00,-34.4,-21,-70.6,-70.6
2008-12-05 20:00:00,-70.6,-21,9.5,9.5
2008-11-07 20:00:00,9.5,-10,106.9,106.9
2008-10-10 19:00:00,106.9,11,15.2,15.2
2008-09-05 19:00:00,15.2,9,-55.2,-55.2
2008-08-08 19:00:00,-55.2,5,-5.0,-5
2008-07-11 19:00:00,-5,10,8.4,8.4
2008-06-06 20:00:00,8.4,10.2,19.2,19.2
2008-05-09 19:00:00,19.2,10,14.6,14.6
2008-04-04 19:00:00,14.6,15,43.3,43.3
2008-03-07 20:00:00,43.3,3,46.4,25.9
2008-02-01 17:00:00,25.9,,3.4,3.4
2008-01-01 17:00:00,3.4,,16.4,16.4
2007-12-01 17:00:00,16.4,,55.6,55.6
2007-11-01 17:00:00,55.6,,45.0,45
2007-10-01 17:00:00,45,,7.7,7.7
2007-09-01 17:00:00,7.7,,42.7,42.7
2007-08-01 17:00:00,42.7,,57.3,57.3
2007-07-01 17:00:00,57.3,,23.1,23.1
2007-06-01 17:00:00,23.1,,-15.0,-15
2007-05-01 17:00:00,-15,,48.1,48.1
2007-04-01 17:00:00,48.1,,21.1,21.1
2007-03-01 17:00:00,21.1,,54.0,54
2007-02-01 17:00:00,54,,64.3,64.3
2007-01-01 17:00:00,64.3,,27.6,27.6
2006-12-01 17:00:00,27.6,,22.5,22.5
2006-11-01 17:00:00,22.5,,24.8,24.8
2006-10-01 17:00:00,24.8,,5.7,5.7
2006-09-01 17:00:00,5.7,,2.1,2.1
2006-08-01 17:00:00,2.1,,3.9,3.9
2006-07-01 17:00:00,3.9,,76.8,76.8
2006-06-01 17:00:00,76.8,,29.6,29.6
2006-05-01 17:00:00,29.6,,50.4,50.4
2006-04-01 17:00:00,50.4,,39.0,39
2006-03-01 17:00:00,39,,-12.8,-12.8
2006-02-01 17:00:00,-12.8,,-6.4,-6.4
2006-01-01 17:00:00,-6.4,,32.6,32.6
2005-12-01 17:00:00,32.6,,47.4,47.4
2005-11-01 17:00:00,47.4,,-13.4,-13.4
2005-10-01 17:00:00,-13.4,,35.4,35.4
2005-09-01 17:00:00,35.4,,33.4,33.4
2005-08-01 17:00:00,33.4,,30.2,30.2
2005-07-01 17:00:00,30.2,,-0.8,-0.8
2005-06-01 17:00:00,-0.8,,28.0,28
2005-05-01 17:00:00,28,,-3.9,-3.9
2005-04-01 17:00:00,-3.9,,36.0,36
2005-03-01 17:00:00,36,,-3.0,-3
2005-02-01 17:00:00,-3,,9.6,9.6
2005-01-01 17:00:00,9.6,,18.5,18.5
2004-12-01 17:00:00,18.5,,15.4,15.4
2004-11-01 17:00:00,15.4,,48.7,48.7
2004-10-01 17:00:00,48.7,,-8.3,-8.3
2004-09-01 17:00:00,-8.3,,7.9,7.9
2004-08-01 17:00:00,7.9,,12.4,12.4
2004-07-01 17:00:00,12.4,,28.7,28.7
2004-06-01 17:00:00,28.7,,42.7,42.7
2004-05-01 17:00:00,42.7,,11.8,11.8
2004-04-01 17:00:00,11.8,,19.6,19.6
2004-03-01 17:00:00,19.6,,4.0,4
2004-02-01 17:00:00,4,,30.1,30.1
2004-01-01 17:00:00,30.1,,41.2,41.2
2003-12-01 17:00:00,41.2,,51.3,51.3
2003-11-01 17:00:00,51.3,,31.1,31.1
2003-10-01 17:00:00,31.1,,2.4,2.4
2003-09-01 17:00:00,2.4,,21.9,21.9
2003-08-01 17:00:00,21.9,,48.0,48
2003-07-01 17:00:00,48,,-16.5,-16.5
2003-06-01 17:00:00,-16.5,,-1.3,-1.3
2003-05-01 17:00:00,-1.3,,-1.2,-1.2
2003-04-01 17:00:00,-1.2,,59.3,59.3
2003-03-01 17:00:00,59.3,,33.8,33.8
2003-02-01 17:00:00,33.8,,42.2,42.2
2003-01-01 17:00:00,42.2,,39.2,39.2
2002-12-01 17:00:00,39.2,,2.8,2.8
2002-11-01 17:00:00,2.8,,8.2,8.2
2002-10-01 17:00:00,8.2,,80.9,80.9
2002-09-01 17:00:00,80.9,,45.8,45.8
2002-08-01 17:00:00,45.8,,62.5,62.5
2002-07-01 17:00:00,62.5,,53.5,53.5
2002-06-01 17:00:00,53.5,,61.4,61.4
2002-05-01 17:00:00,61.4,,67.7,67.7
2002-04-01 17:00:00,67.7,,19.0,19
2002-03-01 17:00:00,19,,58.2,58.2
2002-02-01 17:00:00,58.2,,-24.7,-24.7
2002-01-01 17:00:00,-24.7,,13.4,13.4
2001-12-01 17:00:00,13.4,,4.1,4.1
2001-11-01 17:00:00,4.1,,24.3,24.3
2001-10-01 17:00:00,24.3,,2.2,2.2
2001-09-01 17:00:00,2.2,,23.8,23.8
2001-08-01 17:00:00,23.8,,-23.7,-23.7
2001-07-01 17:00:00,-23.7,,23.9,23.9
2001-06-01 17:00:00,23.9,,33.6,33.6
2001-05-01 17:00:00,33.6,,4.8,4.8
2001-04-01 17:00:00,4.8,,-10.5,-10.5
2001-03-01 17:00:00,-10.5,,-25.6,-25.6
2001-02-01 17:00:00,-25.6,,48.6,48.6
2001-01-01 17:00:00,48.6,,36.1,36.1
2000-12-01 17:00:00,36.1,,23.1,23.1
2000-11-01 17:00:00,23.1,,41.9,41.9
2000-10-01 17:00:00,41.9,,19.9,19.9
2000-09-01 17:00:00,19.9,,3.6,3.6
2000-08-01 17:00:00,3.6,,10.4,10.4
2000-07-01 17:00:00,10.4,,13.7,13.7
2000-06-01 17:00:00,13.7,,25.2,25.2
2000-05-01 17:00:00,25.2,,25.3,25.3
2000-04-01 17:00:00,25.3,,19.5,19.5
2000-03-01 17:00:00,19.5,,41.4,41.4
2000-02-01 17:00:00,41.4,,61.9,61.9
2000-01-01 17:00:00,61.9,,34.7,34.7
1999-12-01 17:00:00,34.7,,40.1,40.1
1999-11-01 17:00:00,40.1,,22.8,22.8
1999-10-01 17:00:00,22.8,,20.9,20.9
1999-09-01 17:00:00,20.9,,57.9,57.9
1999-08-01 17:00:00,57.9,,20.3,20.3
1999-07-01 17:00:00,20.3,,36.1,36.1
1999-06-01 17:00:00,36.1,,37.9,37.9
1999-05-01 17:00:00,37.9,,15.4,15.4
1999-04-01 17:00:00,15.4,,-10.0,-10
1999-03-01 17:00:00,-10,,73.3,73.3
1999-02-01 17:00:00,73.3,,1.1,1.1
1999-01-01 17:00:00,1.1,,39.5,39.5
1998-12-01 17:00:00,39.5,,18.7,18.7
1998-11-01 17:00:00,18.7,,39.0,39
1998-10-01 17:00:00,39,,37.9,37.9
1998-09-01 17:00:00,37.9,,58.0,58
1998-08-01 17:00:00,58,,12.5,12.5
1998-07-01 17:00:00,12.5,,15.7,15.7
1998-06-01 17:00:00,15.7,,28.2,28.2
1998-05-01 17:00:00,28.2,,34.9,34.9
1998-04-01 17:00:00,34.9,,49.7,49.7
1998-03-01 17:00:00,49.7,,-10.1,-10.1
1998-02-01 17:00:00,-10.1,,15.4,15.4
1998-01-01 17:00:00,15.4,,26.4,26.4
1997-12-01 17:00:00,26.4,,17.2,17.2
1997-11-01 17:00:00,17.2,,17.0,17
1997-10-01 17:00:00,17,,67.4,67.4
1997-09-01 17:00:00,67.4,,41.5,41.5
1997-08-01 17:00:00,41.5,,52.8,52.8
1997-07-01 17:00:00,52.8,,66.0,66
1997-06-01 17:00:00,66,,1.4,1.4
1997-05-01 17:00:00,1.4,,31.7,31.7
1997-04-01 17:00:00,31.7,,2.2,2.2
1997-03-01 17:00:00,2.2,,70.2,70.2
1997-02-01 17:00:00,70.2,,24.2,24.2
1997-01-01 17:00:00,24.2,,28.7,28.7
1996-12-01 17:00:00,28.7,,-1.6,-1.6
1996-11-01 17:00:00,-1.6,,-42.2,-42.2
1996-10-01 17:00:00,-42.2,,16.2,16.2
1996-09-01 17:00:00,16.2,,27.5,27.5
1996-08-01 17:00:00,27.5,,-12.7,-12.7
1996-07-01 17:00:00,-12.7,,21.5,21.5
1996-06-01 17:00:00,21.5,,26.9,26.9
1996-05-01 17:00:00,26.9,,-22.2,-22.2
1996-04-01 17:00:00,-22.2,,24.9,24.9
1996-03-01 17:00:00,24.9,,17.7,17.7
1996-02-01 17:00:00,17.7,,41.8,41.8
1996-01-01 17:00:00,41.8,,-32.0,-32
1995-12-01 17:00:00,-32,,15.8,15.8
1995-11-01 17:00:00,15.8,,33.4,33.4
1995-10-01 17:00:00,33.4,,17.2,17.2
1995-09-01 17:00:00,17.2,,2.4,2.4
1995-08-01 17:00:00,2.4,,12.4,12.4
1995-07-01 17:00:00,12.4,,-3.1,-3.1
1995-06-01 17:00:00,-3.1,,-21.6,-21.6
1995-05-01 17:00:00,-21.6,,28.2,28.2
1995-04-01 17:00:00,28.2,,-7.2,-7.2
1995-03-01 17:00:00,-7.2,,23.7,23.7
1995-02-01 17:00:00,23.7,,-13.4,-13.4
1995-01-01 17:00:00,-13.4,,90.4,90.4
1994-12-01 17:00:00,90.4,,-8.1,-8.1
1994-11-01 17:00:00,-8.1,,61.7,61.7
1994-10-01 17:00:00,61.7,,16.7,16.7
1994-09-01 17:00:00,16.7,,57.0,57
1994-08-01 17:00:00,57,,29.1,29.1
1994-07-01 17:00:00,29.1,,71.7,71.7
1994-06-01 17:00:00,71.7,,12.1,12.1
1994-05-01 17:00:00,12.1,,39.1,39.1
1994-04-01 17:00:00,39.1,,33.1,33.1
1994-03-01 17:00:00,33.1,,8.0,8
1994-02-01 17:00:00,8,,-25.5,-25.5
1994-01-01 17:00:00,-25.5,,48.6,48.6
1993-12-01 17:00:00,48.6,,-15.2,-15.2
1993-11-01 17:00:00,-15.2,,32.4,32.4
1993-10-01 17:00:00,32.4,,18.5,18.5
1993-09-01 17:00:00,18.5,,9.6,9.6
1993-08-01 17:00:00,9.6,,24.1,24.1
1993-07-01 17:00:00,24.1,,7.1,7.1
1993-06-01 17:00:00,7.1,,-31.9,-31.9
1993-05-01 17:00:00,-31.9,,17.5,17.5
1993-04-01 17:00:00,17.5,,8.2,8.2
1993-03-01 17:00:00,8.2,,33.1,33.1
1993-02-01 17:00:00,33.1,,17.1,17.1
1993-01-01 17:00:00,17.1,,-8.2,-8.2
1992-12-01 17:00:00,-8.2,,12.9,12.9
1992-11-01 17:00:00,12.9,,6.4,6.4
1992-10-01 17:00:00,6.4,,-38.8,-38.8
1992-09-01 17:00:00,-38.8,,15.2,15.2
1992-08-01 17:00:00,15.2,,-19.3,-19.3
1992-07-01 17:00:00,-19.3,,5.7,5.7
1992-06-01 17:00:00,5.7,,-14.0,-14
1992-05-01 17:00:00,-14,,-26.4,-26.4
1992-04-01 17:00:00,-26.4,,-18.9,-18.9
1992-03-01 17:00:00,-18.9,,-20.0,-20
1992-02-01 17:00:00,-20,,-13.0,-13
1992-01-01 17:00:00,-13,,-37.8,-37.8
1991-12-01 17:00:00,-37.8,,5.6,5.6
1991-11-01 17:00:00,5.6,,-20.8,-20.8
1991-10-01 17:00:00,-20.8,,3.9,3.9
1991-09-01 17:00:00,3.9,,-14.0,-14
1991-08-01 17:00:00,-14,,6.4,6.4
1991-07-01 17:00:00,6.4,,29.2,29.2
1991-06-01 17:00:00,29.2,,41.5,41.5
1991-05-01 17:00:00,41.5,,-35.9,-35.9
1991-04-01 17:00:00,-35.9,,-49.1,-49.1
1991-03-01 17:00:00,-49.1,,-40.5,-40.5
1991-02-01 17:00:00,-40.5,,-50.6,-50.6
