datetime,AUS_RS_MoM_Actual,AUS_RS_MoM_Srv_Med,AUS_RS_MoM_Revised,AUS_RS_MoM_Prior,Is_P
2018-12-06 08:30:00,0.3,0.3,0.1,0.2,0.0
2018-11-02 08:30:00,0.2,0.3,0.3,0.3,0.0
2018-10-05 09:30:00,0.3,0.3,0.0,0.0,0.0
2018-09-03 09:30:00,0.0,0.3,0.4,0.4,0.0
2018-08-03 09:30:00,0.4,0.3,0.4,0.4,0.0
2018-07-04 09:30:00,0.4,0.3,0.5,0.4,0.0
2018-06-04 09:30:00,0.4,0.2,0.0,0.0,0.0
2018-05-08 09:30:00,0.0,0.2,0.6,0.6,0.0
2018-04-04 09:30:00,0.6,0.3,0.2,0.1,0.0
2018-03-06 08:30:00,0.1,0.4,-0.5,-0.5,0.0
2018-02-06 08:30:00,-0.5,-0.2,1.3,1.2,0.0
2018-01-11 08:30:00,1.2,0.4,0.5,0.5,0.0
2017-12-05 08:30:00,0.5,0.3,0.1,0.0,0.0
2017-11-03 08:30:00,0.0,0.4,-0.5,-0.6,0.0
2017-10-05 08:30:00,-0.6,0.3,-0.2,0.0,0.0
2017-09-07 09:30:00,0.0,0.3,0.2,0.3,0.0
2017-08-04 09:30:00,0.3,0.2,0.6,0.6,0.0
2017-07-04 09:30:00,0.6,0.2,1.0,1.0,0.0
2017-06-01 09:30:00,1.0,0.3,-0.2,-0.1,0.0
2017-05-09 09:30:00,-0.1,0.3,-0.2,-0.1,0.0
2017-04-03 09:30:00,-0.1,0.3,0.4,0.4,0.0
2017-03-06 08:30:00,0.4,0.4,-0.1,-0.1,0.0
2017-02-06 08:30:00,-0.1,0.3,0.1,0.2,0.0
2017-01-10 08:30:00,0.2,0.4,0.5,0.5,0.0
2016-12-02 08:30:00,0.5,0.3,0.6,0.6,0.0
2016-11-04 08:30:00,0.6,0.4,0.5,0.4,0.0
2016-10-05 08:30:00,0.4,0.2,0.0,0.0,0.0
2016-09-01 09:30:00,0.0,0.3,0.1,0.1,0.0
2016-08-04 09:30:00,0.1,0.4,0.2,0.2,0.0
2016-07-05 09:30:00,0.2,0.3,0.1,0.2,0.0
2016-06-02 09:30:00,0.2,0.3,0.4,0.4,0.0
2016-05-05 09:30:00,0.4,0.3,0.1,0.0,0.0
2016-04-04 09:30:00,0.0,0.4,0.3,0.3,0.0
2016-03-04 08:30:00,0.3,0.4,0.0,0.0,0.0
2016-02-05 08:30:00,0.0,0.5,0.4,0.4,0.0
2016-01-08 08:30:00,0.4,0.4,0.6,0.5,0.0
2015-12-04 08:30:00,0.5,0.5,0.4,0.4,0.0
2015-11-04 08:30:00,0.4,0.4,0.4,0.4,0.0
2015-10-02 09:30:00,0.4,0.4,-0.1,-0.1,0.0
2015-09-03 09:30:00,-0.1,0.4,0.6,0.7,0.0
2015-08-04 09:30:00,0.7,0.5,0.4,0.3,0.0
2015-07-03 09:30:00,0.3,0.5,-0.1,0.0,0.0
2015-06-04 09:30:00,0.0,0.4,0.2,0.3,0.0
2015-05-06 09:30:00,0.3,0.4,0.7,0.7,0.0
2015-04-07 09:30:00,0.7,0.4,0.5,0.4,0.0
2015-03-05 08:30:00,0.4,0.4,0.2,0.2,0.0
2015-02-05 08:30:00,0.2,0.4,0.1,0.1,0.0
2015-01-09 08:30:00,0.1,0.2,0.4,0.4,0.0
2014-12-04 08:30:00,0.4,0.1,1.3,1.2,0.0
2014-11-04 08:30:00,1.2,0.4,0.1,0.1,0.0
2014-10-01 09:30:00,0.1,0.4,0.4,0.4,0.0
2014-09-04 09:30:00,0.4,0.4,0.6,0.6,0.0
2014-08-04 09:30:00,0.6,0.4,-0.3,-0.5,0.0
2014-07-03 09:30:00,-0.5,0.3,-0.1,0.2,0.0
2014-06-03 09:30:00,0.2,0.2,0.1,0.1,0.0
2014-05-07 09:30:00,0.1,0.4,0.3,0.2,0.0
2014-04-03 08:30:00,0.2,0.3,1.2,1.2,0.0
2014-03-06 08:30:00,1.2,0.5,0.7,0.5,0.0
2014-02-06 08:30:00,0.5,0.4,0.7,0.7,0.0
2014-01-09 08:30:00,0.7,0.3,0.5,0.5,0.0
2013-12-03 08:30:00,0.5,0.4,0.9,0.8,0.0
2013-11-04 08:30:00,0.8,0.4,0.5,0.4,0.0
2013-10-01 09:30:00,0.4,0.3,0.1,0.1,0.0
2013-09-03 09:30:00,0.1,0.4,0.0,0.0,0.0
2013-08-05 09:30:00,0.0,0.4,0.2,0.1,0.0
2013-07-03 09:30:00,0.1,0.3,-0.1,0.2,0.0
2013-06-03 09:30:00,0.2,0.3,-0.4,-0.4,0.0
2013-05-06 09:30:00,-0.4,0.2,1.3,1.3,0.0
2013-04-04 08:30:00,1.3,0.3,1.2,0.9,0.0
2013-03-05 08:30:00,0.9,0.4,-0.4,-0.2,0.0
2013-02-06 08:30:00,-0.2,0.3,-0.2,-0.1,0.0
2013-01-09 08:30:00,-0.1,0.3,0.0,0.0,0.0
2012-12-03 08:30:00,0.0,0.4,0.5,0.5,0.0
2012-11-05 08:30:00,0.5,0.4,0.3,0.2,0.0
2012-10-04 09:30:00,0.2,0.4,-0.8,-0.8,0.0
2012-09-03 09:30:00,-0.8,0.2,1.2,1.0,0.0
2012-08-02 09:30:00,1.0,0.7,0.8,0.5,0.0
2012-07-04 09:30:00,0.5,0.2,0.1,-0.2,0.0
2012-05-30 09:30:00,-0.2,0.2,1.1,0.9,0.0
2012-05-07 09:30:00,0.9,0.2,0.3,0.2,0.0
2012-04-03 09:30:00,0.2,0.3,0.3,0.3,0.0
2012-02-29 08:30:00,0.3,0.3,-0.1,-0.1,0.0
2012-02-06 08:30:00,-0.1,0.2,0.1,0.0,0.0
2012-01-09 08:30:00,0.0,0.4,0.2,0.2,0.0
2011-12-01 08:30:00,0.2,0.4,0.4,0.4,0.0
2011-11-03 08:30:00,0.4,0.5,0.6,0.6,0.0
2011-10-05 08:30:00,0.6,0.2,0.6,0.5,0.0
