datetime,AUS_RS_MoM_Actual,AUS_RS_MoM_Srv_Med,AUS_RS_MoM_Revised,AUS_RS_MoM_Prior,Is_P
1992-01-01 17:00:00,-0.30,,-0.6,-0.60,0.0
1991-12-01 17:00:00,-0.60,,2.2,2.20,0.0
1991-11-01 17:00:00,2.20,,-1.1,-1.10,0.0
1991-10-01 17:00:00,-1.10,,-0.3,-0.30,0.0
1991-09-01 17:00:00,-0.30,,4.6,4.60,0.0
1991-08-01 17:00:00,4.60,,-0.2,-0.20,0.0
1991-07-01 17:00:00,-0.20,,-0.1,-0.10,0.0
1991-06-01 17:00:00,-0.10,,0.2,0.20,0.0
1991-05-01 17:00:00,0.20,,-0.5,-0.50,0.0
1991-04-01 17:00:00,-0.50,,0.8,0.80,0.0
1991-03-01 17:00:00,0.80,,1.0,1.00,0.0
1991-02-01 17:00:00,1.00,,0.1,0.10,0.0
1991-01-01 17:00:00,0.10,,0.8,0.80,0.0
1990-12-01 17:00:00,0.80,,-0.1,-0.10,0.0
1990-11-01 17:00:00,-0.10,,-0.9,-0.90,0.0
1990-10-01 17:00:00,-0.90,,0.7,0.70,0.0
1990-09-01 17:00:00,0.70,,-0.6,-0.60,0.0
1990-08-01 17:00:00,-0.60,,1.1,1.10,0.0
1990-07-01 17:00:00,1.10,,0.3,0.30,0.0
1990-06-01 17:00:00,0.30,,0.3,0.30,0.0
1990-05-01 17:00:00,0.30,,0.7,0.70,0.0
1990-04-01 17:00:00,0.70,,0.2,0.20,0.0
1990-03-01 17:00:00,0.20,,-0.7,-0.70,0.0
1990-02-01 17:00:00,-0.70,,1.4,1.40,0.0
1990-01-01 17:00:00,1.40,,1.0,1.00,0.0
1989-12-01 17:00:00,1.00,,-0.3,-0.30,0.0
1989-11-01 17:00:00,-0.30,,1.9,1.90,0.0
1989-10-01 17:00:00,1.90,,0.0,0.00,0.0
1989-09-01 17:00:00,0.00,,0.5,0.50,0.0
1989-08-01 17:00:00,0.50,,1.9,1.90,0.0
1989-07-01 17:00:00,1.90,,-0.3,-0.30,0.0
1989-06-01 17:00:00,-0.30,,1.1,1.10,0.0
1989-05-01 17:00:00,1.10,,1.3,1.30,0.0
1989-04-01 17:00:00,1.30,,-1.9,-1.90,0.0
1989-03-01 17:00:00,-1.90,,2.4,2.40,0.0
1989-02-01 17:00:00,2.40,,1.6,1.60,0.0
1989-01-01 17:00:00,1.60,,0.7,0.70,0.0
1988-12-01 17:00:00,0.70,,1.4,1.40,0.0
1988-11-01 17:00:00,1.40,,1.0,1.00,0.0
1988-10-01 17:00:00,1.00,,0.9,0.90,0.0
1988-09-01 17:00:00,0.90,,-0.1,-0.10,0.0
1988-08-01 17:00:00,-0.10,,0.7,0.70,0.0
1988-07-01 17:00:00,0.70,,1.2,1.20,0.0
1988-06-01 17:00:00,1.20,,1.0,1.00,0.0
1988-05-01 17:00:00,1.00,,1.0,1.00,0.0
1988-04-01 17:00:00,1.00,,1.6,1.60,0.0
1988-03-01 17:00:00,1.60,,-0.9,-0.90,0.0
1988-02-01 17:00:00,-0.90,,1.1,1.10,0.0
1988-01-01 17:00:00,1.10,,0.4,0.40,0.0
1987-12-01 17:00:00,0.40,,0.6,0.60,0.0
1987-11-01 17:00:00,0.60,,0.3,0.30,0.0
1987-10-01 17:00:00,0.30,,0.4,0.40,0.0
1987-09-01 17:00:00,0.40,,2.0,2.00,0.0
1987-08-01 17:00:00,2.00,,0.6,0.60,0.0
1987-07-01 17:00:00,0.60,,0.9,0.90,0.0
1987-06-01 17:00:00,0.90,,0.4,0.40,0.0
1987-05-01 17:00:00,0.40,,0.4,0.40,0.0
1987-04-01 17:00:00,0.40,,0.9,0.90,0.0
1987-03-01 17:00:00,0.90,,0.5,0.50,0.0
1987-02-01 17:00:00,0.50,,1.0,1.00,0.0
1987-01-01 17:00:00,1.00,,0.4,0.40,0.0
1986-12-01 17:00:00,0.40,,-0.2,-0.20,0.0
1986-11-01 17:00:00,-0.20,,0.0,0.00,0.0
1986-10-01 17:00:00,0.00,,1.8,1.80,0.0
1986-09-01 17:00:00,1.80,,0.7,0.70,0.0
1986-08-01 17:00:00,0.70,,-1.2,-1.20,0.0
1986-07-01 17:00:00,-1.20,,3.3,3.30,0.0
1986-06-01 17:00:00,3.30,,2.7,2.70,0.0
1986-05-01 17:00:00,2.70,,-1.1,-1.10,0.0
1986-04-01 17:00:00,-1.10,,0.4,0.40,0.0
1986-03-01 17:00:00,0.40,,-0.3,-0.30,0.0
1986-02-01 17:00:00,-0.30,,0.9,0.90,0.0
1986-01-01 17:00:00,0.90,,0.9,0.90,0.0
1985-12-01 17:00:00,0.90,,1.5,1.50,0.0
1985-11-01 17:00:00,1.50,,1.4,1.40,0.0
1985-10-01 17:00:00,1.40,,0.1,0.10,0.0
1985-09-01 17:00:00,0.10,,1.6,1.60,0.0
1985-08-01 17:00:00,1.60,,0.0,0.00,0.0
1985-07-01 17:00:00,0.00,,2.2,2.20,0.0
1985-06-01 17:00:00,2.20,,1.6,1.60,0.0
1985-05-01 17:00:00,1.60,,0.6,0.60,0.0
1985-04-01 17:00:00,0.60,,0.9,0.90,0.0
1985-03-01 17:00:00,0.90,,1.0,1.00,0.0
1985-02-01 17:00:00,1.00,,0.3,0.30,0.0
1985-01-01 17:00:00,0.30,,1.1,1.10,0.0
1984-12-01 17:00:00,1.10,,1.2,1.20,0.0
1984-11-01 17:00:00,1.20,,0.8,0.80,0.0
1984-10-01 17:00:00,0.80,,-1.5,-1.50,0.0
1984-09-01 17:00:00,-1.50,,3.1,3.10,0.0
1984-08-01 17:00:00,3.10,,-0.6,-0.60,0.0
1984-07-01 17:00:00,-0.60,,0.6,0.60,0.0
1984-06-01 17:00:00,0.60,,-0.2,-0.20,0.0
1984-05-01 17:00:00,-0.20,,1.1,1.10,0.0
1984-04-01 17:00:00,1.10,,0.5,0.50,0.0
1984-03-01 17:00:00,0.50,,0.5,0.50,0.0
1984-02-01 17:00:00,0.50,,1.0,1.00,0.0
1984-01-01 17:00:00,1.00,,0.2,0.20,0.0
1983-12-01 17:00:00,0.20,,0.5,0.50,0.0
1983-11-01 17:00:00,0.50,,0.3,0.30,0.0
1983-10-01 17:00:00,0.30,,1.8,1.80,0.0
1983-09-01 17:00:00,1.80,,0.8,0.80,0.0
1983-08-01 17:00:00,0.80,,1.3,1.30,0.0
1983-07-01 17:00:00,1.30,,-2.5,-2.50,0.0
1983-06-01 17:00:00,-2.50,,1.7,1.70,0.0
1983-05-01 17:00:00,1.70,,0.0,0.00,0.0
1983-04-01 17:00:00,0.00,,3.4,3.40,0.0
1983-03-01 17:00:00,3.40,,1.3,1.30,0.0
1983-02-01 17:00:00,1.30,,-0.1,-0.10,0.0
1983-01-01 17:00:00,-0.10,,1.6,1.60,0.0
1982-12-01 17:00:00,1.60,,0.4,0.40,0.0
1982-11-01 17:00:00,0.40,,0.1,0.10,0.0
1982-10-01 17:00:00,0.10,,0.6,0.60,0.0
1982-09-01 17:00:00,0.60,,-0.2,-0.20,0.0
1982-08-01 17:00:00,-0.20,,1.0,1.00,0.0
1982-07-01 17:00:00,1.00,,0.2,,0.0
1982-06-01 17:00:00,,,,,1.0
