datetime,BOE_RS_YoY_Actual,BOE_RS_YoY_Srv_Med,BOE_RS_YoY_Revised,BOE_RS_YoY_Prior
2014-01-14 17:30:00,2.7,2.7,2.6,2.6
2013-12-17 17:30:00,2.6,2.7,2.6,2.6
2013-11-12 17:30:00,2.6,3.0,3.2,3.2
2013-10-15 16:30:00,3.2,3.2,3.3,3.3
2013-09-17 16:30:00,3.3,3.2,3.1,3.1
2013-08-13 16:30:00,3.1,3.1,3.3,3.3
2013-07-16 16:30:00,3.3,3.4,3.1,3.1
2013-06-18 16:30:00,3.1,3.1,2.9,2.9
2013-05-21 16:30:00,2.9,3.1,3.3,3.3
2013-04-16 16:30:00,3.3,3.3,3.2,3.2
2013-03-19 17:30:00,3.2,3.3,3.3,3.3
2013-02-12 17:30:00,3.3,3.2,3.1,3.1
2013-01-15 17:30:00,3.1,3.0,3.0,3.0
2012-12-18 17:30:00,3.0,3.2,3.2,3.2
2012-11-13 17:30:00,3.2,2.9,2.6,2.6
2012-10-16 16:30:00,2.6,2.6,2.9,2.9
2012-09-18 16:30:00,2.9,3.1,3.2,3.2
2012-08-14 16:30:00,3.2,2.8,2.8,2.8
2012-07-17 16:30:00,2.8,3.0,3.1,3.1
2012-06-19 16:30:00,3.1,3.3,3.5,3.5
2012-05-22 16:30:00,3.5,3.5,3.6,3.6
2012-04-17 16:30:00,3.6,3.6,3.7,3.7
2012-03-20 17:30:00,3.7,3.4,3.9,3.9
2012-02-14 17:30:00,3.9,4.1,4.8,4.8
2012-01-17 17:30:00,4.8,4.7,5.2,5.2
2011-12-13 17:30:00,5.2,5.1,5.4,5.4
2011-11-15 17:30:00,5.4,5.5,5.6,5.6
2011-10-18 16:30:00,5.6,5.4,5.2,5.2
2011-09-13 16:30:00,5.2,5.1,5.0,5.0
2011-08-16 16:30:00,5.0,5.0,5.0,5.0
2011-07-12 16:30:00,5.0,5.2,5.2,5.2
2011-06-14 16:30:00,5.2,5.3,5.2,5.2
2011-05-17 16:30:00,5.2,5.3,5.3,5.3
2011-04-12 16:30:00,5.3,5.5,5.5,5.5
2011-03-22 17:30:00,5.5,5.2,5.1,5.1
2011-02-15 17:30:00,5.1,5.2,4.8,4.8
2011-01-18 17:30:00,4.8,4.8,4.7,4.7
2010-12-14 17:30:00,4.7,4.5,4.5,4.5
2010-11-16 17:30:00,4.5,4.6,4.6,4.6
2010-10-12 16:30:00,4.6,4.4,4.7,4.7
2010-09-14 16:30:00,4.7,4.6,4.8,4.8
2010-08-17 16:30:00,4.8,5.0,5.0,5.0
2010-07-13 16:30:00,5.0,4.9,5.1,5.1
2010-06-15 16:30:00,5.1,5.0,5.3,5.3
2010-05-18 16:30:00,5.3,4.8,4.4,4.4
2010-04-20 16:30:00,4.4,4.1,3.7,3.7
2010-03-23 17:30:00,3.7,3.7,3.7,3.7
2010-02-16 17:30:00,3.7,3.8,2.4,2.4
2010-01-19 17:30:00,2.4,2.2,0.3,0.3
2009-12-15 17:30:00,0.3,0.2,-0.8,-0.8
2009-11-17 17:30:00,-0.8,-0.9,-1.4,-1.4
2009-10-13 16:30:00,-1.4,-1.5,-1.3,-1.3
2009-09-15 16:30:00,-1.3,-1.5,-1.4,-1.4
2009-08-18 16:30:00,-1.4,-1.7,-1.6,-1.6
2009-07-14 16:30:00,-1.6,-1.6,-1.1,-1.1
2009-06-16 16:30:00,-1.1,-1.5,-1.2,-1.2
2009-05-19 16:30:00,-1.2,-1.1,-0.4,-0.4
2009-04-21 16:30:00,-0.4,-0.6,0.0,0.0
2009-03-24 17:30:00,0.0,-0.7,0.1,0.1
2009-02-17 17:30:00,0.1,-0.1,0.9,3.0
2008-12-16 17:30:00,3.0,3.1,4.2,4.2
2008-11-18 17:30:00,4.2,4.6,5.0,4.8
2008-09-16 16:30:00,4.8,4.9,5.0,5.0
2008-08-12 16:30:00,5.0,4.9,4.6,4.6
2008-07-15 16:30:00,4.6,4.3,4.3,4.3
2008-06-17 16:30:00,4.3,4.2,4.2,4.2
2008-05-13 17:30:00,4.2,3.9,3.8,3.8
2008-04-15 16:30:00,3.8,3.9,4.1,4.1
2008-03-18 17:30:00,4.1,4.2,4.1,4.1
2008-02-12 17:30:00,4.1,4.1,4.0,4.0
2008-01-01 17:00:00,4.0,,4.3,4.3
2007-12-01 17:00:00,4.3,,4.2,4.2
2007-11-01 17:00:00,4.2,,3.9,3.9
