datetime,US_IJCFWA_QoQ_Actual,US_IJCFWA_QoQ_Srv_Med,US_IJCFWA_QoQ_Revised,US_IJCFWA_QoQ_Prior
2022-06-09 20:30:00,215.00,,207.0,206.50
2022-06-02 20:30:00,206.50,,207.0,206.75
2022-05-26 20:30:00,206.75,,199.5,199.50
2022-05-19 20:30:00,199.50,,191.25,192.75
2022-05-12 20:30:00,192.75,,188.5,188.00
2022-05-05 20:30:00,188.00,,180.0,179.75
2022-04-28 20:30:00,179.75,,177.5,177.25
2022-04-21 20:30:00,177.25,,172.75,172.25
2022-04-14 20:30:00,172.25,,170.25,170.00
2022-04-07 20:30:00,170.00,,178.0,208.50
2022-03-31 20:30:00,208.50,,212.0,211.75
2022-03-24 20:30:00,211.75,,223.25,223.00
2022-03-17 20:30:00,223.00,,231.75,231.25
2022-03-10 21:30:00,231.25,,230.75,230.50
2022-03-03 21:30:00,230.50,,236.5,236.25
2022-02-24 21:30:00,236.25,,243.5,243.25
2022-02-17 21:30:00,243.25,,253.75,253.25
2022-02-10 21:30:00,253.25,,255.25,255.00
2022-02-03 21:30:00,255.00,,247.25,247.00
2022-01-27 21:30:00,247.00,,232.0,231.00
2022-01-20 21:30:00,231.00,,211.0,210.75
2022-01-13 21:30:00,210.75,,204.5,204.50
2022-01-06 21:30:00,204.50,,199.75,199.25
2021-12-30 21:30:00,199.25,,206.5,206.25
2021-12-23 21:30:00,206.25,,203.5,203.75
2021-12-16 21:30:00,203.75,,219.75,218.75
2021-12-09 21:30:00,218.75,,240.0,238.75
2021-12-02 21:30:00,238.75,,251.0,252.25
2021-11-24 21:30:00,252.25,,273.25,272.75
2021-11-18 21:30:00,272.75,,278.5,278.00
2021-11-10 21:30:00,278.00,,285.25,284.75
2021-11-04 20:30:00,284.75,,299.75,299.25
2021-10-28 20:30:00,299.25,,320.0,319.75
2021-10-21 20:30:00,319.75,,335.0,334.25
2021-10-14 20:30:00,334.25,,344.75,344.00
2021-10-07 20:30:00,344.00,,340.5,340.00
2021-09-30 20:30:00,340.00,,335.75,335.75
2021-09-23 20:30:00,335.75,,336.5,335.75
2021-09-16 20:30:00,335.75,,340.0,339.50
2021-09-09 20:30:00,339.50,,356.25,355.00
2021-09-02 20:30:00,355.00,,366.75,366.50
2021-08-26 20:30:00,366.50,,378.0,377.75
2021-08-19 20:30:00,377.75,,396.75,396.25
2021-08-12 20:30:00,396.25,,394.5,394.00
