datetime,UK_UER_MoM_Actual,UK_UER_MoM_Srv_Med,UK_UER_MoM_Revised,UK_UER_MoM_Prior
2011-02-16 17:30:00,7.9,7.9,7.9,7.9
2011-01-19 17:30:00,7.9,7.9,7.9,7.9
2010-12-15 17:30:00,7.9,7.7,7.7,7.7
2010-11-17 17:30:00,7.7,7.7,7.7,7.7
2010-10-13 16:30:00,7.7,7.8,7.8,7.8
2010-09-15 16:30:00,7.8,7.8,7.8,7.8
2010-08-11 16:30:00,7.8,7.8,7.8,7.8
2010-07-14 16:30:00,7.8,7.9,8.0,7.9
2010-06-16 16:30:00,7.9,8.0,8.0,8.0
2010-05-12 16:30:00,8.0,8.0,8.0,8.0
2010-04-21 16:30:00,8.0,7.8,7.8,7.8
2010-03-17 17:30:00,7.8,7.8,7.8,7.8
2010-02-17 17:30:00,7.8,7.8,7.8,7.8
2010-01-20 17:30:00,7.8,8.0,7.9,7.9
2009-12-16 17:30:00,7.9,8.0,7.8,7.8
2009-11-11 17:30:00,7.8,8.0,7.8,7.9
2009-10-14 16:30:00,7.9,8.0,7.9,7.9
2009-09-16 16:30:00,7.9,8.0,7.8,7.8
2009-08-12 16:30:00,7.8,7.7,7.6,7.6
2009-07-15 16:30:00,7.6,7.4,7.2,7.2
2009-06-17 16:30:00,7.2,7.3,7.1,7.1
2009-05-12 21:00:00,7.1,6.9,6.7,6.7
2009-04-22 16:30:00,6.7,6.7,6.5,6.5
2009-03-18 17:30:00,6.5,6.5,6.3,6.3
2009-02-11 17:30:00,6.3,6.3,6.1,6.1
2009-01-21 17:30:00,6.1,6.1,6.0,6.0
2008-12-17 17:30:00,6.0,6.0,5.8,5.8
2008-11-12 17:30:00,5.8,5.8,5.7,5.7
2008-10-15 16:30:00,5.7,5.6,5.5,5.5
2008-09-17 16:30:00,5.5,5.4,5.4,5.4
2008-08-13 16:30:00,5.4,5.3,5.2,5.2
2008-07-16 16:30:00,5.2,5.3,5.3,5.3
2008-06-11 17:30:00,5.3,5.2,5.2,5.2
2008-05-14 17:30:00,5.2,5.2,5.2,5.2
2008-04-16 16:30:00,5.2,5.2,5.2,5.2
2008-03-19 17:30:00,5.2,5.2,5.2,5.2
2008-02-13 17:30:00,5.2,5.3,5.3,5.2
2008-01-01 17:00:00,5.2,,5.2,5.2
2007-12-01 17:00:00,5.2,,5.2,5.2
2007-11-01 17:00:00,5.2,,5.3,5.3
2007-10-01 17:00:00,5.3,,5.3,5.3
2007-09-01 17:00:00,5.3,,5.3,5.3
2007-08-01 17:00:00,5.3,,5.4,5.4
2007-07-01 17:00:00,5.4,,5.4,5.4
2007-06-01 17:00:00,5.4,,5.5,5.5
2007-05-01 17:00:00,5.5,,5.5,5.5
2007-04-01 17:00:00,5.5,,5.5,5.5
2007-03-01 17:00:00,5.5,,5.5,5.5
2007-02-01 17:00:00,5.5,,5.5,5.5
2007-01-01 17:00:00,5.5,,5.4,5.4
2006-12-01 17:00:00,5.4,,5.5,5.5
2006-11-01 17:00:00,5.5,,5.5,5.5
2006-10-01 17:00:00,5.5,,5.5,5.5
2006-09-01 17:00:00,5.5,,5.5,5.5
2006-08-01 17:00:00,5.5,,5.5,5.5
2006-07-01 17:00:00,5.5,,5.4,5.4
2006-06-01 17:00:00,5.4,,5.3,5.3
2006-05-01 17:00:00,5.3,,5.2,5.2
2006-04-01 17:00:00,5.2,,5.2,5.2
2006-03-01 17:00:00,5.2,,5.1,5.1
2006-02-01 17:00:00,5.1,,5.1,5.1
2006-01-01 17:00:00,5.1,,5.1,5.1
2005-12-01 17:00:00,5.1,,4.9,4.9
2005-11-01 17:00:00,4.9,,4.7,4.7
2005-10-01 17:00:00,4.7,,4.7,4.7
2005-09-01 17:00:00,4.7,,4.7,4.7
2005-08-01 17:00:00,4.7,,4.8,4.8
2005-07-01 17:00:00,4.8,,4.8,4.8
2005-06-01 17:00:00,4.8,,4.7,4.7
2005-05-01 17:00:00,4.7,,4.7,4.7
2005-04-01 17:00:00,4.7,,4.8,4.8
2005-03-01 17:00:00,4.8,,4.7,4.7
2005-02-01 17:00:00,4.7,,4.7,4.7
2005-01-01 17:00:00,4.7,,4.7,4.7
2004-12-01 17:00:00,4.7,,4.7,4.7
2004-11-01 17:00:00,4.7,,4.7,4.7
2004-10-01 17:00:00,4.7,,4.7,4.7
2004-09-01 17:00:00,4.7,,4.8,4.8
2004-08-01 17:00:00,4.8,,4.8,4.8
2004-07-01 17:00:00,4.8,,4.8,4.8
2004-06-01 17:00:00,4.8,,4.8,4.8
2004-05-01 17:00:00,4.8,,4.8,4.8
2004-04-01 17:00:00,4.8,,4.8,4.8
2004-03-01 17:00:00,4.8,,4.8,4.8
2004-02-01 17:00:00,4.8,,4.9,4.9
2004-01-01 17:00:00,4.9,,4.9,4.9
2003-12-01 17:00:00,4.9,,5.0,5.0
2003-11-01 17:00:00,5.0,,5.0,5.0
2003-10-01 17:00:00,5.0,,5.1,5.1
2003-09-01 17:00:00,5.1,,5.1,5.1
2003-08-01 17:00:00,5.1,,4.9,4.9
2003-07-01 17:00:00,4.9,,5.0,5.0
2003-06-01 17:00:00,5.0,,5.1,5.1
2003-05-01 17:00:00,5.1,,5.2,5.2
2003-04-01 17:00:00,5.2,,5.1,5.1
2003-03-01 17:00:00,5.1,,5.0,5.0
2003-02-01 17:00:00,5.0,,5.1,5.1
2003-01-01 17:00:00,5.1,,5.2,5.2
2002-12-01 17:00:00,5.2,,5.2,5.2
2002-11-01 17:00:00,5.2,,5.3,5.3
2002-10-01 17:00:00,5.3,,5.2,5.2
2002-09-01 17:00:00,5.2,,5.2,5.2
2002-08-01 17:00:00,5.2,,5.2,5.2
2002-07-01 17:00:00,5.2,,5.2,5.2
2002-06-01 17:00:00,5.2,,5.2,5.2
2002-05-01 17:00:00,5.2,,5.2,5.2
2002-04-01 17:00:00,5.2,,5.1,5.1
2002-03-01 17:00:00,5.1,,5.2,5.2
2002-02-01 17:00:00,5.2,,5.2,5.2
2002-01-01 17:00:00,5.2,,5.1,5.1
2001-12-01 17:00:00,5.1,,5.1,5.1
2001-11-01 17:00:00,5.1,,5.1,5.1
2001-10-01 17:00:00,5.1,,5.1,5.1
2001-09-01 17:00:00,5.1,,5.0,5.0
2001-08-01 17:00:00,5.0,,5.0,5.0
2001-07-01 17:00:00,5.0,,4.9,4.9
2001-06-01 17:00:00,4.9,,5.0,5.0
2001-05-01 17:00:00,5.0,,5.1,5.1
2001-04-01 17:00:00,5.1,,5.2,5.2
2001-03-01 17:00:00,5.2,,5.2,5.2
2001-02-01 17:00:00,5.2,,5.2,5.2
2001-01-01 17:00:00,5.2,,5.3,5.3
2000-12-01 17:00:00,5.3,,5.4,5.4
2000-11-01 17:00:00,5.4,,5.3,5.3
2000-10-01 17:00:00,5.3,,5.3,5.3
2000-09-01 17:00:00,5.3,,5.3,5.3
2000-08-01 17:00:00,5.3,,5.5,5.5
2000-07-01 17:00:00,5.5,,5.6,5.6
2000-06-01 17:00:00,5.6,,5.7,5.7
2000-05-01 17:00:00,5.7,,5.8,5.8
2000-04-01 17:00:00,5.8,,5.8,5.8
2000-03-01 17:00:00,5.8,,5.9,5.9
2000-02-01 17:00:00,5.9,,5.8,5.8
2000-01-01 17:00:00,5.8,,5.8,5.8
1999-12-01 17:00:00,5.8,,5.8,5.8
1999-11-01 17:00:00,5.8,,5.9,5.9
1999-10-01 17:00:00,5.9,,5.9,5.9
1999-09-01 17:00:00,5.9,,6.0,6.0
1999-08-01 17:00:00,6.0,,6.0,6.0
1999-07-01 17:00:00,6.0,,6.1,6.1
1999-06-01 17:00:00,6.1,,6.2,6.2
1999-05-01 17:00:00,6.2,,6.2,6.2
1999-04-01 17:00:00,6.2,,6.2,6.2
1999-03-01 17:00:00,6.2,,6.2,6.2
1999-02-01 17:00:00,6.2,,6.1,6.1
1999-01-01 17:00:00,6.1,,6.2,6.2
1998-12-01 17:00:00,6.2,,6.2,6.2
1998-11-01 17:00:00,6.2,,6.2,6.2
1998-10-01 17:00:00,6.2,,6.3,6.3
1998-09-01 17:00:00,6.3,,6.3,6.3
1998-08-01 17:00:00,6.3,,6.3,6.3
1998-07-01 17:00:00,6.3,,6.3,6.3
1998-06-01 17:00:00,6.3,,6.3,6.3
1998-05-01 17:00:00,6.3,,6.4,6.4
1998-04-01 17:00:00,6.4,,6.4,6.4
1998-03-01 17:00:00,6.4,,6.4,6.4
1998-02-01 17:00:00,6.4,,6.5,6.5
1998-01-01 17:00:00,6.5,,6.6,6.6
1997-12-01 17:00:00,6.6,,6.7,6.7
1997-11-01 17:00:00,6.7,,6.8,6.8
1997-10-01 17:00:00,6.8,,7.1,7.1
1997-09-01 17:00:00,7.1,,7.3,7.3
1997-08-01 17:00:00,7.3,,7.2,7.2
1997-07-01 17:00:00,7.2,,7.2,7.2
1997-06-01 17:00:00,7.2,,7.2,7.2
1997-05-01 17:00:00,7.2,,7.3,7.3
1997-04-01 17:00:00,7.3,,7.5,7.5
1997-03-01 17:00:00,7.5,,7.7,7.7
1997-02-01 17:00:00,7.7,,7.8,7.8
1997-01-01 17:00:00,7.8,,8.0,8.0
1996-12-01 17:00:00,8.0,,8.1,8.1
1996-11-01 17:00:00,8.1,,8.1,8.1
1996-10-01 17:00:00,8.1,,8.1,8.1
1996-09-01 17:00:00,8.1,,8.2,8.2
1996-08-01 17:00:00,8.2,,8.3,8.3
1996-07-01 17:00:00,8.3,,8.3,8.3
1996-06-01 17:00:00,8.3,,8.3,8.3
1996-05-01 17:00:00,8.3,,8.2,8.2
1996-04-01 17:00:00,8.2,,8.3,8.3
1996-03-01 17:00:00,8.3,,8.4,8.4
1996-02-01 17:00:00,8.4,,8.3,8.3
1996-01-01 17:00:00,8.3,,8.6,8.6
1995-12-01 17:00:00,8.6,,8.6,8.6
1995-11-01 17:00:00,8.6,,8.6,8.6
1995-10-01 17:00:00,8.6,,8.6,8.6
1995-09-01 17:00:00,8.6,,8.7,8.7
1995-08-01 17:00:00,8.7,,8.7,8.7
1995-07-01 17:00:00,8.7,,8.8,8.8
1995-06-01 17:00:00,8.8,,8.8,8.8
1995-05-01 17:00:00,8.8,,8.9,8.9
1995-04-01 17:00:00,8.9,,8.9,8.9
1995-03-01 17:00:00,8.9,,8.9,8.9
1995-02-01 17:00:00,8.9,,9.0,9.0
1995-01-01 17:00:00,9.0,,9.1,9.1
1994-12-01 17:00:00,9.1,,9.3,9.3
1994-11-01 17:00:00,9.3,,9.4,9.4
1994-10-01 17:00:00,9.4,,9.5,9.5
1994-09-01 17:00:00,9.5,,9.6,9.6
1994-08-01 17:00:00,9.6,,9.7,9.7
1994-07-01 17:00:00,9.7,,9.7,9.7
1994-06-01 17:00:00,9.7,,9.8,9.8
1994-05-01 17:00:00,9.8,,9.9,9.9
1994-04-01 17:00:00,9.9,,10.1,10.1
1994-03-01 17:00:00,10.1,,10.3,10.3
1994-02-01 17:00:00,10.3,,10.3,10.3
1994-01-01 17:00:00,10.3,,10.2,10.2
1993-12-01 17:00:00,10.2,,10.3,10.3
1993-11-01 17:00:00,10.3,,10.2,10.2
1993-10-01 17:00:00,10.2,,10.3,10.3
1993-09-01 17:00:00,10.3,,10.4,10.4
1993-08-01 17:00:00,10.4,,10.4,10.4
1993-07-01 17:00:00,10.4,,10.5,10.5
1993-06-01 17:00:00,10.5,,10.6,10.6
1993-05-01 17:00:00,10.6,,10.6,10.6
1993-04-01 17:00:00,10.6,,10.7,10.7
1993-03-01 17:00:00,10.7,,10.5,
