datetime,AUS_EP_MoM_Actual,AUS_EP_MoM_Srv_Med,AUS_EP_MoM_Revised,AUS_EP_MoM_Prior,Is_P
1984-03-01 17:00:00,16.9,,-5.7,-5.7,
1984-02-01 17:00:00,-5.7,,29.7,29.7,
1984-01-01 17:00:00,29.7,,33.9,33.9,
1983-12-01 17:00:00,33.9,,4.6,4.6,
1983-11-01 17:00:00,4.6,,25.7,25.7,
1983-10-01 17:00:00,25.7,,10.3,10.3,
1983-09-01 17:00:00,10.3,,6.0,6.0,
1983-08-01 17:00:00,6.0,,6.1,6.1,
1983-07-01 17:00:00,6.1,,28.4,28.4,
1983-06-01 17:00:00,28.4,,-20.7,-20.7,
1983-05-01 17:00:00,-20.7,,-33.7,-33.7,
1983-04-01 17:00:00,-33.7,,-1.3,-1.3,
1983-03-01 17:00:00,-1.3,,-5.4,-5.4,
1983-02-01 17:00:00,-5.4,,-48.5,-48.5,
1983-01-01 17:00:00,-48.5,,-56.0,-56.0,
1982-12-01 17:00:00,-56.0,,5.7,5.7,
1982-11-01 17:00:00,5.7,,-18.3,-18.3,
1982-10-01 17:00:00,-18.3,,-5.9,-5.9,
1982-09-01 17:00:00,-5.9,,-0.2,-0.2,
1982-08-01 17:00:00,-0.2,,-13.0,-13.0,
1982-07-01 17:00:00,-13.0,,-23.0,-23.0,
1982-06-01 17:00:00,-23.0,,12.5,12.5,
1982-05-01 17:00:00,12.5,,-7.7,-7.7,
1982-04-01 17:00:00,-7.7,,-13.7,-13.7,
1982-03-01 17:00:00,-13.7,,33.9,33.9,
1982-02-01 17:00:00,33.9,,11.8,11.8,
1982-01-01 17:00:00,11.8,,-9.1,-9.1,
1981-12-01 17:00:00,-9.1,,-26.2,-26.2,
1981-11-01 17:00:00,-26.2,,19.2,19.2,
1981-10-01 17:00:00,19.2,,16.9,16.9,
1981-09-01 17:00:00,16.9,,-1.5,-1.5,
1981-08-01 17:00:00,-1.5,,15.7,15.7,
1981-07-01 17:00:00,15.7,,-2.4,-2.4,
1981-06-01 17:00:00,-2.4,,30.0,30.0,
1981-05-01 17:00:00,30.0,,3.6,3.6,
1981-04-01 17:00:00,3.6,,18.8,18.8,
1981-03-01 17:00:00,18.8,,1.7,1.7,
1981-02-01 17:00:00,1.7,,20.3,20.3,
1981-01-01 17:00:00,20.3,,26.1,26.1,
1980-12-01 17:00:00,26.1,,-7.6,-7.6,
1980-11-01 17:00:00,-7.6,,3.3,3.3,
1980-10-01 17:00:00,3.3,,2.9,2.9,
1980-09-01 17:00:00,2.9,,32.7,32.7,
1980-08-01 17:00:00,32.7,,8.3,8.3,
1980-07-01 17:00:00,8.3,,21.2,21.2,
1980-06-01 17:00:00,21.2,,12.4,12.4,
1980-05-01 17:00:00,12.4,,12.4,12.4,
1980-04-01 17:00:00,12.4,,15.3,15.3,
1980-03-01 17:00:00,15.3,,20.6,20.6,
1980-02-01 17:00:00,20.6,,0.2,0.2,
1980-01-01 17:00:00,0.2,,31.4,31.4,
1979-12-01 17:00:00,31.4,,38.2,38.2,
1979-11-01 17:00:00,38.2,,-0.4,-0.4,
1979-10-01 17:00:00,-0.4,,17.0,17.0,
1979-09-01 17:00:00,17.0,,-0.7,-0.7,
1979-08-01 17:00:00,-0.7,,30.9,30.9,
1979-07-01 17:00:00,30.9,,1.6,1.6,
1979-06-01 17:00:00,1.6,,10.6,10.6,
1979-05-01 17:00:00,10.6,,-5.3,-5.3,
1979-04-01 17:00:00,-5.3,,6.4,6.4,
1979-03-01 17:00:00,6.4,,1.6,1.6,
1979-02-01 17:00:00,1.6,,21.4,21.4,
1979-01-01 17:00:00,21.4,,-6.5,-6.5,
1978-12-01 17:00:00,-6.5,,5.5,5.5,
1978-11-01 17:00:00,5.5,,0.7,0.7,
1978-10-01 17:00:00,0.7,,1.7,1.7,
1978-09-01 17:00:00,1.7,,-2.8,-2.8,
1978-08-01 17:00:00,-2.8,,3.1,3.1,
1978-07-01 17:00:00,3.1,,-2.9,-2.9,
1978-06-01 17:00:00,-2.9,,30.1,30.1,
1978-05-01 17:00:00,30.1,,8.3,,
1978-04-01 17:00:00,,,,-11.5,
