datetime,AUS_EP_MoM_Actual,AUS_EP_MoM_Srv_Med,AUS_EP_MoM_Revised,AUS_EP_MoM_Prior,Is_P
2015-04-16 09:30:00,37.7,15.0,41.9,15.6,
2015-03-12 08:30:00,15.6,15.0,-14.6,-12.2,
2015-02-12 08:30:00,-12.2,-5.0,42.4,37.4,
2015-01-15 08:30:00,37.4,3.8,44.9,42.7,
2014-12-11 08:30:00,42.7,12.4,13.7,24.1,
2014-11-06 08:30:00,24.1,10.3,-23.7,-29.7,
2014-10-09 08:30:00,-29.7,20.0,32.1,121.0,
2014-09-11 09:30:00,121.0,12.0,-4.1,-0.3,
2014-08-07 09:30:00,-0.3,12.0,14.9,15.9,
2014-07-10 09:30:00,15.9,12.0,-5.1,-4.8,
2014-06-12 09:30:00,-4.8,10.0,10.3,14.2,
2014-05-08 09:30:00,14.2,6.8,22.0,18.1,
2014-04-10 09:30:00,18.1,5.0,48.2,47.3,
2014-03-13 08:30:00,47.3,18.0,18.0,-3.7,
2014-02-13 08:30:00,-3.7,15.0,-23.0,-22.6,
2014-01-16 08:30:00,-22.6,7.5,15.4,21.0,
2013-12-12 08:30:00,21.0,10.0,-0.7,1.1,
2013-11-07 08:30:00,1.1,10.0,3.3,9.1,
2013-10-10 08:30:00,9.1,15.0,-10.2,-10.8,
2013-09-12 09:30:00,-10.8,10.0,-11.4,-10.2,
2013-08-08 09:30:00,-10.2,5.0,9.3,10.3,
2013-07-11 09:30:00,10.3,-2.5,-0.7,1.1,
2013-06-13 09:30:00,1.1,-10.0,45.0,50.1,
2013-05-09 09:30:00,50.1,12.0,-31.2,-36.1,
2013-04-11 09:30:00,-36.1,-5.0,74.0,71.5,
2013-03-14 08:30:00,71.5,9.0,13.0,10.4,
2013-02-07 08:30:00,10.4,5.0,-3.8,-5.5,
2013-01-17 08:30:00,-5.5,4.5,17.1,13.9,
2012-12-06 08:30:00,13.9,0.2,10.1,10.7,
2012-11-08 08:30:00,10.7,0.2,15.6,14.5,
2012-10-11 08:30:00,14.5,3.8,-9.1,-8.8,
2012-09-06 09:30:00,-8.8,5.0,11.7,14.0,
2012-08-09 09:30:00,14.0,10.0,-28.3,-27.0,
2012-07-12 09:30:00,-27.0,0.3,27.9,38.9,
2012-06-07 09:30:00,38.9,-5.0,15.5,15.5,
2012-05-10 09:30:00,15.5,-5.5,44.0,44.0,
2012-04-12 09:30:00,44.0,6.0,-15.4,-15.4,
2012-03-08 08:30:00,-15.4,5.0,46.2,46.3,
2012-02-16 08:30:00,46.3,10.9,-35.6,-29.3,
2012-01-19 08:30:00,-29.3,10.0,-7.5,-6.3,
2011-12-08 08:30:00,-6.3,10.6,16.8,10.1,
2011-11-10 08:30:00,10.1,10.0,22.5,20.4,
2011-10-13 08:30:00,20.4,10.0,-10.5,-9.7,
2011-09-08 09:30:00,-9.7,10.0,-4.1,-0.1,
2011-08-11 09:30:00,-0.1,10.3,18.2,23.4,
2011-07-07 09:30:00,23.4,15.0,-0.5,7.8,
2011-06-09 09:30:00,7.8,25.6,-29.4,-22.1,
2011-05-12 09:30:00,-22.1,17.0,43.3,37.8,
2011-04-07 09:30:00,37.8,23.1,-8.6,-10.1,
2011-03-10 08:30:00,-10.1,21.5,7.7,24.0,
2011-02-10 08:30:00,24.0,20.3,1.8,2.3,
2011-01-13 08:30:00,2.3,25.0,54.6,54.6,
2010-12-09 08:30:00,54.6,20.0,36.9,29.7,
2010-11-11 08:30:00,29.7,20.0,49.6,49.5,
2010-10-07 08:30:00,49.5,20.3,31.6,30.9,
2010-09-09 09:30:00,30.9,25.3,25.0,23.5,
2010-08-12 09:30:00,23.5,20.1,37.4,45.9,
2010-07-08 09:30:00,45.9,15.3,22.8,26.9,
2010-06-10 09:30:00,26.9,16.1,35.3,33.7,
2010-05-13 09:30:00,33.7,22.6,19.6,19.6,
2010-04-08 09:30:00,19.6,20.0,-4.7,0.4,
2010-03-11 08:30:00,0.4,15.0,56.5,52.7,
2010-02-11 08:30:00,52.7,15.0,37.5,35.2,
2010-01-14 08:30:00,35.2,10.0,31.4,31.2,
2009-12-10 08:30:00,31.2,6.0,27.2,24.5,
2009-11-12 08:30:00,24.5,-10.0,39.8,40.6,
2009-10-08 08:30:00,40.6,-10.0,-26.1,-27.1,
2009-09-10 09:30:00,-27.1,-14.7,33.6,32.2,
2009-08-06 09:30:00,32.2,-17.5,-23.1,-21.4,
2009-07-09 09:30:00,-21.4,-20.0,-8.5,-1.7,
2009-06-11 09:30:00,-1.7,-30.0,25.4,27.3,
2009-05-07 09:30:00,27.3,-24.9,-37.2,-34.7,
2009-04-09 09:30:00,-34.7,-24.8,1.8,1.8,
2009-03-12 08:30:00,1.8,-20.6,0.3,1.2,
2009-02-12 08:30:00,1.2,-18.5,-1.2,-1.2,
2009-01-15 08:30:00,-1.2,-20.0,-15.6,0.0,
2008-12-11 08:30:00,0.0,-15.0,34.3,34.3,
2008-11-06 08:30:00,34.3,-10.0,2.2,2.2,
2008-10-09 08:30:00,2.2,,14.6,14.6,
2008-09-11 09:30:00,14.6,5.5,10.9,10.9,
2008-08-07 09:30:00,10.9,4.0,29.8,29.8,
2008-07-10 09:30:00,29.8,10.2,-19.7,-19.7,
2008-06-12 10:30:00,-19.7,13.8,25.4,25.4,
2008-05-08 09:30:00,25.4,10.2,14.8,14.8,
2008-04-10 09:30:00,14.8,10.0,36.7,36.7,
2008-03-13 08:30:00,36.7,15.0,26.8,39.9,
2008-02-01 17:00:00,39.9,,21.5,21.5,
2008-01-01 17:00:00,21.5,,48.8,48.8,
2007-12-01 17:00:00,48.8,,-4.3,-4.3,
2007-11-01 17:00:00,-4.3,,36.4,36.4,
2007-10-01 17:00:00,36.4,,32.7,32.7,
2007-09-01 17:00:00,32.7,,16.3,16.3,
2007-08-01 17:00:00,16.3,,17.2,17.2,
2007-07-01 17:00:00,17.2,,42.9,42.9,
2007-06-01 17:00:00,42.9,,28.2,28.2,
2007-05-01 17:00:00,28.2,,35.9,35.9,
2007-04-01 17:00:00,35.9,,32.1,32.1,
2007-03-01 17:00:00,32.1,,-9.8,-9.8,
2007-02-01 17:00:00,-9.8,,56.1,56.1,
2007-01-01 17:00:00,56.1,,28.2,28.2,
2006-12-01 17:00:00,28.2,,-27.5,-27.5,
2006-11-01 17:00:00,-27.5,,49.4,49.4,
2006-10-01 17:00:00,49.4,,14.5,14.5,
2006-09-01 17:00:00,14.5,,50.3,50.3,
2006-08-01 17:00:00,50.3,,31.4,31.4,
2006-07-01 17:00:00,31.4,,34.9,34.9,
2006-06-01 17:00:00,34.9,,11.7,11.7,
2006-05-01 17:00:00,11.7,,42.1,42.1,
2006-04-01 17:00:00,42.1,,38.2,38.2,
2006-03-01 17:00:00,38.2,,-4.8,-4.8,
2006-02-01 17:00:00,-4.8,,4.4,4.4,
2006-01-01 17:00:00,4.4,,19.0,19.0,
2005-12-01 17:00:00,19.0,,1.5,1.5,
2005-11-01 17:00:00,1.5,,-10.6,-10.6,
2005-10-01 17:00:00,-10.6,,38.9,38.9,
2005-09-01 17:00:00,38.9,,17.4,17.4,
2005-08-01 17:00:00,17.4,,38.0,38.0,
2005-07-01 17:00:00,38.0,,-11.6,-11.6,
2005-06-01 17:00:00,-11.6,,49.4,49.4,
2005-05-01 17:00:00,49.4,,36.7,36.7,
2005-04-01 17:00:00,36.7,,35.7,35.7,
2005-03-01 17:00:00,35.7,,45.3,45.3,
2005-02-01 17:00:00,45.3,,17.1,17.1,
2005-01-01 17:00:00,17.1,,28.3,28.3,
2004-12-01 17:00:00,28.3,,50.1,50.1,
2004-11-01 17:00:00,50.1,,63.0,63.0,
2004-10-01 17:00:00,63.0,,-9.9,-9.9,
2004-09-01 17:00:00,-9.9,,12.0,12.0,
2004-08-01 17:00:00,12.0,,0.6,0.6,
2004-07-01 17:00:00,0.6,,18.5,18.5,
2004-06-01 17:00:00,18.5,,21.6,21.6,
2004-05-01 17:00:00,21.6,,28.2,28.2,
2004-04-01 17:00:00,28.2,,4.2,4.2,
2004-03-01 17:00:00,4.2,,-2.6,-2.6,
2004-02-01 17:00:00,-2.6,,26.8,26.8,
2004-01-01 17:00:00,26.8,,1.3,1.3,
2003-12-01 17:00:00,1.3,,18.0,18.0,
2003-11-01 17:00:00,18.0,,15.2,15.2,
2003-10-01 17:00:00,15.2,,51.2,51.2,
2003-09-01 17:00:00,51.2,,-7.4,-7.4,
2003-08-01 17:00:00,-7.4,,-23.0,-23.0,
2003-07-01 17:00:00,-23.0,,16.5,16.5,
2003-06-01 17:00:00,16.5,,11.8,11.8,
2003-05-01 17:00:00,11.8,,-52.0,-52.0,
2003-04-01 17:00:00,-52.0,,21.6,21.6,
2003-03-01 17:00:00,21.6,,52.6,52.6,
2003-02-01 17:00:00,52.6,,37.5,37.5,
2003-01-01 17:00:00,37.5,,57.2,57.2,
2002-12-01 17:00:00,57.2,,1.3,1.3,
2002-11-01 17:00:00,1.3,,8.8,8.8,
2002-10-01 17:00:00,8.8,,53.2,53.2,
2002-09-01 17:00:00,53.2,,4.4,4.4,
2002-08-01 17:00:00,4.4,,28.0,28.0,
2002-07-01 17:00:00,28.0,,14.0,14.0,
2002-06-01 17:00:00,14.0,,-0.5,-0.5,
2002-05-01 17:00:00,-0.5,,0.9,0.9,
2002-04-01 17:00:00,0.9,,32.8,32.8,
2002-03-01 17:00:00,32.8,,26.5,26.5,
2002-02-01 17:00:00,26.5,,-6.8,-6.8,
2002-01-01 17:00:00,-6.8,,28.1,28.1,
2001-12-01 17:00:00,28.1,,9.8,9.8,
2001-11-01 17:00:00,9.8,,-13.8,-13.8,
2001-10-01 17:00:00,-13.8,,24.6,24.6,
2001-09-01 17:00:00,24.6,,13.9,13.9,
2001-08-01 17:00:00,13.9,,-4.7,-4.7,
2001-07-01 17:00:00,-4.7,,-4.1,-4.1,
2001-06-01 17:00:00,-4.1,,58.0,58.0,
2001-05-01 17:00:00,58.0,,6.8,6.8,
2001-04-01 17:00:00,6.8,,2.7,2.7,
2001-03-01 17:00:00,2.7,,7.7,7.7,
2001-02-01 17:00:00,7.7,,32.8,32.8,
2001-01-01 17:00:00,32.8,,-47.9,-47.9,
2000-12-01 17:00:00,-47.9,,-22.6,-22.6,
2000-11-01 17:00:00,-22.6,,-11.1,-11.1,
2000-10-01 17:00:00,-11.1,,4.2,4.2,
2000-09-01 17:00:00,4.2,,74.3,74.3,
2000-08-01 17:00:00,74.3,,34.9,34.9,
2000-07-01 17:00:00,34.9,,4.0,4.0,
2000-06-01 17:00:00,4.0,,36.7,36.7,
2000-05-01 17:00:00,36.7,,48.2,48.2,
2000-04-01 17:00:00,48.2,,50.4,50.4,
2000-03-01 17:00:00,50.4,,-44.6,-44.6,
2000-02-01 17:00:00,-44.6,,28.1,28.1,
2000-01-01 17:00:00,28.1,,15.8,15.8,
1999-12-01 17:00:00,15.8,,43.4,43.4,
1999-11-01 17:00:00,43.4,,3.4,3.4,
1999-10-01 17:00:00,3.4,,20.5,20.5,
1999-09-01 17:00:00,20.5,,9.3,9.3,
1999-08-01 17:00:00,9.3,,42.4,42.4,
1999-07-01 17:00:00,42.4,,-1.6,-1.6,
1999-06-01 17:00:00,-1.6,,-1.4,-1.4,
1999-05-01 17:00:00,-1.4,,26.8,26.8,
1999-04-01 17:00:00,26.8,,10.1,10.1,
1999-03-01 17:00:00,10.1,,4.3,4.3,
1999-02-01 17:00:00,4.3,,30.2,30.2,
1999-01-01 17:00:00,30.2,,-33.1,-33.1,
1998-12-01 17:00:00,-33.1,,14.2,14.2,
1998-11-01 17:00:00,14.2,,35.2,35.2,
1998-10-01 17:00:00,35.2,,23.9,23.9,
1998-09-01 17:00:00,23.9,,5.3,5.3,
1998-08-01 17:00:00,5.3,,11.8,11.8,
1998-07-01 17:00:00,11.8,,6.1,6.1,
1998-06-01 17:00:00,6.1,,29.1,29.1,
1998-05-01 17:00:00,29.1,,3.0,3.0,
1998-04-01 17:00:00,3.0,,16.5,16.5,
1998-03-01 17:00:00,16.5,,11.1,11.1,
1998-02-01 17:00:00,11.1,,-18.2,-18.2,
1998-01-01 17:00:00,-18.2,,55.8,55.8,
1997-12-01 17:00:00,55.8,,-1.5,-1.5,
1997-11-01 17:00:00,-1.5,,55.7,55.7,
