datetime,RBNZ_RATE_Actual,RBNZ_RATE_Srv_Med,RBNZ_RATE_Revised,RBNZ_RATE_Prior
2008-12-04 04:00:00,5,5,6.5,6.5
2008-10-23 04:00:00,6.5,6.5,7.5,7.5
2008-09-11 05:00:00,7.5,7.75,8.0,8
2008-07-24 05:00:00,8,8.25,8.25,8.25
2008-06-05 06:00:00,8.25,8.25,8.25,8.25
2008-04-24 05:00:00,8.25,8.25,8.25,8.25
2008-03-06 04:00:00,8.25,8.25,8.25,8.25
2008-02-01 17:00:00,8.25,,8.25,8.25
2008-01-01 17:00:00,8.25,,8.25,8.25
2007-12-01 17:00:00,8.25,,8.25,8.25
2007-11-01 17:00:00,8.25,,8.25,8.25
2007-10-01 17:00:00,8.25,,8.25,8.25
2007-09-01 17:00:00,8.25,,8.05,8.05
2007-08-01 17:00:00,8.05,,7.95,7.95
2007-07-01 17:00:00,7.95,,7.75,7.75
2007-06-01 17:00:00,7.75,,7.54,7.54
2007-05-01 17:00:00,7.54,,7.44,7.44
2007-04-01 17:00:00,7.44,,7.25,7.25
2007-03-01 17:00:00,7.25,,7.25,7.25
2007-02-01 17:00:00,7.25,,7.25,7.25
2007-01-01 17:00:00,7.25,,7.25,7.25
2006-12-01 17:00:00,7.25,,7.25,7.25
2006-11-01 17:00:00,7.25,,7.25,7.25
2006-10-01 17:00:00,7.25,,7.25,7.25
2006-09-01 17:00:00,7.25,,7.25,7.25
2006-08-01 17:00:00,7.25,,7.25,7.25
2006-07-01 17:00:00,7.25,,7.25,7.25
2006-06-01 17:00:00,7.25,,7.25,7.25
2006-05-01 17:00:00,7.25,,7.25,7.25
2006-04-01 17:00:00,7.25,,7.25,7.25
2006-03-01 17:00:00,7.25,,7.25,7.25
2006-02-01 17:00:00,7.25,,7.19,7.19
2006-01-01 17:00:00,7.19,,7.0,7
2005-12-01 17:00:00,7,,6.79,6.79
2005-11-01 17:00:00,6.79,,6.75,6.75
2005-10-01 17:00:00,6.75,,6.75,6.75
2005-09-01 17:00:00,6.75,,6.75,6.75
2005-08-01 17:00:00,6.75,,6.75,6.75
2005-07-01 17:00:00,6.75,,6.75,6.75
2005-06-01 17:00:00,6.75,,6.75,6.75
2005-05-01 17:00:00,6.75,,6.67,6.67
2005-04-01 17:00:00,6.67,,6.5,6.5
2005-03-01 17:00:00,6.5,,6.5,6.5
2005-02-01 17:00:00,6.5,,6.5,6.5
2005-01-01 17:00:00,6.5,,6.5,6.5
2004-12-01 17:00:00,6.5,,6.27,6.27
2004-11-01 17:00:00,6.27,,6.18,6.18
2004-10-01 17:00:00,6.18,,6.0,6
2004-09-01 17:00:00,6,,5.77,5.77
2004-08-01 17:00:00,5.77,,5.67,5.67
2004-07-01 17:00:00,5.67,,5.5,5.5
2004-06-01 17:00:00,5.5,,5.27,5.27
2004-05-01 17:00:00,5.27,,5.25,5.25
2004-04-01 17:00:00,5.25,,5.25,5.25
2004-03-01 17:00:00,5.25,,5.02,5.02
2004-02-01 17:00:00,5.02,,5.0,5
2004-01-01 17:00:00,5,,5.0,5
2003-12-01 17:00:00,5,,5.0,5
2003-11-01 17:00:00,5,,5.0,5
2003-10-01 17:00:00,5,,5.0,5
2003-09-01 17:00:00,5,,5.18,5.18
2003-08-01 17:00:00,5.18,,5.29,5.29
2003-07-01 17:00:00,5.29,,5.5,5.5
2003-06-01 17:00:00,5.5,,5.69,5.69
2003-05-01 17:00:00,5.69,,5.75,5.75
2003-04-01 17:00:00,5.75,,5.75,5.75
2003-03-01 17:00:00,5.75,,5.75,5.75
2003-02-01 17:00:00,5.75,,5.75,5.75
2003-01-01 17:00:00,5.75,,5.75,5.75
2002-12-01 17:00:00,5.75,,5.75,5.75
2002-11-01 17:00:00,5.75,,5.75,5.75
2002-10-01 17:00:00,5.75,,5.75,5.75
2002-09-01 17:00:00,5.75,,5.73,5.73
2002-08-01 17:00:00,5.73,,5.5,5.5
2002-07-01 17:00:00,5.5,,5.39,5.39
2002-06-01 17:00:00,5.39,,5.11,5.11
2002-05-01 17:00:00,5.11,,4.85,4.85
2002-04-01 17:00:00,4.85,,4.75,4.75
2002-03-01 17:00:00,4.75,,4.75,4.75
2002-02-01 17:00:00,4.75,,4.75,4.75
2002-01-01 17:00:00,4.75,,4.95,4.95
2001-12-01 17:00:00,4.95,,5.25,5.25
