datetime,EUR_GDP_YoY_Actual,EUR_GDP_YoY_Srv_Med,EUR_GDP_YoY_Revised,EUR_GDP_YoY_Prior,Is_P
2015-08-14 17:00:00,1.2,1.3,1.0,1.0,1.0
2015-06-09 16:10:00,1.0,1.0,1.0,1.0,1.0
2015-05-13 17:00:00,1.0,1.1,0.9,0.9,1.0
2015-03-06 18:00:00,0.9,0.9,0.9,0.7,0.0
2015-02-13 18:00:00,0.9,0.8,0.8,0.8,1.0
2014-12-05 18:00:00,0.8,0.8,0.8,0.8,1.0
2014-11-14 18:00:00,0.8,0.7,0.8,0.7,1.0
2014-09-05 17:00:00,0.7,0.7,0.7,0.9,0.0
2014-08-14 17:00:00,0.7,0.7,0.9,0.9,1.0
2014-07-02 17:00:00,0.9,0.9,0.9,0.5,0.0
2014-06-04 17:00:00,0.9,0.9,0.9,0.9,1.0
2014-05-15 17:00:00,0.9,1.1,0.5,0.5,1.0
2014-04-02 17:00:00,0.5,0.5,0.5,-0.3,0.0
2014-03-05 18:00:00,0.5,0.5,0.5,0.5,1.0
2014-02-14 18:00:00,0.5,0.4,-0.3,-0.4,1.0
2014-01-10 18:00:00,-0.3,-0.4,-0.4,,0.0
2013-12-04 18:00:00,-0.4,-0.4,-0.4,-0.4,1.0
2013-11-14 18:00:00,-0.4,-0.3,-0.5,,1.0
