发布日期 时间 今值 预测值 前值
2023年8月17日 12:30 -0.4% -0.2% 1.2%
2023年7月18日 12:30 1.2% 0.4% 0.9%
2023年6月15日 12:30 1.2% 0.5% -1.5%
2023年5月19日 12:30 -1.7% 0.3% 1.7%
2023年4月20日 12:30 0.7% 0.4% 0.7%
2023年3月17日 12:30 0.9% 0.5% -0.4%
2023年2月15日 12:30 -0.4% 0.1% 0.1%
2023年1月17日 12:30 -0.2% 0.2% 0.5%
2022年12月15日 12:30 0.2% 0.4% -0.2%
2022年11月16日 12:30 -0.4% 0.6% 0.7%
2022年10月17日 12:30 0.7% 0.3% -0.5%
2022年9月15日 12:30 -0.6% -0.1% -0.4%
