发布日期 时间 今值 预测值 前值
2023年8月30日 23:00   0.197M 0.502M
2023年8月23日 22:30 0.502M 0.183M -0.101M
2023年8月16日 22:30 -0.101M 0.038M 0.166M
2023年8月9日 22:30 0.166M 0.361M 0.230M
2023年8月2日 22:30 0.230M 0.082M -1.002M
2023年7月26日 22:30 -1.002M 0.222M 0.223M
2023年7月19日 22:30 0.223M -0.108M 0.439M
2023年7月12日 22:30 0.439M -0.234M -0.061M
2023年7月6日 23:00 -0.061M 0.371M -0.529M
2023年6月28日 22:30 -0.529M -0.034M -0.380M
2023年6月22日 23:00 -0.380M 0.368M 1.405M
2023年6月14日 22:30 1.405M 0.100M -0.362M
