发布日期 时间 今值 预测值 前值
2023年9月1日 (八月) 21:45   47.0 49.0
2023年8月23日 (八月) 21:45   47.0 49.3 49.0
2023年8月1日 (七月) 21:45 49.0 49.0 46.3
2023年7月24日 (七月) 21:45   49.0 46.4 46.3
2023年7月3日 (六月) 21:45 46.3 46.3 48.4
2023年6月23日 (六月) 21:45   46.3 48.5 48.4
2023年6月1日 (五月) 21:45 48.4 48.5 50.2
2023年5月23日 (五月) 21:45   48.5 50.0 50.2
2023年5月1日 (四月) 21:45 50.2 50.4 49.2
2023年4月21日 (四月) 21:45   50.4 49.0 49.2
2023年4月3日 (三月) 21:45 49.2 49.3 47.3
2023年3月24日 (三月) 21:45   49.3 47.0 47.3
