发布日期 时间 今值 预测值 前值
2023年7月3日 (第二季度) 07:50 5 3 1
2023年4月3日 (第一季度) 07:50 1 3 7
2022年12月14日 (第四季度) 07:50 7 6 8
2022年10月3日 (第三季度) 07:50 8 11 9
2022年7月1日 (第二季度) 07:50 9 13 14
2022年4月1日 (第一季度) 07:50 14 12 17
2021年12月13日 (第四季度) 07:50 18 19 18
2021年10月1日 (第三季度) 07:50 18 13 14
2021年7月1日 (第二季度) 07:50 14 15 5
2021年4月1日 (第一季度) 07:50 5 -15 -10
2020年12月14日 (第四季度) 07:50 -10 -15 -27
2020年10月1日 (第三季度) 07:50 -27 -23 -34
