发布日期 时间 今值 预测值 前值
2023年7月19日 (第二季度) 06:45 1.1% 1.0% 1.2%
2023年4月20日 (第一季度) 06:45 1.2% 1.7% 1.4%
2023年1月25日 (第四季度) 05:45 1.4% 1.3% 2.2%
2022年10月18日 (第三季度) 05:45 2.2% 1.6% 1.7%
2022年7月18日 (第二季度) 06:45 1.7% 1.5% 1.8%
2022年4月21日 (第一季度) 06:45 1.8% 2.0% 1.4%
2022年1月27日 (第四季度) 05:45 1.4% 1.3% 2.2%
2021年10月18日 (第三季度) 05:45 2.2% 1.4% 1.3%
2021年7月16日 (第二季度) 06:45 1.3% 0.8% 0.8%
2021年4月21日 (第一季度) 06:45 0.8% 0.7% 0.5%
2021年1月22日 (第四季度) 05:45 0.5% 0.1% 0.7%
2020年10月23日 (第三季度) 05:45 0.7% 0.9% -0.5%
