发布日期 时间 今值 预测值 前值
2023年9月1日 (八月) 15:55   39.1 38.8
2023年8月23日 (八月) 15:30   39.1 38.7 38.8
2023年8月1日 (七月) 15:55 38.8 38.8 40.6
2023年7月24日 (七月) 15:30   38.8 41.0 40.6
2023年7月3日 (六月) 15:55 40.6 41.0 43.2
2023年6月23日 (六月) 15:30   41.0 43.5 43.2
2023年6月1日 (五月) 15:55 43.2 42.9 44.5
2023年5月23日 (五月) 15:30   42.9 45.0 44.5
2023年5月2日 (四月) 15:55 44.5 44.0 44.7
2023年4月21日 (四月) 15:30   44.0 45.7 44.7
2023年4月3日 (三月) 15:55 44.7 44.4 46.3
2023年3月24日 (三月) 16:30   44.4 47.0 46.3
