发布日期 时间 今值 预测值 前值
2023年8月2日 (第二季度) 06:45 3.6% 3.5% 3.4%
2023年5月3日 (第一季度) 06:45 3.4% 3.5% 3.4%
2023年2月1日 (第四季度) 05:45 3.4% 3.3% 3.3%
2022年11月2日 (第三季度) 05:45 3.3% 3.2% 3.3%
2022年8月3日 (第二季度) 06:45 3.3% 3.1% 3.2%
2022年5月4日 (第一季度) 06:45 3.2% 3.2% 3.2%
2022年2月2日 (第四季度) 05:45 3.2% 3.4% 3.3%
2021年11月3日 (第三季度) 05:45 3.4% 3.9% 4.0%
2021年8月4日 (第二季度) 06:45 4.0% 4.5% 4.6%
2021年5月5日 (第一季度) 06:45 4.7% 4.9% 4.9%
2021年2月3日 (第四季度) 05:45 4.9% 5.6% 5.3%
2020年11月4日 (第三季度) 05:45 5.3% 5.4% 4.0%
