发布日期 时间 今值 预测值 前值
2023年8月24日 (七月) 20:30 -5.2% -4.0% 4.4%
2023年7月27日 (六月) 20:30 4.7% 1.0% 2.0%
2023年6月27日 (五月) 20:30 1.7% -1.0% 1.2%
2023年5月26日 (四月) 20:30 1.1% -1.0% 3.3%
2023年4月26日 (三月) 20:30 3.2% 0.7% -1.2%
2023年3月24日 (二月) 20:30 -1.0% 0.6% -5.0%
2023年2月27日 (一月) 21:30 -4.5% -4.0% 5.1%
2023年1月26日 (十二月) 21:30 5.6% 2.5% -1.7%
2022年12月23日 (十一月) 21:30 -2.1% -0.6% 0.7%
2022年11月23日 (十月) 21:30 1.0% 0.4% 0.3%
2022年10月27日 (九月) 20:30 0.4% 0.6% 0.2%
2022年9月27日 (八月) 20:30 -0.2% -0.4% -0.1%
