发布日期 时间 今值 预测值 前值
2023年7月26日 (第二季度) 09:30 0.8% 1.0% 1.4%
2023年4月26日 (第一季度) 09:30 1.4% 1.3% 1.9%
2023年1月25日 (第四季度) 08:30 1.9% 1.6% 1.8%
2022年10月26日 (第三季度) 08:30 1.8% 1.6% 1.8%
2022年7月27日 (第二季度) 09:30 1.8% 1.9% 2.1%
2022年4月27日 (第一季度) 09:30 2.1% 1.7% 1.3%
2022年1月25日 (第四季度) 08:30 1.3% 1.0% 0.8%
2021年10月27日 (第三季度) 08:30 0.8% 0.8% 0.8%
2021年7月28日 (第二季度) 09:30 0.8% 0.7% 0.6%
2021年4月28日 (第一季度) 09:30 0.6% 0.9% 0.9%
2021年1月27日 (第四季度) 08:30 0.9% 0.7% 1.6%
2020年10月28日 (第三季度) 08:30 1.6% 1.5% -1.9%
