发布日期 时间 今值 预测值 前值
2023年9月1日 (八月) 16:00   43.7 42.7
2023年8月23日 (八月) 16:00   43.7 42.6 42.7
2023年8月1日 (七月) 16:00 42.7 42.7 43.4
2023年7月24日 (七月) 16:00   42.7 43.5 43.4
2023年7月3日 (六月) 16:00 43.4 43.6 44.8
2023年6月23日 (六月) 16:00   43.6 44.8 44.8
2023年6月1日 (五月) 16:00 44.8 44.6 45.8
2023年5月23日 (五月) 16:00   44.6 46.2 45.8
2023年5月2日 (四月) 16:00 45.8 45.5 47.3
2023年4月21日 (四月) 16:00   45.5 48.0 47.3
2023年4月3日 (三月) 16:00 47.3 47.1 48.5
2023年3月24日 (三月) 17:00   47.1 49.0 48.5
