发布日期 时间 今值 预测值 前值
2023年9月15日 (七月) 14:45     0.1%
2023年8月31日 (八月) 14:45     0.7% 0.1%
2023年8月11日 (七月) 14:45 0.1% 0.0% 0.2%
2023年7月28日 (七月) 14:45   0.0% 0.2% 0.2%
2023年7月13日 (六月) 14:45 0.2% 0.2% -0.1%
2023年6月30日 (六月) 14:45   0.2% 0.2% -0.1%
2023年6月15日 (五月) 14:45 -0.1% -0.1% 0.6%
2023年5月31日 (五月) 14:45   -0.1% 0.4% 0.6%
2023年5月12日 (四月) 14:45 0.6% 0.6% 0.7%
2023年4月28日 (四月) 14:45   0.6% 0.4% 0.9%
2023年4月14日 (三月) 14:45 0.7% 0.8% 1.1%
2023年3月31日 (三月) 14:45   0.8% 0.8% 1.0%
