发布日期 时间 今值 预测值 前值
2023年8月31日 20:30   235K 230K
2023年8月24日 20:30 230K 240K 240K
2023年8月17日 20:30 239K 240K 250K
2023年8月10日 20:30 248K 230K 227K
2023年8月3日 20:30 227K 227K 221K
2023年7月27日 20:30 221K 235K 228K
2023年7月20日 20:30 228K 242K 237K
2023年7月13日 20:30 237K 250K 249K
2023年7月6日 20:30 248K 245K 236K
2023年6月29日 20:30 239K 266K 265K
2023年6月22日 20:30 264K 260K 264K
2023年6月15日 20:30 262K 250K 262K
