发布日期 时间 今值 预测值 前值
2023年8月31日 (七月) 20:30   4.2% 4.1%
2023年7月28日 (六月) 20:30 4.1% 4.2% 4.6%
2023年6月30日 (五月) 20:30 4.6% 4.7% 4.7%
2023年5月26日 (四月) 20:30 4.7% 4.6% 4.6%
2023年4月28日 (三月) 20:30 4.6% 4.5% 4.7%
2023年3月31日 (二月) 20:30 4.6% 4.7% 4.7%
2023年2月24日 (一月) 21:30 4.7% 4.3% 4.6%
2023年1月27日 (十二月) 21:30 4.4% 4.4% 4.7%
2022年12月23日 (十一月) 21:30 4.7% 4.7% 5.0%
2022年12月1日 (十月) 21:30 5.0% 5.0% 5.2%
2022年10月28日 (九月) 20:30 5.1% 5.2% 4.9%
2022年9月30日 (八月) 20:30 4.9% 4.7% 4.7%
