发布日期 时间 今值 预测值 前值
2023年9月19日 (八月) 17:00      
2023年8月31日 (八月) 17:00     5.1% 5.3%
2023年8月18日 (七月) 17:00 5.3% 5.3% 5.5%
2023年7月31日 (七月) 17:00   5.3% 5.3% 5.5%
2023年7月19日 (六月) 17:00 5.5% 5.5% 6.1%
2023年6月30日 (六月) 17:00   5.5% 5.6% 6.1%
2023年6月16日 (五月) 17:00 6.1% 6.1% 7.0%
2023年6月1日 (五月) 17:00   6.1% 6.3% 7.0%
2023年5月17日 (四月) 17:00 7.0% 7.0% 6.9%
2023年5月2日 (四月) 17:00   7.0% 7.0% 6.9%
2023年4月19日 (三月) 17:00 6.9% 6.9% 8.5%
2023年3月31日 (三月) 17:00   6.9% 7.1% 8.5%
