发布日期 时间 今值 预测值 前值
2023年8月18日 (七月) 14:00 -1.2% -0.5% 0.6%
2023年7月21日 (六月) 14:00 0.7% 0.2% 0.1%
2023年6月23日 (五月) 14:00 0.3% -0.2% 0.5%
2023年5月26日 (四月) 14:00 0.5% 0.4% -1.2%
2023年4月21日 (三月) 14:00 -0.9% -0.5% 1.1%
2023年3月24日 (二月) 15:00 1.2% 0.2% 0.9%
2023年2月17日 (一月) 15:00 0.5% -0.3% -1.2%
2023年1月20日 (十二月) 15:00 -1.0% 0.5% -0.5%
2022年12月16日 (十一月) 15:00 -0.4% 0.3% 0.9%
2022年11月18日 (十月) 15:00 0.6% 0.3% -1.5%
2022年10月21日 (九月) 14:00 -1.4% -0.5% -1.7%
2022年9月16日 (八月) 14:00 -1.6% -0.5% 0.4%
