发布日期 时间 今值 预测值 前值
2023年9月1日 (八月) 15:50   46.4 45.1
2023年8月23日 (八月) 15:15   46.4 45.0 45.1
2023年8月1日 (七月) 15:50 45.1 44.5 46.0
2023年7月24日 (七月) 15:15   44.5 46.0 46.0
2023年7月3日 (六月) 15:50 46.0 45.5 45.7
2023年6月23日 (六月) 15:15   45.5 45.4 45.7
2023年6月1日 (五月) 15:50 45.7 46.1 45.6
2023年5月23日 (五月) 15:15   46.1 46.0 45.6
2023年5月2日 (四月) 15:50 45.6 45.5 47.3
2023年4月21日 (四月) 15:15   45.5 47.8 47.3
2023年4月3日 (三月) 15:50 47.3 47.7 47.4
2023年3月24日 (三月) 16:15   47.7 48.0 47.4
