发布日期 时间 今值 预测值 前值
2023年9月1日 (八月) 22:00   43.5 42.6
2023年8月1日 (七月) 22:00 42.6 42.8 41.8
2023年7月3日 (六月) 22:00 41.8 44.0 44.2
2023年6月1日 (五月) 22:00 44.2 52.0 53.2
2023年5月1日 (四月) 22:00 53.2 49.0 49.2
2023年4月3日 (三月) 22:00 49.2 51.2 51.3
2023年3月1日 (二月) 23:00 51.3 45.1 44.5
2023年2月1日 (一月) 23:00 44.5 39.5 39.4
2023年1月4日 (十二月) 23:00 39.4 42.6 43.0
2022年12月1日 (十一月) 23:00 43.0 47.5 46.6
2022年11月1日 (十月) 22:00 46.6 52.5 51.7
2022年10月3日 (九月) 22:00 51.7 51.9 52.5
