发布日期 时间 今值 预测值 前值
2023年8月23日 (六月) 20:30 0.1% 0.0% 0.1%
2023年7月21日 (五月) 20:30 0.2% 0.5% 1.0%
2023年6月21日 (四月) 20:30 1.1% 0.2% -1.5%
2023年5月19日 (三月) 20:30 -1.4% -1.4% -0.2%
2023年4月21日 (二月) 20:30 -0.2% -0.6% 1.6%
2023年3月24日 (一月) 20:30 1.4% 0.7% 0.5%
2023年2月21日 (十二月) 21:30 0.5% 0.4% -0.1%
2023年1月20日 (十一月) 21:30 -0.1% -0.5% 1.3%
2022年12月20日 (十月) 21:30 1.4% 1.5% -0.6%
2022年11月22日 (九月) 21:30 -0.5% -0.5% 0.4%
2022年10月21日 (八月) 20:30 0.7% 0.2% -2.2%
2022年9月23日 (七月) 20:30 -2.5% -2.0% 1.0%
