发布日期 时间 今值 预测值 前值
2023年8月30日 23:00   0.045M 0.945M
2023年8月23日 22:30 0.945M 0.218M 0.296M
2023年8月16日 22:30 0.296M -0.473M -1.706M
2023年8月9日 22:30 -1.706M 0.006M -0.796M
2023年8月2日 22:30 -0.796M 0.112M -0.245M
2023年7月26日 22:30 -0.245M -0.301M 0.014M
2023年7月19日 22:30 0.014M 0.460M 4.815M
2023年7月12日 22:30 4.815M -0.262M -1.045M
2023年7月6日 23:00 -1.045M 0.296M 0.124M
2023年6月28日 22:30 0.124M 0.782M 0.433M
2023年6月22日 23:00 0.433M -0.001M 2.123M
2023年6月14日 22:30 2.123M 0.922M 5.075M
