发布日期 时间 今值 预测值 前值
2023年7月26日 (第二季度) 09:30 6.0% 6.2% 7.0%
2023年4月26日 (第一季度) 09:30 7.0% 6.9% 7.8%
2023年1月25日 (第四季度) 08:30 7.8% 7.5% 7.3%
2022年10月26日 (第三季度) 08:30 7.3% 7.0% 6.1%
2022年7月27日 (第二季度) 09:30 6.1% 6.2% 5.1%
2022年4月27日 (第一季度) 09:30 5.1% 4.6% 3.5%
2022年1月25日 (第四季度) 08:30 3.5% 3.2% 3.0%
2021年10月27日 (第三季度) 08:30 3.0% 3.1% 3.8%
2021年7月28日 (第二季度) 09:30 3.8% 3.8% 1.1%
2021年4月28日 (第一季度) 09:30 1.1% 1.4% 0.9%
2021年1月27日 (第四季度) 08:30 0.9% 0.7% 0.7%
2020年10月28日 (第三季度) 08:30 0.7% 0.7% -0.3%
