发布日期 时间 今值 预测值 前值
2023年8月16日 10:00 5.50% 5.50% 5.50%
2023年7月12日 10:00 5.50% 5.50% 5.50%
2023年5月24日 10:00 5.50% 5.50% 5.25%
2023年4月5日 10:00 5.25% 5.00% 4.75%
2023年2月22日 09:00 4.75% 4.75% 4.25%
2022年11月23日 09:00 4.25% 4.25% 3.50%
2022年10月5日 09:00 3.50% 3.50% 3.00%
2022年8月17日 10:00 3.00% 3.00% 2.50%
2022年7月13日 10:00 2.50% 2.50% 2.00%
2022年5月25日 10:00 2.00% 2.00% 1.50%
2022年4月13日 10:00 1.50% 1.25% 1.00%
2022年2月23日 09:00 1.00% 1.00% 0.75%
