发布日期 时间 今值 预测值 前值
2023年8月31日 (八月) 21:45   44.0 42.8
2023年7月31日 (七月) 21:45 42.8 43.0 41.5
2023年6月30日 (六月) 21:45 41.5 44.0 40.4
2023年5月31日 (五月) 21:45 40.4 47.0 48.6
2023年4月28日 (四月) 21:45 48.6 43.5 43.8
2023年3月31日 (三月) 21:45 43.8 43.4 43.6
2023年2月28日 (二月) 22:45 43.6 45.0 44.3
2023年1月31日 (一月) 22:45 44.3 45.0 45.1
2022年12月30日 (十二月) 22:45 44.9 40.0 37.2
2022年11月30日 (十一月) 22:45 37.2 47.0 45.2
2022年10月31日 (十月) 21:45 45.2 47.0 45.7
2022年9月30日 (九月) 21:45 45.7 51.8 52.2
