发布日期 时间 今值 预测值 前值
2023年8月30日 (八月) 20:15   195K 324K
2023年8月2日 (七月) 20:15 324K 189K 455K
2023年7月6日 (六月) 20:15 497K 228K 267K
2023年6月1日 (五月) 20:15 278K 170K 291K
2023年5月3日 (四月) 20:15 296K 148K 142K
2023年4月5日 (三月) 20:15 145K 200K 261K
2023年3月8日 (二月) 21:15 242K 200K 119K
2023年2月1日 (一月) 21:15 106K 178K 253K
2023年1月5日 (十二月) 21:15 235K 150K 182K
2022年11月30日 (十一月) 21:15 127K 200K 239K
2022年11月2日 (十月) 20:15 239K 195K 192K
2022年10月5日 (九月) 20:15 208K 200K 185K
