发布日期 时间 今值 预测值 前值
2023年8月2日 (第二季度) 06:45 1.0% 0.5% 0.8%
2023年5月3日 (第一季度) 06:45 0.8% 0.4% 0.2%
2023年2月1日 (第四季度) 05:45 0.2% 0.3% 1.3%
2022年11月2日 (第三季度) 05:45 1.3% 0.5% 0.0%
2022年8月3日 (第二季度) 06:45 0.0% 0.4% 0.0%
2022年5月4日 (第一季度) 06:45 0.1% 0.1% 0.1%
2022年2月2日 (第四季度) 05:45 0.1% 0.3% 2.0%
2021年11月3日 (第三季度) 05:45 2.0% 0.4% 1.0%
2021年8月4日 (第二季度) 06:45 1.0% 0.7% 0.6%
2021年5月5日 (第一季度) 06:45 0.6% 0.2% 0.6%
2021年2月3日 (第四季度) 05:45 0.6% -0.8% -0.8%
2020年11月4日 (第三季度) 05:45 -0.8% -0.8% -0.4%
