发布日期 时间 今值 预测值 前值
2023年7月3日 (第二季度) 07:50 23 22 20
2023年4月3日 (第一季度) 07:50 20 20 19
2022年12月14日 (第四季度) 07:50 19 17 14
2022年10月3日 (第三季度) 07:50 14 13 13
2022年7月1日 (第二季度) 07:50 13 14 9
2022年4月1日 (第一季度) 07:50 9 5 10
2021年12月13日 (第四季度) 07:50 9 6 2
2021年10月1日 (第三季度) 07:50 2 3 1
2021年7月1日 (第二季度) 07:50 1 3 -1
2021年4月1日 (第一季度) 07:50 -1 -5 -5
2020年12月14日 (第四季度) 07:50 -5 -6 -12
2020年10月1日 (第三季度) 07:50 -12 -9 -17
